file,noun,verb,condition,sequence,talker,padding,text,translation,comment_padding,comment_text
1.msg,2,0,1,15,3,00000001,"""Delphineus, don't give up your day job.""","דלפיניוס, אל תוותר על עבודת היום שלך.",,
1.msg,2,0,1,16,3,00000001,"""But not anymore?""",אבל לא יותר?,,
1.msg,2,0,1,17,3,00000001,"""(I think I'll ignore him.)""",(אני חושב שאתעלם ממנו),,
1.msg,2,0,1,18,3,00000001,"""Darn!""",אוף!,,
1.msg,2,0,1,19,3,00000001,"""Oh really?""",באמת?,,
1.msg,2,0,1,20,3,00000001,"""I shoulda seen that one comin'.""",הייתי צריך לראות את זה בא.,,
1.msg,2,0,1,21,3,00000001,"""Oh man, that sounds bad.""",זה באמת נשמע רע.,,
1.msg,2,0,1,22,3,00000001,"""Aren't you ever serious, Delphineus?""","אתה לא רציני אף פעם, דלפיניוס?",,
1.msg,2,0,1,23,3,00000001,"""The best one, eh?  What makes you say that?""","הטובה ביותר, הא? מה גורם לך לומר את זה?",,
1.msg,2,0,1,24,3,00000001,"""You watch too much television, Delphineus.""","אתה רואה יותר מדי טלויזיה, דלפיניוס.",,
1.msg,2,0,1,25,3,00000001,"""Why's that?  Is it because dolphins are hams and love being filmed?""  ",מדוע? זה כי דולפינים חולי-במה וממש אוהבים להצטלם?,,
1.msg,2,0,1,26,3,00000001,"""I thought mine was funnier.""",חשבתי שהגרסה שלי הייתה מצחיקה יותר.,,
1.msg,2,0,1,27,3,00000001,"""No, but I have a feeling you're going to tell me.""","לא, אבל יש לי הרגשה שאתה הולך לספר לי.",,
1.msg,2,0,1,28,3,00000001,"""Oh, brother.""   ","הו, בנאדם.",,
1.msg,2,0,1,29,3,00000001,"""That doesn't sound very nice.""",זה לא נשמע נחמד במיוחד.,,
1.msg,2,0,1,30,3,00000001,"""And I'M feeling a bit squeamish. Yeow."" ",ועכשיו -אני- מרגיש קצת בחילה. יאו.,,
1.msg,2,0,1,31,3,00000001,"""A prankster gangster?"" ",פרחח ובריון?,,
1.msg,2,0,1,32,3,00000001,"""Ouch! That joke pinches!"" ",אאוץ'. הבדיחה הזו צובטת!,,
1.msg,2,0,1,33,3,00000001,"""Don't tell me - he was a holy mackerel."" ","אל תספר לי, הוא היה מקרל קדוש.",,
1.msg,2,0,1,34,3,00000001,"""That joke was devilishly funny. NOT!"" ",הבדיחה הזו מצחיקה באופן שטני. לא!,,
1.msg,2,0,1,35,3,00000001,"""No, what's a Greek urn?"" ","לא, מה זה כד יווני?",,
1.msg,2,0,1,36,3,00000001,"""Ugh. I'll give you more than that if you stop telling bad jokes!""  ",אווף. אני אתן לך יותר מזה אם תפסיק לספר בדיחות גרועות!,,
1.msg,2,0,2,1,3,00000001,"""Rats! I almost caught it!""  ",לכל הרוחות! כמעט תפסתי את זה!,,
1.msg,2,0,2,2,3,00000001,"""Ugh!""",אאוה!,,
1.msg,2,0,0,1,3,00000001,"""Talking to myself again, I guess!"" ","מדבר לעצמי שוב, אני מניח!",,
1.msg,2,0,0,2,3,00000001,"""I'm sorry, Delphineus, I don't.""","אני מצטער, דלפיניוס, אין לי.",,
1.msg,2,0,0,3,3,00000001,"""Pyew, Delphineus, your jokes make me sick!""","וואו, דלפיניוס, הבדיחות שלך עושות לי בחילה!",,
1.msg,2,0,0,4,3,00000001,"""Ow! That one gave me an embolism.""",אווץ'! זה עשה לי כאב ראש!,,
1.msg,2,0,0,5,3,00000001,"""No, how?""","לא, איך?",,
1.msg,2,0,0,6,3,00000001,"""You're really reaching, Delphineus."" ","זה כבר ממש מתאמץ, דלפיניוס.",,
1.msg,2,0,0,7,3,00000001,"""Stop! Stop!""",מספיק! מספיק!,,
1.msg,2,0,0,8,3,00000001,"""No, but you're going to tell me.""","לא, אבל אתה הולך לספר לי.",,
1.msg,2,0,0,9,3,00000001,"""Maybe my father would think you're funny.""",אולי אבא שלי יחשוב שאתה מצחיק.,,
1.msg,2,0,0,10,3,00000001,"""Really? I haven't seen your harp!"" ",באמת? מעולם לא ראיתי את הנבל שלך!,,
1.msg,2,0,0,11,3,00000001,"""Was that supposed to be a joke?""",זו הייתה אמורה להיות בדיחה?,,
1.msg,2,0,0,12,3,00000001,"""No, why?""","לא, למה?",,
1.msg,2,0,0,13,3,00000001,"""Delphineus, that's really bad!"" ","דלפיניוס, זה ממש רע!",,
1.msg,2,0,0,14,3,00000001,"""Why do you think so?""  ",למה אתה חושב כך?,,
1.msg,2,0,0,15,3,00000001,"""Gee, Delphineus, I forgot to laugh!"" ","וואו, דלפיניוס, שכחתי לצחוק!",,
1.msg,2,0,0,16,3,00000001,"""By accident?""",בטעות?,,
1.msg,2,0,0,17,3,00000001,"""Wow, Delphineus, give me a break, okay?""","וואו, דלפיניוס, שחרר אותי מזה, טוב?",,
1.msg,2,0,0,18,3,00000001,"""No, what?""","לא, מה?",,
1.msg,2,0,0,19,3,00000001,"""Gosh, Delphineus, you sure have a strange sense of humor.""","באמת, דלפיניוס, יש לך חוש הומור מוזר.",,
1.msg,2,0,0,20,3,00000001,"""Really? That's good!""   ",באמת? זה טוב!,,
1.msg,2,0,0,21,3,00000001,"""You're pretty weird for a dolphin, Delphineus."" ","אתה די מוזר עבור דולפין, דלפיניוס.",,
1.msg,2,0,0,22,3,00000001,"""You didn't make that up! I've heard that one before!""",את הבדיחה הזו לא אתה המצאת! כבר שמעתי אותה פעם!,,
1.msg,2,0,0,23,3,00000001,"""And I didn't think it was funny then, either!""",וגם אז לא חשבתי שהיא מצחיקה!,,
1.msg,2,0,0,24,3,00000001,"""No, what was wrong with him?""","לא, מה הייתה הבעיה שלו?",,
1.msg,2,0,0,25,3,00000001,"""Whoa, Delphineus, spare me, okay?""","וואו, דלפיניוס, תחסוך ממני, בסדר?",,
1.msg,2,0,0,26,3,00000001,"""Really? Where do you sit?"" ",באמת? איפה אתה יושב?,,
1.msg,2,0,0,27,3,00000001,"""Gag me!"" ",קרעת אותי!,,
1.msg,2,0,0,28,3,00000001,"""What?""",מה?,,
1.msg,2,0,0,29,3,00000001,"""Delphineus, now you're REALLY floundering!""","דלפיניוס, עכשיו אתה כבר ממש טובע!",,
1.msg,2,0,0,30,3,00000001,"""No, what about the fisherman who ate two fish for dinner?"" ","לא, מה לגבי הדייג שתפס שני דגים ואכל אותם לארוחת הערב?",,
1.msg,2,0,0,31,3,00000001,"""Why's that?""",למה?,,
1.msg,2,0,0,32,3,00000001,"""I think YOU'RE the sick one, Del."" ","אני חושב שאתה הוא החולה, דל.",,
1.msg,2,0,0,33,3,00000001,"""Why's that?""",למה?,,
1.msg,2,0,0,34,3,00000001,"""Ooh, Delphineus, that one really smelt!""","אווו, דלפיניוס, הבדיחה הזו הסריחה!",,
1.msg,2,0,0,35,3,00000001,"""Nope!""",לא!,,
1.msg,2,0,0,36,3,00000001,"""Way cool, Delphineus!"" ","מגניב, דלפיניוס!",,
1.msg,1,0,1,1,4,00000001,"""Why did the Man-O-War run away from the shark?""  ",למה המדוזה ברחה מהכריש?,,
1.msg,1,0,1,2,4,00000001,"""Cause he was a spineless jellyfish. BWAHAHAHAHAHAHAHA""  ",כי היא לא ידעה לעמוד על שלה! האהאהאהאהאהאהא!,,
1.msg,1,0,1,3,4,00000001,"""Sometimes I think we fish are smarter than you humans!""  ",לפעמים אני חושב שאנחנו הדגים הרבה יותר חכמים מכם בני האדם!,,
1.msg,1,0,1,4,4,00000001,"""Because we travel in schools!""",כי אנחנו מטיילים בקבוצות!,,
1.msg,1,0,1,5,4,00000001,"""Do you know what kind of fish likes Peanut Butter?""",אתה יודע איזה סוג דג אוהב חמאת בוטנים?,,
1.msg,1,0,1,6,4,00000001,"""Jellyfish!""",מדוזה!,,
1.msg,1,0,1,7,4,00000001,"""Do you know what kind of fish likes Peanut Butter?""",אתה יודע איזה סוג דג אוהב חמאת בוטנים?,,
1.msg,1,0,1,8,4,00000001,"""Jellyfish!""",מדוזה!,,
1.msg,1,0,1,9,4,00000001,"""You know who was King of Eluria before Cetus?""",אתה יודע מי היה המלך של אלוריה לפני סיטוס?,,
1.msg,1,0,1,10,4,00000001,"""The Tsardine.""",הצאר-דין.,,
1.msg,1,0,1,11,4,00000001,"""That's okay, it's only funny if you read it."""," זה בסדר, זה מצחיק רק אם אתה קורא את זה.",,
1.msg,1,0,1,12,4,00000001,"""One of our guppies got some bad news from his doctor."" ",אחד מדגי הגופי קיבל חדשות רעות מהרופאה שלו.,,
1.msg,1,0,1,13,4,00000001,"""He came down with rheumatism, so the doctor told him to stay out of damp places!"" ","הוא אובחן עם ראומטיזם, אז הרופאה אמרה לו להמנע ממקומות לחים!",,
1.msg,1,0,1,14,4,00000001,"""Everybody's a critic!""",כולם יודעים לתת ביקורת!,,
1.msg,1,0,1,15,4,00000001,"""One of the sharks was telling us about a fisherman he almost caught the other day.  He was this big, but he got away!""","אחד הכרישים סיפר לנו על דייג שהוא כמעט תפס לפני כמה ימים. הוא היה גדול, אבל הוא הצליח לחמוק!",,
1.msg,1,0,1,16,4,00000001,"""Okay, I'll stop... for a moment.""","טוב, אני אפסיק - בינתיים.",,
1.msg,1,0,1,17,4,00000001,"""Sometimes I get awfully tired of swimming.""",לפעמים אני ממש מתעייף משחייה.,,
1.msg,1,0,1,18,4,00000001,"""Yep.  But then I just splash a little water on my face and I'm rarin' to go again!""",כן! אבל אז אני שוטף את הפנים ואני מוכן לשחות שוב!,,
1.msg,1,0,1,19,4,00000001,"""Hey, c'mon, I'm dyin' down here!""","היי, באמת, אני מת פה!",,
1.msg,1,0,1,20,4,00000001,"""Did you know that a cat has nine lives?""",ידעת שלחתולים יש תשע נשמות?,,
1.msg,1,0,1,21,4,00000001,"""You should!  There's a bullfrog I know who's croaked a hundred times!""",כדאי לך!  אני מכיר  צפרדע שנפחה את נשמתה כבר 100 פעם!,,
1.msg,1,0,1,22,4,00000001,"""I have an oyster friend who used to talk and talk and talk.""",יש לי חבר צדפה שהיה מדבר ומדבר ומדבר.,,
1.msg,1,0,1,23,4,00000001,"""Nope, I told him to clam up!""","נופ, אמרתי לו לשתוק כמו דג!",,
1.msg,1,0,1,24,4,00000001,"""C'mon, I know you're out there, I can hear your regulator breathing!"" ","היי - אני יודע שאתה שם, אני יכול לשמוע את פעילות הוסת שלך!",,
1.msg,1,0,1,25,4,00000001,"""My brother is a famous athlete.""",אח שלי הוא אתלט מפורסם.,,
1.msg,1,0,1,26,4,00000001,"""Yeah, he plays for the Miami Dolphins.""","כן, הוא משחק עבור הדולפינים של מיאמי (קבוצת ספורט).",,
1.msg,1,0,1,27,4,00000001,"""Boy, when Flesh-Eater showed up, things really got bad in Eluria.  At one time we all had to share the same apartment.""","בנאדם, כשאוכל-הבשר הגיע, המצב באלוריה התדרדר. כולנו היינו צריכים לחלוק את אותה הדירה.",,
1.msg,1,0,1,28,4,00000001,"""You ain't kiddin', we were packed in there like sardines!""","אתה לא צוחק, היינו דחוקים כמו סרדינים!",,
1.msg,1,0,1,29,4,00000001,"""I've got this friend of mine who's a tuna.  He's the biggest coward in the ocean but he's the best tuna you'll ever meet.""",יש לי חבר שהוא דג טונה. הוא הפחדן הכי גדול בים אבל הטונה הכי טובה שתפגוש!,,
1.msg,1,0,1,30,4,00000001,"""Well, it's true!  Just ask any mermaid you happen to see.""",זו האמת! שאל כל בת ים שתפגש ותראה.,,
1.msg,1,0,1,31,4,00000001,"""We dolphins really like to follow Jacques Cousteau's boat around.""",אנחנו הדולפינים ממש אוהבים לעקוב אחר הסירה של ז'אק קוסטו.,,
1.msg,1,0,1,32,4,00000001,"""Nope!  It's because we love Calypso music!""  ",לא! כי אנחנו אוהבים מוזיקת קליפסו!,,
1.msg,1,0,1,33,4,00000001,"""Hey, ya know what the sea patrol gives dolphins and whales if they swim too fast?""  ","הי, אתה יודע מה משטרת הים עושה לדולפינים ולוויתנים אם הם שוחים מהר מדי?",,
1.msg,1,0,1,34,4,00000001,"""A speeding cetacean!""",היא יונקת מהם את כל הכסף שלהם.,,
1.msg,1,0,1,35,4,00000001,"""I knew a lobster once. Nice guy, but he would never share his meals.""  ","הכרתי פעם לובסטר. בחור נחמד, אבל הוא אף פעם לא חלק את האוכל שלו.",,
1.msg,1,0,1,36,4,00000001,"""Well, he WAS a bit shellfish!"" ","טוב, הוא היה קצת אנוכי! ",,
1.msg,1,0,2,1,4,00000001,"""What do you call a lobster that packs a tommy gun?""",איך תקרא ללובסטר שמחזיק ברובה?,,
1.msg,1,0,2,2,4,00000001,"""No, a MOBSTER LOBSTER!""","לא, אקדח עם שריון!",,
1.msg,1,0,2,3,4,00000001,"""I once had a friend who has very devoted to his church.""",פעם היה לי חבר שהיה אדוק בכנסייה שלו.,,
1.msg,1,0,2,4,4,00000001,"""Nope, an angel fish.""","לא, הוא היה דג מלאכי.",,
1.msg,1,0,2,5,4,00000001,"""You may have noticed a lot of Greek stuff around Eluria.  Have you been able to tell what's a Greek urn?""   ",אולי שמת לב שיש הרבה פריטים יווניים סביב אלוריה. הצלחת להבין מה הם כדים יווניים?,,
1.msg,1,0,2,6,4,00000001,"""About ten drachma a day.""",בערך 10 דרכמות ליום.,,
1.msg,1,0,2,7,4,00000001,"""I'm so worried about the poison, Adam! Let's keep looking around!""  ","אני כל כך מודאג לגבי הרעל, אדם! בוא נמשיך לחפש!",,
1.msg,1,0,2,8,4,00000001,"""We've just got to find all the items in the prophecy, Adam! I know you can figure out what to do once we have them!""  ","אנחנו חייבים למצוא את כל הפריטים בנבואה, אדם! אני יודע שאתה יכול לגלות מה לעשות ברגע שיהיה לנו אותם!",,
1.msg,1,0,2,9,4,00000001,"""Once we have the stuff from the prophecy, we'll be able to get rid of the poison, I bet!""  ","ברגע שיהיו לנו את הדברים מהנבואה, נוכל להפטר מהרעל, אני בטוח!",,
1.msg,1,0,2,10,4,00000001,"""With the poison gone, maybe we'll finally be able to find Cetus!"" ","ברגע שנפטר מהרעל, אולי נוכל למצוא את סיטוס!",,
1.msg,1,0,2,11,4,00000001,"""Surely we can find Cetus now!"" ",לבטח נוכל למצוא את סיטוס עכשיו!,,
1.msg,1,0,2,12,4,00000001,"""I'm scared that time is running out for Cetus!""",אני מפחד שהזמן הולך ואוזל עבור סיטוס!,,
1.msg,1,0,2,13,4,00000001,"""A trident!  Cool!  Love those three prongs at the end.  Don't point them at me, though!""    ",קלשון! מגניב! אני מת על שלושת החודים בקצה. אבל אל תכוון אותם לכיווני!,,
1.msg,1,0,2,14,4,00000001,"""A conch.  Neat.  Ya know conches make really neat sounds when you blow on them.""   ",קונכיה. מדליק. אתה יודע שקונכיות משמיעות צלילים מיוחדים כשנושפים עליהן.,,
1.msg,1,0,2,15,4,00000001,"""What a nice shell.  It looks like it would make someone a nice home someday."" ","איזה צדף יפה. הוא יהיה בית מוצלח עבור מישהו, יום אחד.",,
1.msg,1,0,2,16,4,00000001,"""Made a good impression on the Guardian of the Greens, did ya?  What a schmoozer.  Save it for something important though, kid.""    ","עשית רושם טוב על שומרת הגנים, הא? מאוד ממולח! שמור את זה עבור משהו חשוב, ילד.",,
1.msg,1,0,2,17,4,00000001,"""Don't fence me in, Adam.  A cage is no place for man nor beast.  It's good for something else though, I'm sure."" ","אל תסגור אותי, אדם. כלוב הוא לא מקום לאדם או לחיה. זה טוב למשהו אחר, אני בטוח.",,
1.msg,1,0,2,18,4,00000001,"""That badge looks official ta me, Adam.  Try it on Gregarious.""","לי התג הזה נראה רשמי, אדם. נסה אותו על גרגאריוס.",,
1.msg,1,0,2,19,4,00000001,"""I'm impressed you can carry all that around with ya, Adam.  You humans must be awfully strong.""","אני מתפעל שאתה יכול לסחוב את כל הדברים האלו איתך, אדם. אתם בני האדם חייבים להיות ממש חזקים.",,
1.msg,1,0,0,2,4,00000001,"""Phew. Don't put that garbage bag near me!"" ",פיו. אל תשים את שקית האשפה הזו לידי!,,
1.msg,1,0,0,3,4,00000001,"""I'm glad you came to help us, Adam!"" ","אני שמח שבאת לעזור לנו, אדם!",,
1.msg,1,0,0,4,4,00000001,"""Did I mention that the word 'dolphin' comes from the Greek word 'delphinos?'""  ",ציינתי שמקור המילה דולפין מהמילה היוונית דלפינוס?,,
1.msg,1,0,0,5,4,00000001,"""Did I tell you that ancient peoples used images of dolphins to represent the soul?"" ",סיפרתי לך שהאנשים העתיקים השתמשו בתמונות של דולפינים כדי לתאר את הנפש?,,
1.msg,1,0,0,6,4,00000001,"""Do you have an aspirin, Adam?""","יש לך כדור אקמול, אדם?",,
1.msg,1,0,0,7,4,00000001,"""That's too bad, because I've got a terrible haddock!"" ","באסה, כי חטפתי צנינון רציני!",,
1.msg,1,0,0,8,4,00000001,"""Really? Say, you ARE beginning to look a little eel.""","באמת? למען האמת, אתה באמת מתחיל להראות קצת צלופחי.",,
1.msg,1,0,0,9,4,00000001,"""Do you know how a fish learns to sing?""",אתה יודע איך דגים לומדים לשיר?,,
1.msg,1,0,0,10,4,00000001,"""Well, first she has to learn the scales!""",מתחילים במפתח סול!,,
1.msg,1,0,0,11,4,00000001,"""Then she has to sing in the key of Sea!""",אז כבר חייבים את מפתח הים!,,
1.msg,1,0,0,12,4,00000001,"""Do you know what happens if a piano goes out of tune underwater?""",אתה יודע מה קורה אם פסנתר יוצא מכיוונון מתחת לים?,,
1.msg,1,0,0,13,4,00000001,"""We call the Piano Tuna!""",אנחנו קוראים לטונת הפסנתר!,,
1.msg,1,0,0,14,4,00000001,"""I used to play the harp for my friend Sam the Clam, who owned an Underwater Nightclub!""","פעם הייתי מנגן בנבל עבור החבר שלי, סאם הצדפה, שהיה הבעלים של מועדון תת-ימי!",,
1.msg,1,0,0,15,4,00000001,"""I don't have it anymore. I left my harp in Sam Clam's disco!""",אין לי אותו יותר. השארתי אותו בדיסקו של סאם הצדפה!,,
1.msg,1,0,0,16,4,00000001,"""Adam, do you know why there's always plenty to eat at the beach?""","אדם, אתה יודע למה בחוף הים אף אחד לא רעב?",,
1.msg,1,0,0,17,4,00000001,"""Because of all the sand which is there!"" ",כי יש מלאאא חול שם!,,
1.msg,1,0,0,18,4,00000001,"""The surface of the ocean is too crowded.""  ",קרקעית הים צפופה מדי.,,
1.msg,1,0,0,19,4,00000001,"""Because of all the buoys and gulls up there!""  ",בגלל כל המצופים והשחפים שיש שם!,,
1.msg,1,0,0,20,4,00000001,"""Did I ever tell you about the time I bumped into another dolphin?""",האם סיפרתי לך פעם שנתקלתי בדולפין אחר?,,
1.msg,1,0,0,21,4,00000001,"""No, on porpoise!""","לא, בפוקנה!",,
1.msg,1,0,0,22,4,00000001,"""Ya know what my favorite songs are, Adam?""","תה יודע מה השירים האהובים עליי, אדם?",,
