"חדר","שם","פועל","תנאי","רצף","דובר","מקור","תרגום","הערות","ריפוד","False"
"0.0","29.0","0.0","8.0","9.0","97.0","QA Configuration:
    Team Lead:  Dave Clingman
    Jon Meek, Daryle Smith,
    Roger Clendenning, Lynne Dayton,
    Doug Wheeler, John Trauger,
    Leonard Salas, Ken Eaton,
    Sharon Simmons, Mike Jones,
    Catie Andrews
Special Thanks:
    Woodholly Productions,
    Dan Kehler, Stuart Moulder,
    Sabine Duvall, Mark Hood,
    Jim Thomas, Bil Skirvin,
    Lesa Spravka, Tony Caudill,
    Terese Nielsen, Nathan Gams,
    the GK beta testers
Napolean House Music:
    Vivaldi
     From ""Lute Concerto in D""","הבטחת איכות:
    Team Lead:  Dave Clingman
    Jon Meek, Daryle Smith,
    Roger Clendenning, Lynne Dayton,
    Doug Wheeler, John Trauger,
    Leonard Salas, Ken Eaton,
    Sharon Simmons, Mike Jones,
    Catie Andrews
Special Thanks:
    Woodholly Productions,
    Dan Kehler, Stuart Moulder,
    Sabine Duvall, Mark Hood,
    Jim Thomas, Bil Skirvin,
    Lesa Spravka, Tony Caudill,
    Terese Nielsen, Nathan Gams,
    the GK beta testers
Napolean House Music:
    Vivaldi
     From ""Lute Concerto in D""","","00000000","False"
"0.0","29.0","0.0","19.0","1.0","97.0","Hints","רמזים","","00000000","False"
"0.0","29.0","0.0","20.0","1.0","97.0","""Gabriel Knight"" is a challenging game.  Don't be afraid to take advantage of hints to avoid frustration and increase your enjoyment of the story.  See page 32 and 33 of the ""Gabriel Knight:  Sins of the Fathers"" technical manual for details on Sierra's hint line, the ""Gabriel Knight"" hint book, Sierra's hint Bulletin Board, and international hints.","""גבריאל נייט"" זה משחק מאתגר. אל תחששו להשתמש ברמזים כדי למנוע תסכול ולהגביר את ההנאה מהסיפור, ראו עמודים 32-33 במדריך הטכני של ""גבריאל נייט עוון האבות"" לקבלת מידע נוסף על קו הרמזים של חברת סיירה, ספר הרמזים של ""גבריאל נייט"", לוח המודעות לרמזים של סיירה ורמזים בין לאומיים.","","00000000","False"
"0.0","29.0","0.0","7.0","1.0","97.0","How to Play","איך משחקים","","00000000","False"
"0.0","29.0","0.0","11.0","1.0","97.0","The GK icon interface:
To play, use the icon bar cursors to try actions on objects on the screen.  The Gabriel Knight icons include:","ממשק הצלמיות של גבריאל נייט: כדי לשחק, השתמשו בלוח הצלמיות כדי לבצע פעולות על חפצים שונים במסך. הצלמיות של גבריאל נייט כוללות:","","00000000","False"
"0.0","29.0","0.0","11.0","2.0","97.0","WALK:  To move Gabriel around
LOOK:  To get descriptive messages--and often game hints
ASK:  To go into Interrogation Mode with characters
TALK:  To chat with characters
PICK-UP:  To take items on screen
OPEN/CLOSE:  To open or close objects on screen
OPERATE:  To ""use"" an object on screen that has a specific function
MOVE:  To push or pull an object on screen","הליכה: כדי להעביר את גבריאל ממקום למקום 
מבט: כדי לקבל מסרים לתיאור עצמים - ולעתים גם רמזים למשחק
שאלה: כדי להיכנס למצב חקירה עם דמויות אחרות
שיחה: כדי לפטפט עם דמויות אחרות
הרמה: כדי לקחת חפצים במסך
פתיחה/סגירה: כדי לפתוח או לסגור חפצים במשחק
תפעול: כדי ""להשתמש"" בחפצים לפעולה ספציפית אליה נועדו
הזזה: כדי לדחוף או למשוך חפצים במסך  ","","00000000","False"
"0.0","29.0","0.0","11.0","3.0","97.0","Also on the icon bar is a question mark.  Select the question mark button and then move the question mark over the other icons to get help messages.","בלוח הצלמיות יש גם סימן שאלה. בחרו בכפתור סימן השאלה והעבירו אותו מעל הצלמיות לקבלת עזרה נוספת.","","00000000","False"
"0.0","29.0","0.0","11.0","4.0","97.0","Read your ""Gabriel Knight:  Sins of the Fathers"" technical manual for strategy/playing tips, first few puzzles walkthrough, and a more thorough explanation of the icon bar, control panel, and other game interfaces.","קראו את המדריך הטכני של ""גבריאל נייט: עוון האבות"" כדי למצוא שיטות ועצות למשחק, פתרונות לכמה מהחידות הראשונות, והסברים נוספים על לוח הצלמיות, לוח הבקרה וממשקים נוספים.","","00000000","False"
"0.0","0.0","0.0","1.0","1.0","1.0","""(TO PLAYER. SARCASTIC)You're leaving me alone with this mess?""","""אתם משאירים אותי לבד עם הברדק הזה?""","","00000000","False"
"0.0","0.0","0.0","1.0","2.0","97.0","Yup.  You're on your own, pal.","כן. אתה לבדך, חבר.","","00000000","False"
"0.0","0.0","0.0","1.0","3.0","97.0","Nah.  I'll stay.","לאא. אני אשאר.","","00000000","False"
"0.0","0.0","0.0","3.0","1.0","1.0","""(TO PLAYER. DISBELIEF)You want to relive this nightmare from the BEGINNING?""","""אתם בטוחים שאתם רוצים לחוות שוב את הסיוט הזה מההתחלה?""","","00000000","False"
"0.0","0.0","0.0","3.0","2.0","97.0","Yes.  Restart game.","כן. התחל מחדש את המשחק.","","00000000","False"
"0.0","0.0","0.0","3.0","3.0","97.0","No, now that you mention it.","לא, עכשיו שאתה מעלה את זה.","","00000000","False"
"0.0","0.0","10.0","0.0","1.0","99.0","There's no one there to interrogate.","אין שם אף אחד לחקור.","","00000000","False"
"0.0","0.0","10.0","0.0","2.0","99.0","Gabriel can't interrogate that.","גבריאל לא יכול לחקור את זה.","","00000000","False"
"0.0","0.0","10.0","0.0","3.0","99.0","That wouldn't be particularly illuminating.","זה כנראה לא ישפוך אור על העניין.","","00000000","False"
"0.0","0.0","79.0","0.0","1.0","99.0","The badge would hardly impress that.","תעודת השוטר בקושי תרשים את זה.","","00000000","False"
"0.0","0.0","116.0","0.0","1.0","99.0","Why leave the mask there?","מה הטעם להשאיר את המסכה שם?","","00000000","False"
"0.0","0.0","125.0","0.0","1.0","99.0","The bones wouldn't be useful there.","העצמות לא יועילו שם.","","00000000","False"
"0.0","0.0","130.0","0.0","1.0","99.0","That record book is evidence.  Gabriel doesn't want to leave it there.","ספר העדויות הזה הוא ראיה. גבריאל לא רוצה להשאיר את זה שם.","","00000000","False"
"0.0","0.0","43.0","0.0","1.0","99.0","There's no reason to use the mold there.","אין סיבה להשתמש בבוץ הקשיח שם.","","00000000","False"
"0.0","0.0","42.0","0.0","1.0","99.0","Using the snake bracelet there wouldn't help.","להשתמש בצמיד הנחש שם לא יעזור.","","00000000","False"
"0.0","0.0","66.0","0.0","1.0","99.0","There's no need to write on that.","אין צורך לכתוב על זה.","","00000000","False"
"0.0","0.0","32.0","0.0","1.0","99.0","Gabriel doesn't want to waste the money there.","גבריאל לא רוצה לבזבז את הכסף שלו שם.","","00000000","False"
"0.0","0.0","104.0","0.0","1.0","99.0","The chamber pot wouldn't do much good there.","סיר הלילה לא ממש יעזור שם.","","00000000","False"
"0.0","0.0","28.0","0.0","1.0","99.0","Why use the clay there?","למה להשתמש בבוץ הקשיח שם?","","00000000","False"
"0.0","0.0","31.0","0.0","1.0","99.0","The crocodile mask wouldn't do much there.","מסיכת התנין לא תעזור שם יותר מידי.","","00000000","False"
"0.0","0.0","15.0","0.0","1.0","99.0","Gabriel doesn't want to sketch that.","גבריאל לא רוצה לצייר את זה.","","00000000","False"
"0.0","0.0","34.0","0.0","1.0","99.0","There's no reason to put the drawing there.","אין סיבה להניח את הציור שם.","","00000000","False"
"0.0","0.0","18.0","0.0","1.0","99.0","The book wouldn't help with that.","הספר לא יעזור עם זה.","","00000000","False"
"0.0","0.0","129.0","0.0","1.0","99.0","The flashlight couldn't make that any clearer.","הפנס לא יהפוך את זה לברור יותר.","","00000000","False"
"0.0","0.0","22.0","0.0","1.0","99.0","Putting the scales there wouldn't help.","להניח את הקשקשים שם לא יעזור.","","00000000","False"
"0.0","0.0","46.0","0.0","1.0","99.0","Why put the oil there?","למה להניח את השמן שם?","","00000000","False"
"0.0","0.0","105.0","0.0","1.0","99.0","Gabriel can't use the scroll on that.","גבריאל לא יכול להניח את המגילה שם.","","00000000","False"
"0.0","0.0","5.0","0.0","1.0","99.0","There's no reason to use the gift certificate here.","אין סיבה להשתמש בכרטיס המתנה שם.","","00000000","False"
"0.0","0.0","50.0","0.0","1.0","99.0","The photo wouldn't affect that.","התמונה לא תשפיע על זה.","","00000000","False"
"0.0","0.0","37.0","0.0","1.0","99.0","Gabriel prefers to keep Gunter's journal close at hand.","גבריאל מעדיף לשמור את היומן של גונטר בהישג יד.","","00000000","False"
"0.0","0.0","72.0","0.0","1.0","99.0","Why gel that?","לשם מה למרוח את זה בג'ל?","","00000000","False"
"0.0","0.0","19.0","0.0","1.0","99.0","Gabriel doesn't want to lose those notes.","גבריאל לא רוצה לאבד את הרישומים האלה.","","00000000","False"
"0.0","0.0","87.0","0.0","1.0","99.0","That icon is currently disabled.","הצלמית הזו אינה פעילה כרגע.","","00000000","False"
"0.0","0.0","123.0","0.0","1.0","99.0","The key doesn't seem to work on that.","נראה שהמפתח לא עובד על זה.","","00000000","False"
"0.0","0.0","20.0","0.0","1.0","99.0","","","","00160000","False"
"0.0","0.0","23.0","0.0","1.0","99.0","There's no point in using the pattern there.","אין טעם להשתמש בתבנית שם.","","00000000","False"
"0.0","0.0","7.0","0.0","1.0","99.0","Gabriel sees nothing unusual.","גבריאל לא רואה שום דבר חריג.","","00000000","False"
"0.0","0.0","7.0","0.0","2.0","99.0","Gabriel sees nothing out of the ordinary.","גבריאל לא רואה שום דבר יוצא מהכלל.","","00000000","False"
"0.0","0.0","7.0","0.0","3.0","99.0","Gabriel sees nothing that catches his attention.","גבריאל לא רואה דבר שתופס את תשומת ליבו.","","00000000","False"
"0.0","0.0","115.0","0.0","1.0","99.0","","","","00200000","False"
"0.0","0.0","33.0","0.0","1.0","99.0","Leave the lucky dog lying around?  For shame!","להשאיר נקניקיית זוגלובק זרוקה ככה? איזו בושה!","","00000000","False"
"0.0","0.0","4.0","0.0","1.0","99.0","Gabriel can see that just fine without magnification.","גבריאל רואה את זה מצוין ללא הזכוכית מגדלת.","","00000000","False"
"0.0","0.0","121.0","0.0","1.0","99.0","Gabriel doesn't need to disguise that.","גבריאל לא צריך להסוות את זה.","","00000000","False"
"0.0","0.0","120.0","0.0","1.0","99.0","","","","00790000","False"
"0.0","0.0","21.0","0.0","1.0","99.0","","","","00160000","False"
"0.0","0.0","86.0","0.0","1.0","99.0","There doesn't seem to be a way to put that on the card.","לא נראה שיש דרך לשים זאת על הכרטיס.","","00000000","False"
"0.0","0.0","56.0","0.0","1.0","99.0","The envelope would do little good there.","המעטפה תעזור מעט מאוד שם.","","00000000","False"
"0.0","0.0","44.0","0.0","1.0","99.0","The key doesn't work there.","המפתח לא עובד שם.","","00000000","False"
"0.0","0.0","29.0","0.0","1.0","99.0","(ARCC)Now, Mosely wouldn't appreciate that.","עכשיו, מוזלי לא יעריך את זה.","","00000000","False"
"0.0","0.0","9.0","0.0","1.0","99.0","There is nothing to move there.","אי אפשר להזיז שם שום דבר.","","00000000","False"
"0.0","0.0","9.0","0.0","2.0","99.0","Why move that?","למה להזיז את זה?","","00000000","False"
"0.0","0.0","9.0","0.0","3.0","99.0","Moving that would do little good.","להזיז את זה יעזור מעט מאוד.","","00000000","False"
"0.0","0.0","9.0","0.0","4.0","99.0","Gabriel can't move that.","גבריאל לא יכול להזיז את זה.","","00000000","False"
"0.0","0.0","17.0","0.0","1.0","99.0","","","","00320000","False"
"0.0","0.0","26.0","0.0","1.0","99.0","","","","00160000","False"
"0.0","0.0","41.0","0.0","1.0","99.0","The newspaper clipping would do little good there.","גזירי העיתון לא ממש יעזרו שם.","","00000000","False"
"0.0","0.0","61.0","0.0","1.0","99.0","Why put the note there?","מדוע להניח את הפתק שם?","","00000000","False"
"0.0","0.0","6.0","0.0","1.0","99.0","There is nothing to open or close there.","אין שם שום דבר שאפשר לפתוח או לסגור.","","00000000","False"
"0.0","0.0","6.0","0.0","2.0","99.0","Gabriel can't open or close that.","גבריאל לא יכול לפתוח או לסגור את זה.","","00000000","False"
"0.0","0.0","6.0","0.0","3.0","99.0","That doesn't seem to work that way.","לא נראה שזה עובד ככה.","","00000000","False"
"0.0","0.0","8.0","0.0","1.0","99.0","There is nothing to operate there.","אין שום דבר להפעיל שם.","","00000000","False"
"0.0","0.0","8.0","0.0","2.0","99.0","Gabriel can't see a way to use that.","גבריאל לא רואה איך להשתמש בזה.","","00000000","False"
"0.0","0.0","8.0","0.0","3.0","99.0","That doesn't work that way.","זה לא עובד ככה.","","00000000","False"
"0.0","0.0","8.0","0.0","4.0","99.0","That doesn't operate.","זה לא פועל.","","00000000","False"
"0.0","0.0","49.0","0.0","1.0","99.0","The phone book page would do little good there.","הדף מספר הטלפונים לא ממש יעזור שם.","","00000000","False"
"0.0","0.0","67.0","0.0","1.0","99.0","","","","00380000","False"
"0.0","0.0","12.0","0.0","1.0","99.0","Gabriel can't take that.","גבריאל לא יכול לקחת את זה.","","00000000","False"
"0.0","0.0","12.0","0.0","2.0","99.0","That doesn't seem to be removable.","לא נראה שזה ניתן להסרה.","","00000000","False"
"0.0","0.0","12.0","0.0","3.0","99.0","Gabriel can't see any way to pick that up.","גבריאל לא רואה כיצד להרים את זה.","","00000000","False"
"0.0","0.0","12.0","0.0","4.0","99.0","Gabriel doesn't want to take that with him.","גבריאל לא רוצה לקחת את זה איתו.","","00000000","False"
"0.0","0.0","12.0","0.0","5.0","99.0","Gabriel doesn't need to carry that around.","גבריאל לא רוצה להסתובב עם זה.","","00000000","False"
"0.0","0.0","48.0","0.0","1.0","99.0","There's no point in using the patterns that way.","אין טעם להשתמש בתבנית בצורה הזאת.","","00000000","False"
"0.0","0.0","24.0","0.0","1.0","99.0","","","","00300000","False"
"0.0","0.0","64.0","0.0","1.0","99.0","Gabriel can't see a way to use the collar there.","גבריאל לא רואה איך להשתמש בקולר שם.","","00000000","False"
"0.0","0.0","101.0","0.0","1.0","99.0","Why use the dagger on that?","לשם מה להשתמש בפגיון על זה?","","00000000","False"
"0.0","0.0","14.0","0.0","1.0","99.0","Gabriel doesn't need to share that letter.","גבריאל לא צריך לשתף את המכתב הזה.","","00000000","False"
"0.0","0.0","39.0","0.0","1.0","99.0","","","","00110000","False"
"0.0","0.0","122.0","0.0","1.0","99.0","Draping the robe over that would be pointless.","אין טעם לכסות את זה בחלוק.","","00000000","False"
"0.0","0.0","106.0","0.0","1.0","99.0","Putting salt there would be pointless.","לשים שם מלח יהיה חסר טעם.","","00000000","False"
"0.0","0.0","107.0","0.0","1.0","99.0","Why cut that?","למה לחתוך את זה?","","00000000","False"
"0.0","0.0","73.0","0.0","1.0","99.0","The priest's garb would make little impression on that.","תלבושת הכומר תעשה מעט מאוד רושם שם.","","00000000","False"
"0.0","0.0","74.0","0.0","1.0","99.0","Gabriel can't use the black shirt that way.","גבריאל לא יכול להשתמש בחולצה השחורה ככה.","","00000000","False"
"0.0","0.0","60.0","0.0","1.0","99.0","Gabriel wouldn't want to track that.","גבריאל לא רוצה לאתר את זה.","","00000000","False"
"0.0","0.0","108.0","0.0","1.0","99.0","","","","007b0000","False"
"0.0","0.0","84.0","0.0","1.0","99.0","(RRCC. RERECORD.)Gabriel would rather keep the book.","גבריאל מעדיף לשמור את הספר.","","00000000","False"
"0.0","0.0","76.0","0.0","1.0","99.0","Gabriel can't see a way to use the rod there.","גבריאל לא רואה כיצד להשתמש במטה שם.","","00000000","False"
"0.0","0.0","88.0","0.0","1.0","99.0","","","","00590000","False"
"0.0","0.0","124.0","0.0","1.0","99.0","The talisman wouldn't help there.","הקמע לא יעזור שם.","","00000000","False"
"0.0","0.0","11.0","0.0","1.0","99.0","There's no one to talk to there.","אין שם אף אחד לדבר איתו.","","00000000","False"
"0.0","0.0","11.0","0.0","2.0","99.0","Gabriel doesn't see any use in consulting that.","גבריאל לא רואה שם צורך להיוועץ עם זה.","","00000000","False"
"0.0","0.0","11.0","0.0","3.0","99.0","Talking to that would be unenlightening.","לדבר עם זה יתן חוסר הארה.","","00000000","False"
"0.0","0.0","11.0","0.0","4.0","99.0","There is no response.","אין תגובה.","","00000000","False"
"0.0","0.0","30.0","0.0","1.0","99.0","Why use the tattoo tracing on that?","למה להשתמש בשחזור הקעקוע על זה?","","00000000","False"
"0.0","0.0","98.0","0.0","1.0","99.0","","","","00590000","False"
"0.0","0.0","99.0","0.0","1.0","99.0","","","","00590000","False"
"0.0","0.0","89.0","0.0","1.0","99.0","The tile doesn't seem to go there.","לא נראה שהאריח עובד עם זה.","","00000000","False"
"0.0","0.0","90.0","0.0","1.0","99.0","","","","00590000","False"
"0.0","0.0","91.0","0.0","1.0","99.0","","","","00590000","False"
"0.0","0.0","92.0","0.0","1.0","99.0","","","","00590000","False"
"0.0","0.0","93.0","0.0","1.0","99.0","","","","00590000","False"
"0.0","0.0","94.0","0.0","1.0","99.0","","","","00590000","False"
"0.0","0.0","95.0","0.0","1.0","99.0","","","","00590000","False"
"0.0","0.0","96.0","0.0","1.0","99.0","","","","00590000","False"
"0.0","0.0","97.0","0.0","1.0","99.0","","","","00590000","False"
"0.0","0.0","45.0","0.0","1.0","99.0","Why leave the tracker there?","למה להשאיר את המאתר שם?","","00000000","False"
"0.0","0.0","3.0","0.0","1.0","99.0","There's nothing to use the tweezers on there.","אין על מה להשתמש בפינצטה שם.","","00000000","False"
"0.0","0.0","51.0","0.0","1.0","99.0","","","","00160000","False"
"0.0","0.0","35.0","0.0","1.0","99.0","The veil would do little good there.","הרעלה תעזור מעט מאוד שם.","","00000000","False"
"0.0","0.0","16.0","0.0","1.0","99.0","Gabriel doesn't see a way to use the pattern there.","גבריאל לא רואה איך להשתמש בתבנית שם.","","00000000","False"
"0.0","0.0","40.0","0.0","1.0","99.0","Gabriel doesn't see a way to use that there.","גבריאל לא רואה איך להשתמש בזה שם.","","00000000","False"
"0.0","0.0","59.0","0.0","1.0","99.0","","","","00280000","False"
"0.0","0.0","13.0","0.0","1.0","99.0","Gabriel can't walk there.","גבריאל לא יכול ללכת לשם.","","00000000","False"
"0.0","0.0","13.0","0.0","2.0","99.0","Gabriel can't get there.","גבריאל לא יכול להגיע לשם.","","00000000","False"
"0.0","0.0","13.0","0.0","3.0","99.0","That area is not accessible.","האזור הזה לא נגיש.","","00000000","False"
"0.0","0.0","36.0","0.0","1.0","99.0","","","","000e0000","False"
"0.0","0.0","114.0","0.0","1.0","99.0","","","","00740000","False"
"0.0","0.0","38.0","0.0","1.0","99.0","Why use the phone number there?","למה להשתמש במספר הטלפון שם?","","00000000","False"
"0.0","8.0","68.0","0.0","1.0","97.0","The ASK icon allows you to Interrogate someone.  In Interrogation mode you can select specific topics.  Click on the ASK icon, then click the ASK cursor on a person on the screen.","אייקון השאלה מאפשר לכם לתחקר מישהו. 
במצב החקירה ניתן לשאול על נושאים ספציפים.
תלחצו על אייקון השאלה, ולאחר מכן הקליקו עם אייקון השאלה על האדם שבמסך.","","00000000","False"
"0.0","14.0","68.0","0.0","1.0","97.0","The CONTROLS button brings up the control panel.  The control panel allows you to change various optional settings in the game, to SAVE or RESTORE a game, and to RESTART or QUIT.","לחצן השליטה מעלה את בקרת השליטה.
בקרת השליטה מאפשרת לבצע כמה שינויים במשחק, שמירה או טעינה, וגם להתחיל או לצאת.","","00000000","False"
"0.0","11.0","68.0","0.0","1.0","97.0","This window will show the inventory item that's currently ""active"" as an inventory cursor, if there is one.","החלון הזה יראה את החפץ שכרגע ""פעיל"" כסמן, אם יש אחד כזה.","","00000000","False"
"0.0","28.0","0.0","4.0","1.0","97.0","You have selected the Recorder.  The Recorder will allow you to replay conversations that occur in the Interrogation mode (ASK icon).  The Recorder is not available for the day 1 demo.","בחרת ברשמקול. הרשמקול יאפשר לך לשחזר שיחות שהתקיימו במצב חקירה (כפתור שאלה). 
הרשמקול לא זמין ביום 1 בגירסאת הדמו.","","00000000","False"
