"filename","idx","original","translation","הערות","",""
"Main.sc","19.0","A brave but fatal attempt at arterial art.","ניסוי אמיץ אך קטלני באומנות עורקית.","","",""
"Main.sc","20.0","You have blown your `cover'.","חשפת את ה'כיסוי' שלך.","","",""
"Main.sc","21.0","You have demonstrated a surprising lack of janitorial skill.__Perhaps this would be an opportune time to `brush up' on your technique with Space Quest I and II.","הדגמת היעדר מפתיע בכישורי ניקיון. אולי זאת בדיוק ההזדמנות הנכונה 'לצחצח' את יכולותיך בעזרת מסע בחלל 1 ו-2.","","",""
"Main.sc","22.0","You have taken the big plunge.","","צביקה: אין פה בעיה, רק הדגשתי חורים, שלא נפספס","",""
"Main.sc","23.0","That's one small step for man... One giant leap for janitor-kind.","צעד קטן לאדם... צעד גדול לעובדי הניקיון.","","",""
"Main.sc","24.0","Sunbathing Not Recommended","השתזפות אינה מומלצת","","",""
"Main.sc","25.0","It's so hot you could fry a Vorlian phlegmsnake egg.","זה כל כך לוהט שאתה יכול לטגן עליו ביצת נחשריר וורליאני.","","",""
"Main.sc","26.0","Don't Trust Guys in Black Spacesuits","בחיים אל תסמוך על בחורים בחליפות חלל שחורות.","","",""
"Main.sc","27.0","A pulselaser blast to the forehead is not your idea of fun.__Fortunately, it didn't hit anything important.","יריית לייזר שפוגעת ישר במוח אינה הכיף האידיאלי.__למרבה המזל, היא לא פגעה במשהו חשוב.","","",""
"Main.sc","28.0","Down for the Count","על הקרשים","","",""
"Main.sc","29.0","Better hang out at the gym more often.","כדאי שתבקר בחדר כושר לעיתים קרובות יותר.","","",""
"Main.sc","30.0","Hole In One!","במכה אחת!","","",""
"Main.sc","31.0","Hope you enjoy your new flow-through ventilation system.","מקווה שתיהנה ממערכת האוורור החדשה שהותקנה בך.","","",""
"Main.sc","32.0","Just Like Mom Used to Make","בדיוק כמו שאמא הייתה מכינה","","",""
"Main.sc","33.0","As your life sputters to a close, you decide to cut down on desserts.","","צביקה: אין פה בעיה, רק הדגשתי חורים, שלא נפספס","",""
"Main.sc","34.0","Be More Careful With Explosives","מומלץ להיות יותר זהיר עם חומרי נפץ","","",""
"Main.sc","35.0","Didn't mom always tell you not to play with firecrackers?","אמא שלך לא הזהירה אותך לא לשחק עם נפצים?","","",""
"Main.sc","36.0","Congratulations On Your Recent Death !","ברכות לרגל מותך!","","",""
"Main.sc","37.0","Thanks for playing Space Quest ]I[. As usual, you've been a real hoot.","הודעת מוות אחרונה","","",""
"Main.sc","38.0","Restore","טען","שלושת אלה זה האפשרויות אחרי שמתים","ניב: עדיף להשתמש בשמות פעולה כאן במקום
צביקה: אני מניח שזה אותו דיון שהיה לנו פעם על התרגום של ScummVM...
לא זוכר איך שכנעת אותי אז ;-) 
אבל כאן, באנגלית זה ""Restore"", לא Restoring (שזה לדעתי מקביל ל'טעינה').
ובכל מקרה, המחשב מחכה לפקודה. ואני מורה לו ""טען"". לא מספר לו סיפור ""יש בעולם טעינה""
","טעינה"
"Main.sc","39.0","Restart","התחל מחדש",""," ",""
"Main.sc","40.0","____Quit____","צא","","יציאה",""
"Main.sc","41.0","Turn Off","כבה","","",""
"Main.sc","42.0","Turn On","הדלק","","",""
"Main.sc","49.0","You are still carrying the piece of orium you picked up on Labion during your last adventure. However, it has long since lost its glow.","אתה עדיין נושא עליך את חתיכת האוריום שאספת בלביון במהלך הרפתקתך הקודמת. אולם למצער, זוהרה אבד מזה עידן ועידנים.","חשוב מאד! מכאן ולמטה, זה ה inventory.
שורה ראשונה זה תאור, שורה שאחריה שם הפריט","",""
"Main.sc","50.0","Glowing Gem","יהלום נוצץ","","",""
"Main.sc","51.0","It's a piece of SQ-approved electrical wire.","פיסה מכבל חשמל מאושר לשימוש במסע בחלל.","","",""
"Main.sc","52.0","Wire","חוט","","",""
"Main.sc","53.0","This is a ladder. The evenly spaced rungs allow altitude adjustment.","זה סולם. השלבים במרווחים הקבועים מאפשרים התאמת גובה.","","",""
"Main.sc","54.0","Ladder","סולם","","",""
"Main.sc","55.0","This is an auxiliary reactor.","זהו כור עזר.","","",""
"Main.sc","56.0","Reactor","כור","","",""
"Main.sc","57.0","Orat on a Stick! You can open his mouth, and close his mouth! Hours of fun for all!","אוראט על מקל! אתה יכול לפתוח לו את הפה, ולסגור לו את הפה! שעות של הנאה לכל המשפחה!","יתכן שכדאי פשוט להישאר עם ""אוראט"", או תעתיק אחר. מסתבר ששם המין של היצור הוא במקרה גם הכינוי של הנציג הספציפי הזה של המין. https://spacequest.fandom.com/wiki/Orat - ארי","",""
"Main.sc","58.0","Orat on a Stick","אוראט על מקל","","",""
"Main.sc","59.0","ThermoWeave Shorts.__They keep you cool, and they're oh, so stylish.","תחתוני אריג תרמיים.__הם שומרים על חום גופך, ומגניבים לאללה.","אולי תחתוני תרמו-אריג? או תחתוני אריג תרמיים?","",""
"Main.sc","60.0","ThermoWeave Underwear","תחתוני אריג תרמיים.","","",""
"Main.sc","61.0","Wow! Your Official Astro Chicken Flight Hat!__Man, the babes'll really dig you in this!","וואו! כובע המצחייה הרשמי של אסטרו-עוף, והוא לגמרי שלך!__בנאדם, הבחורות יעופו עליך עם הכובע הזה!","","",""
"Main.sc","62.0","Astro Chicken Flight Hat","","","",""
"Main.sc","63.0","With this ring, you can decode any secret message!__Well, almost any secret message.","בעזרת הטבעת הזאת, תוכל לפענח את כל ההודעות המוצפנות!__ובכן, כמעט את כל ההודעות המוצפנות.","","",""
"Main.sc","64.0","Monolith Decoder Ring","טבעת צופנת פענח","צביקה: נראה לי שעדיף בלי ו'. ככה זה במקור, אצל יוסף","",""
"Main.sc","65.0","Buckazoids","ג'וקואידים","או, לחילופין, ג'וקואידים, או ג'וקונים.
צביקה: לא יודע, מתלבט. זה כינוי חמוד. אבל אני חושב שמעביר תחושה קצת עתיקה...
buck זה סלאנג, לא משהו ישן (עד כמה שאני יודע). אולי עדיף 'שקלואידים'?
לגבי ג'וקואידים - אהבתי. אבל אני זקן ;-)  לא בטוח שה""נוער של ימינו"" מכיר את הכינוי ג'וק לשקל.
לגבי ג'וקונים - נראה לי שעדיף לשמור על הסיומת ""אידים"" - גם דומה לאנגלית, וגם מזכירה אנדרואידים וכו'
ארי: מסכים לגבי הסיומת. לגבי זוז לעומת buck, למרות שהמילה buck היא סלנג, להבנתי מקורה בכך שבעבר - באמריקה של המאה ה-18 -  השתמשו ב-buck skin בתור שווה ערך כסף, ומאז זה נשאר. זוז זה אכן מיושן, אבל זה משהו שכנראה תמיד יכירו במידה כזו או אחרת (תרי-זוזי מההגדה של פסח). מצד שני, ג'וק זה מונח של שנות ה-80, והמשחק הוא כולו מחווה לאייטיז. :)
צביקה: עכשו כשאני רואה ג'וקואידים כתוב, נראה לי שזוזואידים מצלצל יותר טוב...   נשמח לעוד דעות

צביקה: אחרי שישנתי, על זה, נראה לי שעדיף 'זוזואידים', כמו שהיה בהתחלה... (וגם מופיע בעוד כמה מקומות)","",""
"Main.sc","66.0","A handy metal pole.","מוט ברזל שימושי.","ניב: שימושי במקום נגיש
עומר: תוקן","",""
"Main.sc","67.0","Metal Pole","מוט ברזל.","","",""
"Main.sc","68.0","Used for blowing stuff to little bits.___It has an impact switch, so in other words...DON'T DROP IT!","משמש לפיצוץ דברים לרסיסים קטנים.__יש עליו מתג התנגשות, אז במילים אחרות... שלא יפול לך!","","",""
"Main.sc","69.0","Thermal Detonator","רימון תרמו-גרעיני","רימון תרמו-גרעיני?
עומר: מאיפה הגיע הגרעיני?
ארי: המצאה שלי. כדי להדגיש שמדובר ברימון רב-עוצמה. אתה יכול לקרוא עליהם כאן: https://starwars.fandom.com/wiki/Thermal_detonator/Legends (אני מניח ששני החברה שאבו את הרעיון לכך ממלחמת הכוכבים).","",""
"Main.sc","70.0","Elmo Pug's personal keycard for opening locked doors.","תג אישי של אלמו פאג לפתיחת דלתות נעולות.","","",""
"Main.sc","71.0","Keycard","כרטיס מגנטי","כרטיס מגנטי אולי?","",""
"Main.sc","72.0","A pair of janitor's coveralls. Used for looking the part.","חליפת סרבל. משמשת לכניסה לתפקיד.","ארי: אני לא בטוח שזוג סרבלים זה תרגום כ""כ טוב. זה לא כמו מכנסיים. חליפת סרבל או סרבל שרתים זה נכון יותר.","",""
"Main.sc","73.0","Coveralls","סרבל","","",""
"Main.sc","74.0","Mr. Garbage: a janitor's best friend. Designed to vaporize all nonorganic biodegradable matter (i.e. trash).","מר אשפה: חברו הטוב של השרת. משמש לאיון של חומר לא אורגני מתכלה (דהיינו זבל).","למעשה, vaporize זה לאדות, אבל נשמע לי פחות טוב. צריך לחשוב על זה עוד קצת.
עומר: לדעתי מר פח או מר אשפה כי אנחנו מדברים על כלי האשפה, לא על הזבל שבפנים","",""
"Main.sc","75.0","Vaporizer","מאיין","","",""
"Main.sc","76.0","A fine likeness of Elmo Pug's mug. Elmo Pug is the dashing young owner of ScumSoft, Inc.","עותק מצויין של דיוקנו של אלמו פאג. אלמו פאג הוא הבעלים הצעיר והנמרץ של חברת התוכנה טינופת-סופט בע""מ.","אולי: דמות דיוקנו של אלמו פאג. אלמו פאג הוא בעליה הצעיר והנמרץ של חברת טינופתסופט בע""מ.
ארי: אהבתי! הוספתי את המילה תוכנה, כדי לקשר בין scumsoft למיקרוסופט בצורה יותר ברורה.
צביקה: טינופתסופט זה אחלה. אגב, תמיד היה ברור לי שזה על שם מיקרוסופט, ואלמו זה ביל גייטס. אבל לא מזמן ראיתי את הראיון הזה. והאמת, היה לי עצוב...","",""
"Main.sc","77.0","Elmo's picture","תמונה של אלמו","","",""
"Main.sc","78.0","A fine likeness of a likeness of Elmo Pug's mug.","עותק מצויין של עותק של דיוקנו של אלמו פאג.","","",""
"Main.sc","79.0","a copy of Elmo's picture","עותק של תמונת אלמו","","",""
"Main.sc","80.0","Terminator's invisibility belt.","חגורת ההיעלמות של המחסל.","","",""
"Main.sc","81.0","Invisibility Belt","חגרות היעלמות","","",""
"Main.sc","82.0","A bag chock-full of gastric delights!","שקית מפוצצת במעדני תבל!","","",""
"Main.sc","83.0","Bag of Fast Food","שקית מזון מהיר","","",""
"postCard.sc","0.0","Read Back","","","",""
"postCard.sc","1.0","Read Back","","","",""
"postCard.sc","2.0","Read Back","","","",""
"postCard.sc","3.0","Read Back","","","",""
"postCard.sc","4.0","Read Back","","","",""
"postCard.sc","5.0","Read Back","","","",""
"rm001.sc","0.0","\04 1989 Sierra On-Line, Inc.","","","",""
"rm001.sc","1.0","Created and Written by","","","",""
"rm001.sc","2.0","Mark Crowe and Scott Murphy","מארק קרואו וסקוט מרפי","","",""
"rm001.sc","3.0","Programmed by\n\n\nGraphics by\n\nGame Development System by\n\n\nMusic by\n\nSound Effects & Music Editing by","","","",""
"rm001.sc","4.0","\nScott Murphy, Doug Oldfield,\nKen Koch, Chris Smith\n\nMark Crowe\n\nJeff Stephenson, Bob Heitman,\nPablo Ghenis, Stuart Goldstein\n\nBob Siebenberg\n\nMark Seibert","","","",""
"rm001.sc","5.0","It has been an indeterminate amount\nof time since Roger Wilco rocketed\naway from Vohaul's burning space\nfortress. Time stands still for our\nhero in suspended animation.","פרק זמן בלתי מוגדר חלף עבר
מאז שרוג'ר ווילקו נסק אל על
ממבצר החלל הבוער של ווהאל.
שנותיו של גיבורנו עברו עליו בנעימים
כשהוא שרוי במצב של הקפאה קריוגנית.","צריך אחידות בתרגום של Vohaul.
השווה 'טקסטים של כל החדרים' חדר 2 הודעה 5
ארי: התעתיק הנכון יותר הוא ""ווהאל"".","",""
"rm001.sc","6.0","Its engines long spent, the small\nescape pod drifts aimlessly through\nunfamiliar star fields, its course\naltered many times by small asteroids\nand space debris. Inside, Roger lies\nundisturbed in his sleep chamber....\n...but not for long.","כשמנועיה כבו זה מכבר, חללית המילוט הקטנה נסחפה ללא מטרה מבעד לשדות כוכבים בלתי מוכרים מסלולה משתנה ללא הרף על ידי אסטרואידים קטנים ופסולת חלל. בפנים, שוכב לו רוג'ר בתאו שקוע בתרדמת עמוקה... אך... לא לעולם חוסן.","","",""
"rm004.sc","0.0","Claw","טופר","","",""
"rm007.sc","0.0","Claw","טופר","","",""
"rm009.sc","0.0","Claw","טופר","","",""
"rm012.sc","0.0","Claw","טופר","","",""
"rm014.sc","0.0","Ortega","אורטגה","","",""
"rm014.sc","1.0","Phleebhut","פליבהאט","ארי: יש כאן משחק מילים שקצת הולך לאיבוד: משהו בסגנון תחת של פרעוש.
צביקה: הייתי רוצה לשמור על שפה נקיה... אמנם זה מרומז באנגלית, אבל לא באמת כתוב","",""
"rm014.sc","2.0","Pestulon","פסטיולון","ארי: כנ""ל. משהו שקשור במזיקים.","",""
"rm015.sc","0.0","a tiny reactor which seems to be providing power for the lights, a formerly lustrous gem, and an unconnected wire","","","",""
"rm015.sc","1.0","a tiny reactor which seems to be providing power for the lights and a formerly lustrous gem","","","",""
"rm015.sc","2.0","a tiny reactor which seems to be providing power for the lights and an unconnected wire","","","",""
"rm015.sc","3.0","a formerly lustrous gem, and an unconnected wire","","","",""
"rm015.sc","4.0","a tiny reactor which seems to be providing power for the lights","","","",""
"rm015.sc","5.0","an unconnected wire","","","",""
"rm015.sc","6.0","a formerly lustrous gem","","","",""
"rm015.sc","7.0","nothing but crusty wire ends","","","",""
"rm016.sc","0.0","ACCESS DENIED","אין הרשאה","","",""
"rm016.sc","1.0","-----------","","","",""
"rm016.sc","2.0",">> POWER CRITICALLY LOW <<\n\n AUX. REACTOR NOT ON-LINE","","","",""
"rm016.sc","3.0","INSUFFICIENT POWER TO COMMENCE\n____WITH SYSTEMS CHECK","","","",""
"rm016.sc","4.0","USING STORED POWER\n___BELOW 10%","","","",""
"rm016.sc","5.0","SYSTEMS CHECK","","","",""
"rm016.sc","6.0","IN PROGRESS","","","",""
"rm016.sc","7.0",">> POWER LEVEL NOMINAL <<\n\n___AUX. REACTOR ON-LINE","","","",""
"rm016.sc","8.0","AUXILIARY REACTOR:","","","",""
"rm016.sc","9.0","AUXILIARY REACTOR:","","","",""
"rm016.sc","10.0","NOMINAL","","","",""
"rm016.sc","11.0","LANDING GEAR","","","",""
"rm016.sc","12.0","LANDING GEAR","","","",""
"rm016.sc","13.0","NOMINAL","","","",""
"rm016.sc","14.0","WARP MOTIVATOR:","","","",""
"rm016.sc","15.0","WARP MOTIVATOR_","","","",""
"rm016.sc","16.0","NOMINAL","","","",""
"rm016.sc","17.0","WARP MOTIVATOR:","","","",""
"rm016.sc","18.0","WARP MOTIVATOR_","","","",""
"rm016.sc","19.0","MALFUNCTION","","","",""
"rm016.sc","20.0","UNIT NOT INSTALLED","","","",""
"rm017.sc","0.0","ASCENT HALTED DUE TO OBSTRUCTION","","","",""
"rm017.sc","1.0","DESTINATION: SECTOR %d","","","",""
"rm017.sc","2.0","NO COURSE SELECTED","","","",""
"rm017.sc","3.0","CUTTING LIGHT ENGINES","","","",""
"rm017.sc","4.0","THROTTLING ENGINES BACK","","","",""
"rm017.sc","5.0","ORBITING PLANET PHLEEBHUT","","","",""
"rm017.sc","6.0","APPROACHING MONOLITH BURGER","","","",""
"rm017.sc","7.0","ORBITING PLANET ORTEGA","","","",""
"rm017.sc","8.0","ORBITING PESTULON","","","",""
"rm017.sc","9.0","** LIGHT SPEED NON-FUNCTIONAL **","","","",""
"rm017.sc","10.0","** LIGHT SPEED NON-FUNCTIONAL **","","","",""
"rm017.sc","11.0","FULL THRUST NECESSARY BEFORE MANEUVERING","","","",""
"rm017.sc","12.0","A COURSE MUST BE SET BEFORE SELECTING SPEED","","","",""
"rm017.sc","13.0","NO LANDING SURFACE AVAILABLE","","","",""
"rm017.sc","14.0","** LIGHT SPEED NON-FUNCTIONAL **","","","",""
"rm017.sc","15.0","WEAPONS SYSTEM INOPERABLE WHILE NOT IN FLIGHT","","","",""
"rm017.sc","16.0","NAVIGATION SYSTEM INOPERABLE WHILE NOT IN FLIGHT","","","",""
"rm017.sc","17.0","** ERROR DETECTED: CONSULT DIAGNOSTIC COMPUTER **","","","",""
"rm017.sc","18.0","THRUST GENERATION UNDERWAY","","","",""
"rm017.sc","19.0","ADEQUATE THRUST ACHIEVED","","","",""
"rm017.sc","20.0","** NAVIGATION SYSTEM NON-FUNCTIONAL **","","","",""
"rm017.sc","21.0","TAKEOFF IN PROGRESS","","","",""
"rm017.sc","22.0","LANDING/DOCKING IN PROGRESS","","","",""
"rm017.sc","23.0","RADAR IS NOW IN OPERATION","","","",""
"rm017.sc","24.0","RADAR IS NOW INOPERATIVE","","","",""
"rm018.sc","0.0","NEGATIVE","","","",""
"rm018.sc","1.0","IN REAR","","","",""
"rm018.sc","2.0","NEGATIVE","","","",""
"rm018.sc","3.0","IN FRONT","","","",""
"rm018.sc","4.0","NEGATIVE","","","",""
"rm018.sc","5.0","IN FRONT","","","",""
"rm018.sc","6.0","NEGATIVE","","","",""
"rm018.sc","7.0","NEGATIVE","","","",""
"rm018.sc","8.0","NEGATIVE","","","",""
"rm019.sc","0.0","DESTINATION: SECTOR %d","","","",""
"rm019.sc","1.0","SCANNING SECTOR %d","","","",""
"rm019.sc","2.0","SCANNING SECTOR %d","","","",""
"rm019.sc","3.0","SCANNING SECTOR %d","","","",""
"rm019.sc","4.0","NAME:\n PLANET PHLEEBHUT\nSECTOR: 39\n\nLIGHT ATMOSPHERE\n1 KNOWN SETTLEMENT","","","",""
"rm019.sc","5.0","NAME:\n MONOLITH BURGER FAST FOOD DIVE\nSECTOR: 62\n\nA FINITE\nNUMBER SERVED","","","",""
"rm019.sc","6.0","NAME:\n PESTULON\nSECTOR: 69\nHABITANTS: UNKNOWN\nSURFACE UNCHARTED.\nIT FIGURES...","","","",""
"rm019.sc","7.0","NAME:\n PLANET ORTEGA\nSECTOR: 82\nHABITANTS: UNKNOWN\nVOLCANIC CRATER-STREWN\nSURFACE","","","",""
"rm019.sc","8.0","COURSE ALREADY ACHIEVED","","","",""
"rm019.sc","9.0","STANDBY\nCALCULATING COURSE","","","",""
"rm019.sc","10.0","COURSE ALREADY ACHIEVED","","","",""
"rm019.sc","11.0","COURSE LOCKED","","","",""
"rm019.sc","12.0","DESTINATION: SECTOR %d","","","",""
"rm031.sc","0.0","...DEMRIFNOC YTITNEDI","","","",""
"rm031.sc","1.0","OCLIW REGOR\n:218UO ESAC","","","",""
"rm031.sc","2.0","ROF DETNAW OCLIW\nDUARF ENIHCAM GNIDNEV\n\n:FFITNIALP\n.OC YTLEVON DIOZAPPIG_","","","",""
"rm031.sc","3.0",":TNEMEGDUJ","","","",""
"rm11.sc","0.0","Claw","","","",""
"rm115.sc","0.0","You cut the engines to sub-lightspeed as\nyou near a seemingly habitable planet.","","","",""
"rm117.sc","0.0","Thanks To The Following For Their\nCooperation In The Making Of This Game:","","","",""
"rm117.sc","1.0","Pestulon Department of Forestry","","","",""
"rm117.sc","2.0","Monolith Synthetic Industries, Inc.","","","",""
"rm117.sc","3.0","Fester's World-O-Wonders","","","",""
"rm117.sc","4.0","Gippazoid Novelties","","","",""
"rm117.sc","5.0","Phleebhut Sand Advisory Council","","","",""
"rm117.sc","6.0","Arnoid Droidworks","","","",""
"rm117.sc","7.0","Caffeinate 90","","","",""
"rm117.sc","8.0","OrboSnack Food Inhalers","","","",""
"rm117.sc","9.0","Friends of the Talking Bear Society","","","",""
"rm117.sc","10.0","Mark Seibert, Bob Siebenberg\n& Stuart Goldstein\nFor Their Outstanding Sound Work","","","",""
"rm117.sc","11.0","Doug Oldfield, Ken Koch & Chris Smith\nFor A Great Programming Effort","","","",""
"rm117.sc","12.0","The Little People, Nobodies, Scum\nWould Also Like To Thank\n","","","",""
"rm117.sc","13.0","Robert E. ""Bobbit"" Heitman\nFor His Generous, Yet Verbose, Contribution of Advice, Help & Emergency Code Service","","","",""
"rm117.sc","14.0","Very Special Thanks to","","","",""
"rm117.sc","15.0","The Two Babes From Andromeda\n(Our Wives)\nFor Putting Up With Us These Last 12 Months","","","",""
"rm117.sc","16.0","You!\n(For Shelling Out Your Hard Earned Bucks To Buy This Game)","","","",""
"rm280.sc","0.0","Pushy Counter Clerk","","","",""
"rm280.sc","1.0","Yes_","","","",""
"rm280.sc","2.0","Yes_","","","",""
"rm280.sc","3.0","Pushy Counter Clerk","","","",""
"rm280.sc","4.0","Yes_","","","",""
"rm280.sc","5.0","Yes_","","","",""
"rm280.sc","6.0","Pushy Counter Clerk","","","",""
"rm280.sc","7.0","Yes_","","","",""
"rm280.sc","8.0","Yes_","","","",""
"rm280.sc","9.0","While Supplies Last","","","",""
"rm280.sc","10.0","Okay_","","","",""
"rm280.sc","11.0","While Supplies Last","","","",""
"rm280.sc","12.0","Okay_","","","",""
"rm290.sc","0.0","Turn on","","","",""
"rm290.sc","1.0","Turn off","","","",""
"rm470.sc","0.0","Haggle Interface","","","",""
"rm470.sc","1.0","Yes_","","","",""
"rm470.sc","2.0","No_","","","",""
"rm90.sc","0.0","some","","","",""
"rm90.sc","1.0","no","","","",""
"rm90.sc","2.0","some","","","",""
"rm92.sc","0.0","the Boss","","","",""
"rm98.sc","0.0","You enter a blackness like no other you\nhave ever experienced. All sense of time\nand speed are lost.","","","",""
"rm98.sc","1.0","Suddenly...","","","",""
"rm98.sc","2.0","A bright light becomes visible in the\ndistance. It grows larger as your ship\nraces toward it. Finally you are hurled\nout of the blackness into a parallel universe.","","","",""
"Room116.sc","0.0","Mark","","","",""
"Room116.sc","1.0","Roger","","","",""
"Room116.sc","2.0","Ken Williams","","","",""
"Room116.sc","3.0","Scott","","","",""
"Room116.sc","4.0","Ken Williams","","","",""
"Room116.sc","5.0","Scott","","","",""
"Room116.sc","6.0","Ken Williams","","","",""
"Room116.sc","7.0","Scott and Mark","","","",""
"Room116.sc","8.0","Ken Williams","","","",""
"Room116.sc","9.0","Roger","","","",""
"Room116.sc","10.0","Ken Williams","","","",""
"Room421.sc","0.0","Looking closely, you notice that the terminator's invisibility belt has survived relatively intact.","","","",""
"Room421.sc","1.0","","","","",""
"Room421.sc","2.0","Looking closely, you notice that the terminator's invisibility belt has survived relatively intact.","","","",""
"Room421.sc","3.0","","","","",""
"Room421.sc","4.0","Looking closely, you notice that the terminator's invisibility belt has survived relatively intact.","","","",""
"Room421.sc","5.0","","","","",""
"Room421.sc","6.0","Fester","","","",""
"Room421.sc","7.0","Fester","","","",""
"Room421.sc","8.0","Fester","","","",""
"Room421.sc","9.0","Fester","","","",""
"Room52.sc","0.0","Looking closely, you notice that the terminator's invisibility belt has survived relatively intact.","","","",""
"Room52.sc","1.0","","","","",""
"Room81.sc","0.0","Ship","","","",""
"Room81.sc","1.0","ScumSoft","","","",""
"Room81.sc","2.0","Stay Here","","","",""
"Room81.sc","3.0","Return to Ship","","","",""
"Room81.sc","4.0","Enter ScumSoft","","","",""
"SpiralStar.sc","0.0","The overwhelming force of the black hole\ndraws your ship in. Helpless to do any-\nthing, you and your passengers strap in\nand hope for the best.","","","",""
"SysWindow.sc","0.0","Restore","","","",""
"SysWindow.sc","1.0","__Save__","","","",""
"SysWindow.sc","2.0","Replace","","","",""
"SysWindow.sc","3.0","Replace","","","",""
"SysWindow.sc","4.0","Select the game that you would like to restore.","","","",""
"SysWindow.sc","5.0","Type the description of this saved game.","","","",""
"SysWindow.sc","6.0","This directory/disk can hold no more saved games. You must replace one of your saved games or use Change Directory to save on a different directory/disk.","","","",""
"SysWindow.sc","7.0","This directory/disk can hold no more saved games. You must replace one of your saved games or use Change Directory to save on a different directory/disk.","","","",""
"SysWindow.sc","8.0","OK","","","",""
"SysWindow.sc","9.0","Cancel","","","",""
"SysWindow.sc","10.0","Restore a Game","","","",""
"SysWindow.sc","11.0","Save a Game","","","",""
"SysWindow.sc","12.0","Cancel_","","","",""
"SysWindow.sc","13.0","Change\0D\nDirectory","","","",""
"SysWindow.sc","14.0","Replace","","","",""
"SysWindow.sc","15.0","with:","","","",""
"SysWindow.sc","16.0","Replace","","","",""
"SysWindow.sc","17.0","Cancel","","","",""
"TheMenuBar.sc","0.0","\01_","","מכאן ולמטה, תפריטים. השורה הזו ספציפית, זה הסמל של סיירה","",""
"TheMenuBar.sc","1.0","About game`^a :Help`#1 :VaporCalc`^c_","אודות`^א : עזרה`#1 : מחשבון-ניקיון`^מ_","","",""
"TheMenuBar.sc","2.0","File_","קובץ_","","",""
"TheMenuBar.sc","3.0","Save Game`#5 :Restore Game`#7 :--! :Restart Game`#9 :Quit`^q_","","","",""
"TheMenuBar.sc","4.0","Action_","","","",""
"TheMenuBar.sc","5.0","Pause Game`^p :Inventory`^I :Retype`#3 :--! :Boss Key`^b_","","","",""
"TheMenuBar.sc","6.0","Speed_","מהירות_","","",""
"TheMenuBar.sc","7.0","Change...`^s :--! :Faster`+ :Normal`= :Slower`-_","","","",""
"TheMenuBar.sc","8.0","Sound_","","","",""
"TheMenuBar.sc","9.0","Volume...`^v :Sound Off`#2=1_","","","",""
