"room","idx","original","translated","comments",""
"002","5","This is the escape pod which safely whisked you away from Vohaul's burning asteroid fortress. The skin of the pod plainly registers the cumulative damage long periods of space travel can inflict on a small craft such as this.","זוהי חללית החילוץ שמילטה אותך ממוות בטוח במבצר האסטרואידים הבוער של וואהל. הנזקים המצטברים מנסיעות החלל הממושכות הותירו את רישומם על גבי מעטפת החללית.","צריך אחידות בתרגום של Vohaul.
השווה 'טקסטים מסקריפטים' rm001
תיקנתי, אך השארתי שינוי אחד משם, שם כתוב מבצר חלל וכאן מבצר אסטרואידים.
צ: למה? בכוונה? לא עדיף שיהיה אותו הדבר?
לא באמת משנה לי, סתם סקרן...
ע. משום שאם תשים לב כאן כתוב asteroid fortress ושם כתוב space fortress.
צ. אה, סבבה. אכן לא שמתי לב.
צ: הוספתי 'של' - וואהל זה שם של איש (הנבל מהפרקים הקודמים)",""
"002","6","You are standing in a debris-cluttered junk bay. An escape pod rests in the middle of the room. There are chunks of metal lying around which seem to be small sections of old spaceware.","אתה עומד על מסוף גרוטאות עמוס פסולת. חללית החילוץ נחה במרכז החדר. פיסות מתכת שפזורות מסביב נראות כמו חלקים קטנים של אביזרי חלל ישנים.","",""
"002","7","The room bears a very metallic fragrance.","החדר אפוף בניחוח מאד מתכתי.","",""
"002","8","The door was automatically sealed when the pod shut down shortly after your exit. It has served its purpose and will be of no further use.","הדלת נאטמה אוטומטית בעת שהחללית כיבתה את עצמה מיד לאחר צאתך. היא מילאה את ייעודה בעולם ולא יהיה בה שימוש בעתיד.","",""
"002","9","Despite technological advances in strong, lightweight ship materials, you can't possibly budge it.","למרות ההתקדמות הטכנולוגית שחלה בפיתוח חומרי חלל חזקים וקלי משקל, אינך יכול פשוט לדחוף את זה.","",""
"002","10","It's not available for your use.","הוא לא זמין לשימושך.","צ: הגהתי",""
"002","11","If YOU could break the glass, it and you would not have survived the journey here.","אם היית יכול לנפץ את הזכוכית, היא ואתה לא הייתם שורדים את המסע לכאן.","צ: הגהתי (כמדומני שמדובר על החללית)",""
"002","12","You are unable to scale it.","אין באפשרותך לטפס על זה.","",""
"002","13","You are unable to scale anything here.","אתה לא יכול לטפס פה על שום דבר.","צ: הגהתי",""
"002","14","It is locked. You are unable to gain access.","זה נעול. לא תוכל להיכנס.","",""
"002","15","Where Do You What To Start?
(Press ESC to Stay Here)","מהיכן תרצה להתחיל?
(לחץ על מקש ה-ESC על מנת להישאר כאן)","",""
"002","16","You notice that the sounds from the pod grow softer until they are imperceptible. Having served its purpose and taxed its resources, the pod gives a final hum and shuts down.","אתה מבחין כי הרעשים מהחללית הולכים ודועכים עד כי פסקו לגמרי. לאחר ששירתה את מטרתה ומילאה את חובתה, החללית השמיעה את זמזומה האחרון וכבתה לעד.","צ: הגהתי",""
"002","17","Sensing an adequate surface the claw releases its cargo and begins the ascent to the grabber unit.","הטופר מזהה את הקרקע, משחרר את המטען שלו ומתחיל לעשות את דרכו למעלה בחזרה אל יחידת הלוכד.","",""
"002","18","The claw senses contact with the warp motivator, grasps it firmly, and begins the ascent back to the grabber.","הטופר מזהה מגע עם מניע השיגור, אוחז בו בחוזקה ומתחיל לעשות את דרכו למעלה בחזרה אל יחידת הלוכד.","",""
"002","19","Finding nothing here to carry, the claw begins the ascent to the grabber unit.","לאחר שלא מצא כאן דבר, הטופר מתחיל את דרכו בחזרה אל יחידת הלוכד.","",""
"002","20","It looks like the warp motivator you saw on the Aluminum Mallard's Status Computer. Sturdily constructed, its only protrusion is a modular plug near its base.","זה נראה כמו מניע השיגור שראית במחשב המצב ב'ברוז האלומיניום'. במבנהו החסון, הבליטה היחידה בו היא שקע מודולרי סמוך לבסיסו.","אולי עדיף לתרגם את מלארד ל'ברוז'?
אני חושב ש Aluminum Mallard = ""ברוז האלומיניום"". או משהו כזה..
הוספתי גם גרש מכל צד. רעיון דומה לאותיות הגדולות באנגלית - שיבינו שזה שם של משהו

צ: הגהתי",""
"002","21","A closer look at the object on the floor reveals that it is a warp motivator. It looks a bit more high-tech than the other junk strewn about this locale. Sturdily constructed, its only protrusion is a modular plug near its base.","מבט מקרוב על העצם המוטל על הקרקע גילה כי זהו מניע שיגור. הוא נראה קצת יותר היי-טקי מאשר שאר הזבל שזרוע כאן באזור. במבנהו החסון, הבליטה היחידה בו היא שקע מודולרי סמוך לבסיסו.","צ: הגהתי",""
"002","22","The eight-pronged plug protrudes only slightly from the motivator's exterior.","התקע בעל שמונה הפינים בולט רק במעט מהחלק החיצוני של מניע השיגור.","",""
"002","23","The floor is composed of a mosaic of overlapping welded steel plates. The menage of used metal plates appear to have been cut from a variety of sources. There is a small round object lying nearby.","הרצפה מורכבת מפסיפס של לוחות פלדה מרותכים. נראה כי אוסף לוחיות המתכת נחתכו ממגוון מקורות. חפץ עגלגל קטן נח בקרבת מקום.","צ: הגהתי",""
"002","24","You aren't capable of doing that.","אינך מסוגל לעשות זאת.","",""
"002","25","While relatively small, it seems to be quite dense. I think we're looking at a potential hernia if any attempts are made to manually relocate it.","למרות גודלו הזעיר, הוא נראה דחוס למדי. אני חושב שאנחנו מסתכנים בקילה אם ננסה להעבירו למקום אחר בכוחות עצמנו.","",""
"002","26","You can't. It's permanently attached.","אתה לא יכול. הוא מחובר בחוזקה.","",""
"003","0","Bending aside a thin piece of scrap, you find an opening into another area and climb on in.","כשכופפת הצידה את פיסת המתכת הדקיקה, גילית כי מאחוריו נפתח פתח אל אזור אחר, והחלטת לטפס לעברו.","",""
"003","1","This bulbous craft looks like it has seen a lot of action in its day. You believe it to be a bowtie fighter dating back to the cologne wars - a true relic.","נראה שהספינה העגלגלה ראתה ימים טובים יותר. אתה מעריך כי מדובר בחללית הפפיון המתוארכת לימי מלחמת המושבות - שריד מימי קדם.","",""
"003","2","This on is another fine, but worthless, Acme product.","עוד אחת לא רעה, אבל חסרת ערך, תוצרת 'אקמה'.","",""
"003","3","This ship says Jupiter 2. This baby must have been floating around out there for a long time. It doesn't hold your interest for very long.","על החללית נכתב 'יופיטר 2'. המתוקה הזאת שוטטה שנים רבות בחלל. מהר מאד איבדת בה עניין.","",""
"003","4","None are visible.","לא ניתן לראות דבר.","",""
"003","5","It looks like your standard low-tech ascent/descent unit.","נראה כמו דגם קלאסי ופשוט של יחידת המראה/נחיתה.","",""
"003","6","It's not visible from here.","זה בלתי נראה מכאן.","",""
"003","7","You can see down into the hole you once passed through. Nothing much can be seen from here.","אתה מביט מטה מבעד לחור שהרגע עברת דרכו. מכאן לא ניתן לראות הרבה.","",""
"003","8","You can't from here.","אין אפשרות מכאן.","",""
"003","9","The limited detail you make out through the ship's film-laden viewport is enough to convince you that everything of worth has been harvested.","המידע המועט שהצלחת לחלץ מבעד אשנב החללית הזעיר הספיק לך בשביל להבין שאם היה משהו בעל ערך הוא מזמן נשדד.","",""
"003","10","The square object looks like an empty component cover for some craft. It covers nothing but deck now.","העצם המרובע נראה כמו חיפוי ריק של חללית כלשהי. כעת הוא לא מחפה דבר מלבד את הסיפון.","צ: הגהתי",""
"003","11","You see nothing but riveted steel.","אינך רואה דבר מלבד פלדה ממוסמרת.","",""
"003","12","Various types of abandoned spacecraft litter the floor of this intergalatic junkyard. All this place needs is a junk yard dog. You shiver at the thought.","סוגים שונים של רכבי חלל נטושים מרפדים את רצפת מגרש הגרוטאות הבין גלקטי. כל מה שחסר כאן זה כלב שמירה. צמרמורת חולפת בך מעצם המחשבה.","צביקה: נראה לי עדיף ""מרפדים"". זה הווה. מתארים מה רואים עכשו",""
"003","13","You can't do that, nor would it be helpful.","אינך יכול לעשות זאת, לא שזה היה עוזר.","",""
"003","14","Despite technological advances in strong, lightweight ship materials, you can't possibly budge it.","למרות ההתקדמות הטכנולוגית שחלה בפיתוח חומרי חלל חזקים וקלי משקל, אינך יכול פשוט לדחוף את זה.","",""
"003","15","You hear the faint sound of machinery in operation.","אתה שומע רעש עמום של מכונות בפעולה.","",""
"003","16","There is no visible means of entry.","אתה לא רואה איך אפשר להכנס.","לא מצליח לחשוב על דרך לתרגם בעברית תקנית.
צביקה: מה דעתך על מה שכתבתי?
עומר: מעולה :-)",""
"003","17","You are not skilled in ship climbing.","אינך מומחה בטיפוס חלליות.","",""
"003","18","It's against your nature to do that.","הפעולה הזו מנוגדת לאופי שלך.","",""
"003","19","Don't waste your time with that stupid box.","חבל שתבזבז את זמנך על הקופסה הטיפשית הזאת.","",""
"003","20","OK.","בסדר.","",""
"003","21","You don't have it.","אין לך את זה.","",""
"003","22","Not from here.","לא מכאן.","",""
"003","23","There is no ladder here to climb.","אין כאן סולם שניתן לטפס עליו.","",""
"003","24","There is nothing to climb into.","אין לאן לטפס.","",""
"003","25","That would be fruitless. Don't bother.","לא תבוא מכך שום תועלת. אל תטרח.","",""
"003","26","You grab the ladder and jam it in your pocket.","אתה אוחז בסולם ותוחב אותו עמוק אל תוך כיסך.","",""
"003","27","Ouch!","אאוץ'!","",""
"003","28","It's not here to be gotten.","קצת קשה לקחת את מה שלא נמצא.","לא מבין את המשמעות
צביקה: אחרי שלוקחים את הסולם, ומנסים לקחת אותו שוב - כאשר הוא לא במקום, זו התשובה","נ: אולי: את מה שלא נמצא
צביקה: לא משנה לי... שיניתי"
"003","29","There is no ladder here.","אין כאן שום סולם.","",""
"003","30","You ease your way into the hole.","אתה מפלס את דרכך אל עבר החור.","",""
"003","31","Unfortunately, the fall was too much for your frail frame to withstand.","לרוע המזל, הנפילה היתה קשה מדי עבור עצמותיך השבריריות.","",""
"003","32","Sensing the floor the claw releases its cargo and begins the ascent to the grabber unit.","הטופר מזהה את הקרקע, משחרר את המטען שלו ומתחיל לעשות את דרכו למעלה בחזרה אל יחידת הלוכד.","",""
"003","33","The claw senses contact with the warp motivator, grasps it firmly, and begins the ascent back to the grabber.","הטופר מזהה מגע עם מניע השיגור, אוחז בו בחוזקה ומתחיל לעשות את דרכו למעלה בחזרה אל יחידת הלוכד.","",""
"003","34","Finding nothing here the claw begins to ascend to the grabber unit.","לאחר שלא מצא כאן דבר, הטופר מתחיל את דרכו בחזרה אל יחידת הלוכד.","",""
"003","35","YEOW!","יוווווו!","",""
"003","36","It's obvious that the metal was sharper than you. The resulting laceration turns you into a living fountain - at least for a few moments. Unfortunately for you, this show was your finale. Good luck in the afterlife.","מובן מאליו שהמתכת היתה חדה ממך. הקרע שנוצר הפך אותך למזרקה חיה - לפחות לכמה שניות. לרוע מזלך, ההופעה הזאת היתה פרק הסיום שלך. בהצלחה בעולם הבא.","",""
"003","37","It looks like the warp motivator you saw on the Aluminum Mallard's Status Computer. Sturdily constructed, its only protrusion is a modular plug near its base.","זה נראה כמו מניע השיגור שראית במחשב המצב ב'ברוז האלומיניום'. במבנהו החסון, הבליטה היחידה בו היא שקע מודולרי סמוך לבסיסו.","Aluminum Mallard = 'ברוז האלומיניום'","נ: לא תרגמנו motivator ל""מניע"" בסוף?"
"003","38","A closer look at the object on the floor reveals that it is a warp motivator. It looks a bit more high-tech than the other junk strewn about this locale. Sturdily constructed, its only protrusion is a modular plug near its base.","מבט מקרוב על העצם המוטל על הקרקע גילה כי זהו מניע שיגור. הוא נראה קצת יותר היי-טקי מאשר שאר הזבל שזרוע כאן באזור. במבנהו החסון, הבליטה היחידה בו היא שקע מודולרי סמוך לבסיסו.","צ: הגהתי",""
"003","39","The eight-pronged plug protrudes only slightly from the motivator's exterior.","התקע בעל שמונה הפינים בולט רק במעט מהחלק החיצוני של מניע השיגור.","",""
"003","40","The floor is composed of a mosaic of overlapping welded steel plates. The menage of used metal plates appear to have been cut from a variety of sources. There is a small round object lying nearby.","הרצפה מורכבת מפסיפס של לוחות פלדה מרותכים. נראה כי אוסף לוחיות המתכת נחתכו ממגוון מקורות. חפץ עגלגל קטן נח בקרבת מקום.","צ: הגהתי",""
"003","41","While relatively small, it seems to be quite dense. I think we're looking at a potential hernia if any attempts are made to manually relocate it.","למרות גודלו הזעיר, הוא נראה דחוס למדי. אני חושב שאנחנו מסתכנים בקילה אם ננסה להעבירו למקום אחר בכוחות עצמנו.","",""
"003","42","You aren't capable of doing that.","אינך מסוגל לעשות זאת.","",""
"003","43","You can't. It's permanently attached.","אתה לא יכול. הוא מחובר בחוזקה.","",""
"003","44","This looks like some type of tunnel boring implement.","זה נראה כמו סוג של כלי לחפירת מנהרות.","צ: התיעצתי עם חבר אמריקאי. כתב לי:
also, i'm delighted that you've asked me! so thrilled to help
the verb ""bore"" means to be dull, like when talking, but it also means to drill like drilling a hole
that SQ3 sentence is an awkard and unsual phrasing, i would expect any translator to raise their hand and say ""um... can someone double check this??""
in the SQ3 sentence, ""implmement"" == ""tool""
because the thing they're describing implements boaring. it executes drilling.
""implement"" can be a noun but it's rarely used that way, which is why the SQ3 sentence is perfectly legal but not good writing in the 1980s
i don't think it's a concidence that the verb for being conversationally ""dull"" is also what happens to a tool that you use to dig a hole, that tool gets ""dull"" over time",""
"003","45","This ship is another fine, but worthless, Acme product.","עוד אחת לא רעה, אבל חסרת ערך, תוצרת 'אקמה'.","",""
"004","0","Buckets are attached to a conveyer. They haul metal debris to a horizontal conveyer above.","דליים מחוברים למסוע. הם מעבירים פסולת מתכתית אל המסוע האופקי שממעל.","",""
"004","1","You are overwhelmed by the variety of space trash around each corner. A large bucket conveyer carries shredded ships to a horizontal conveyer high above.","אתה עומד נפעם מול ערימות הזבל-חלל העצומות הנערמות בכל פינה. מסוע דליים גדול נושא קרעי חלליות אל עבר המסוע האופקי שממעל.","",""
"004","2","Somewhere there's an oversized android missing a limb.","היכנשהו מסתובב רובוט מגודל כרות איבר.","",""
"004","3","It says Jupiter 2. This baby must have been floating around out there for a long time. It doesn't hold your interest for very long.","על החללית נכתב 'יופיטר 2'. המתוקה הזאת שוטטה שנים רבות בחלל. מהר מאד איבדת בה עניין.","",""
"004","4","The viewport is too high. Besides, you'd not see anything interesting.","האשנב גבוה מדי. וחוץ מזה לא תראה שם שום דבר מעניין.","",""
"004","5","None are visible.","לא ניתן לראות דבר.","",""
"004","6","Hoooo boy! It's a big one.","אלוהים אדירים! זה פשוט ענק!","",""
"004","7","The item in question is just another piece in a fine collection of worthless junk carelessly splashed around the picture by the graphic artist. (You know who you are.)","החפץ המדובר הינו בסך הכל עוד פריט מתוך אוסף עצום של גרוטאות חסרות ערך אשר ניתזו ברישול ברחבי התמונה על ידי הגרפיקאי. (אתה יודע מי אתה)","",""
"004","8","You peer up and down the conveyer shaft. The view down is obstructed by the tight fit of the conveyer. The view up show it to lead to a horizontal conveyer above.","אתה מביט מעלה ומטה דרך פיר המסוע. התצפית כלפי מטה חסומה על ידי המסוע הממלא את כל רוחב הפיר. מלמעלה ניבט אליך המסוע האופקי.","",""
"004","9","That's not within your power.","זה למעלה מכוחותיך.","",""
"004","10","You can't do that, nor would it be helpful.","אינך יכול לעשות זאת, לא שזה היה עוזר.","",""
"004","11","Looks dangerous but go ahead, you thrill seeker, you. You'll need to get closer though.","נראה מסוכן אבל לך על זה, מחפש ריגושים שכמוך. עם זאת תיאלץ להתקרב מעט יותר.","",""
"004","12","You are not skilled in ship climbing.","אינך מומחה בטיפוס חלליות.","",""
"004","13","Despite technological advances in strong, lightweight ship materials, you can't possibly budge it.","למרות ההתקדמות הטכנולוגית שחלה בפיתוח חומרי חלל חזקים וקלי משקל, אינך יכול פשוט לדחוף את זה.","",""
"004","14","Sounds a little kinky. Maybe you should do that when no one else is around.","נשמע קצת סוטה. אולי תעשה את זה כשאין אף אחד בסביבה.","",""
"004","15","The item in question, which is just another piece in a fine collection of worthless junk carelessly splashed around the picture by the graphic artist, isn't needed by you.","החפץ המדובר, שהינו בסך הכל עוד פריט מתוך אוסף עצום של גרוטאות חסרות ערך אשר ניתזו ברישול ברחבי התמונה על ידי הגרפיקאי, אינו נחוץ לך.","",""
"004","16","No.","לא.","",""
"004","17","Yeah, right! That's just what you need.","כן, ברור! זה בדיוק מה שאתה צריך.","",""
"004","18","It looks like the warp motivator you saw on the Aluminum Mallard's Status Computer. Sturdily constructed, its only protrusion is a modular plug near its base.","זה נראה כמו מניע השיגור שראית במחשב המצב ב'ברוז האלומיניום'. במבנהו החסון, הבליטה היחידה בו היא שקע מודולרי סמוך לבסיסו.","Aluminum Mallard = 'ברוז האלומיניום'",""
"004","19","A closer look at the object on the floor reveals that it is a warp motivator. It looks a bit more high-tech than the other junk strewn about this locale. Sturdily constructed, its only protrusion is a modular plug near its base.","מבט מקרוב על העצם המוטל על הקרקע גילה כי זהו מניע שיגור. הוא נראה קצת יותר היי-טקי מאשר שאר הזבל שזרוע כאן באזור. במבנהו החסון, הבליטה היחידה בו היא שקע מודולרי סמוך לבסיסו.","צ: הגהתי",""
"004","20","The eight-pronged plug protrudes only slightly from the motivator's exterior.","התקע בעל שמונה הפינים בולט רק במעט מהחלק החיצוני של מניע השיגור.","",""
"004","21","The floor is composed of a mosaic of overlapping welded steel plates. The menage of used metal plates appear to have been cut from a variety of sources. There is a small round object lying nearby.","הרצפה מורכבת מפסיפס של לוחות פלדה מרותכים. נראה כי אוסף לוחיות המתכת נחתכו ממגוון מקורות. חפץ עגלגל קטן נח בקרבת מקום.","צ: הגהתי",""
"004","22","You can't. It's permanently attached.","אתה לא יכול. הוא מחובר בחוזקה.","",""
"004","23","While relatively small, it seems to be quite dense. I think we're looking at a potential hernia if any attempts are made to manually relocate it.","למרות גודלו הזעיר, הוא נראה דחוס למדי. אני חושב שאנחנו מסתכנים בקילה אם ננסה להעבירו למקום אחר בכוחות עצמנו.","",""
"004","24","You aren't capable of doing that.","אינך מסוגל לעשות זאת.","",""
"004","25","Sensing the floor, the claw releases its cargo and begins the ascent to the grabber unit.","הטופר מזהה את הקרקע, משחרר את המטען שלו ומתחיל לעשות את דרכו למעלה בחזרה אל יחידת הלוכד.","",""
"004","26","The claw senses contact with the warp motivator, grasps it firmly, and begins the ascent back to the grabber.","הטופר מזהה מגע עם מניע השיגור, אוחז בו בחוזקה ומתחיל לעשות את דרכו למעלה בחזרה אל יחידת הלוכד.","",""
"004","27","Finding nothing here, the claw begins to ascend to the grabber unit.","לאחר שלא מצא כאן דבר, הטופר מתחיל את דרכו בחזרה אל יחידת הלוכד.","",""
"005","0","It's quite dark in there, but there is a light at the end of the tunnel.","חשוך שם למדי, אולם פיסת אור מבליחה מקצה המנהרה.","צ: הגהתי",""
"005","1","Not much remains. If there was anything of value, it was stripped away a long time ago.","לא נשאר הרבה. גם אם היה משהו בעל ערך, הוא מזמן היה נלקח משם.","",""
"005","2","It looks to be another metallic menace whose time has come and gone. Hopefully, fate will be kinder to you.","נראה כמו עוד מטרד מתכתי שזמנו עבר. נקווה שגורלך יהיה טוב משלו.","",""
"005","3","Its metallic parts are frozen in place. I'll bet you're glad you weren't around when it was functional.","איבריו המתכתיים קפואים במקומם. אני מאמין שאתה שמח שלא נקלעת לסביבה כאשר הוא תיפקד באופן מלא.","צ: הגהתי",""
"005","4","You are quite impressed by the size of this junk freighter. The skeletal remains of a stripped-down space tanker stage lie half buried in scrap.","אתה מתרשם למדי מממדיה העצומים של ספינת הזבל. שרידי השלד של מיכלית חלל העירומה שוכבים קבורים למחצה בערימת מתכת.","צ: הגהתי",""
"005","5","It falls on non-existent ears.","זה נופל על אוזניים לא קיימות.","",""
"005","6","The gutted ship is unsafe for any such action.","קרבי הספינה אינם בטוחים לפעולה כזאת.","",""
"005","7","You don't fit","אתה לא מתאים.","",""
"005","8","You can't.","אינך מסוגל.","",""
"005","9","Let the poor thing rest in peace. It can't help you anyway.","תן לאומלל לנוח על משכבו. ממילא הוא לא יועיל בכלום.","",""
"005","10","It looks like the warp motivator you saw on the Aluminum Mallard's Status Computer. Sturdily constructed, its only protrusion is a modular plug near its base.","זה נראה כמו מניע השיגור שראית במחשב המצב ב'ברוז האלומיניום'. במבנהו החסון, הבליטה היחידה בו היא שקע מודולרי סמוך לבסיסו.","Aluminum Mallard = 'ברוז האלומיניום'",""
"005","11","A closer look at the object on the floor reveals that it is a warp motivator. It looks a bit more high-tech than the other junk strewn about this locale. Sturdily constructed, its only protrusion is a modular plug near its base.","מבט מקרוב על העצם המוטל על הקרקע גילה כי זהו מניע שיגור. הוא נראה קצת יותר היי-טקי מאשר שאר הזבל שזרוע כאן באזור. במבנהו החסון, הבליטה היחידה בו היא שקע מודולרי סמוך לבסיסו.","",""
"005","12","The eight-pronged plug protrudes only slightly from the motivator's exterior.","התקע בעל שמונה הפינים בולט רק במעט מהחלק החיצוני של מניע השיגור.","",""
"005","13","The floor is composed of a mosaic of overlapping welded steel plates. The menage of used metal plates appear to have been cut from a variety of sources. There is a small round object lying nearby.","הרצפה מורכבת מפסיפס של לוחות פלדה מרותכים. נראה כי אוסף לוחיות המתכת נחתכו ממגוון מקורות. חפץ עגלגל קטן נח בקרבת מקום.","צ: הגהתי",""
"005","14","While relatively small, it seems to be quite dense. I think we're looking at a potential hernia if any attempts are made to manually relocate it.","למרות גודלו הזעיר, הוא נראה דחוס למדי. אני חושב שאנחנו מסתכנים בקילה אם ננסה להעבירו למקום אחר בכוחות עצמנו.","",""
"005","15","You aren't capable of doing that.","אינך מסוגל לעשות זאת.","",""
"005","16","You can't. It's permanently attached.","אתה לא יכול. הוא מחובר בחוזקה.","",""
"005","17","Sensing the floor the claw releases its cargo and begins the ascent to the grabber unit.","הטופר מזהה את הקרקע, משחרר את המטען שלו ומתחיל לעשות את דרכו למעלה בחזרה אל יחידת הלוכד.","",""
"005","18","The claw senses contact with the warp motivator, grasps it firmly, and begins the ascent back to the grabber.","הטופר מזהה מגע עם מניע השיגור, אוחז בו בחוזקה ומתחיל לעשות את דרכו למעלה בחזרה אל יחידת הלוכד.","",""
"005","19","Finding nothing here the claw begins to ascend to the grabber unit.","לאחר שלא מצא כאן דבר, הטופר מתחיל את דרכו בחזרה אל יחידת הלוכד.","",""
"006","0","You see another boring ceiling.","אתה רואה עוד תקרה משעממת.","",""
"006","1","The walls are made of metal. Missing panels reveal old frayed wires.","הקירות עשויים ממתכת. מאחורי לוחות חסרים נראים חוטי חשמל חשופים.","",""
"006","2","One panel lies wedged against the wall. The other remaining panels are welded in place and are quite uninteresting in appearance.","אחד מהלוחות נשען על הקיר. שאר הלוחות מרותכים היטב למקומם ולא מעוררים בך כל עניין. ","א",""
"006","3","It's against the wall covering only more wall.","היא נשענת על הקיר.","לא מבין את הכוונה
צ: נראה לי כמו באג של סיירה... אני לא מצליח לגרום להדפסת המשפט הזה.
מדובר במנהרה, יש שם דלת של פאנל שנעקרה ממקומה וזרוקה על הרצפה.
זה אמור להיות תשובה ל look below panel , או משהו כזה. (יש שם סימון קצת מוזר, אני לא משוכנע שהבנתי נכון)
אבל זה לא עובד.
אני לא בטוח למה התכוון המשורר, וגם לא באמת חשוב...
כתבתי משהו בערך.
גם התשובה המקורית היא סתמית.",""
"006","4","You see another boring floor.","אתה רואה עוד רצפה משעממת.","",""
"006","5","Someone (or someTHING) has done a real job on this tanker. Was this the result of some space battle? Or perhaps you're not the only one roaming around in here.","מישהו (או משהו) נתן את הנשמה במיכלית הזאת. האם זה נגרם כתוצאה ממלחמת חלל כלשהי? או שאולי אתה לא היחיד שמשוטט כאן בסביבה.","",""
