"room","idx","original","translated","comments"
"2","11","The graves and monuments belong to various members of the Crouton family, ranging from the large monument of patriarch, Francois Crouton and his wife Claudette, to the simple grave of Sarah Crouton, who was 17 when she died in 1871.","הקברים והמצבות שייכים לבני משפחת קרוטון לדורותיהם, החל מהאנדרטה הגדולה של אבי המשפחה פרנסיס קרוטון ואשתו קלודט, ועד לקברה הפשוט של שרה קרוטון, אשר היתה בת 17 במותה בשנת 1871.",""
"2","12","Granite slabs form the tomb doors.","לוחות שחם יוצרים את דלתות הקבר.",""
"2","13","A rusted, wrought iron fence surrounds the old, family cemetery.","גדר ברזל חלודה מקיפה את בית העלמין המשפחתי העתיק.",""
"2","14","There is a gate leading into the cemetery.","שער מוביל אל תוככי בית הקברות.",""
"2","15","The small chapel accompanies the old cemetery.","כנסייה קטנה שוכנת בבית הקברות העתיק.",""
"2","16","The graves all seem to belong to the Crouton family.","דומה שכל הקברים משתייכים למשפחת קרוטון.",""
"2","17","None of the gravestones move. They are firmly planted in the ground.","אף לא אחת מהמצבות זזה. הן כולן נטועות עמוק באדמה.",""
"2","18","Be serious! This is no time for a seance!","תהיי רצינית! עכשיו זה לא הזמן לסיאנס!",""
"2","19","The fence is too difficult to climb.","יהיה קשה מדי לטפס על הגדר.",""
"2","20","The gate seems to be stuck in place.","נראה שהשער תקוע במקומו.",""
"2","21","Cautiously, you look inside the tomb.","בזהירות, את מסתכלת לתוך הקבר.",""
"2","22","Currently, it's just an empty tomb. One day, this will be the final resting place of Colonel Dijon.","כרגע זה פשוט קבר ריק. ביום מן הימים הוא יהפוך למקום מנוחתו האחרון של קולונל דיז'ון.",""
"2","23","You knock loudly on the tomb door and wait...","את דופקת ברעש על דלת הקבר ומחכה...",""
"2","24","No answer.","אין תשובה.",""
"2","25","It looks like a new metal door.","נראה כמו דלת מתכת חדשה.",""
"2","26","That looks like a wisp of mist from the bayou.","נראה כמו סליל ערפל מן הביצה.",""
"3","0","You see a rusted, iron bell at the top of an old, bell tower. A rope dangles a short distance beneath the bell while a ladder runs up the tower's side. Behind a weathered fence, you also notice the remnants of the old plantation's fields.","את רואה פעמון מתכת חלוד בראש מגדל פעמון נושן. חבל קצר מתנודד בתחתית הפעמון בעוד סולם מטפס מעלה לצד המגדל. מאחורי גדר חבוטה, את מבחינה גם בשרידיהם של שדות האחוזה.",""
"3","1","A rope dangles a short distance dwon from the tower while a ladder runs up the tower's side. Behind a weathered fence, you also notice the remnants of the old plantation's fields.","חבל קצר משתלשל מראש המגדל בעוד סולם מטפס מעלה לצד המגדל. מאחורי גדר חבוטה, את מבחינה גם בשרידיהם של שדות האחוזה.",""
"3","2","The rope dangles a short distance above you.","החבל משתלשל מעט מעלייך.",""
"3","3","The rope dangles a short distance above you. Higher up, you see the old bell.","החבל משתלשל מעט מעלייך. גבוה יותר, את רואה את הפעמון הישן.",""
"3","4","A path travels by the old bell tower.","שביל עובר ליד מגדל הפעמון הישן.",""
"3","5","Behind a weather-beaten fence, you see the old, unused sugar cane fields. The fields look as if they haven't been planted in years.","מאחורי גדר ששיני הזמן נגסו בה, את רואה מטע נטוש של קני סוכר. דומה כי כבר שנים רבות לא ניטעו כאן יבולים חדשים.",""
"3","6","An old weather-beaten fence partitions off the remaining vestiges of the plantation's once-vast sugar cane fields. Now, all that's left are long-ago plowed furrows and old dead stalks.","גדר ישנה מוכת פגעי הזמן והטבע מחלקת את שרידיהם האחרונים של מטעי קני סוכר נרחבים שהיו ואינם. כעת, כל שנותר הם תלמים חרוצים משכבר ימים וגבעולים יבשים, מתים.",""
"3","7","You don't see a gate here.","אינך רואה כאן שער.",""
"3","8","All you see is the old, rusted bell.","כל שאת רואה זהו פעמון חלוד, ישן.",""
"3","9","You can't see into the bell tower from here.","אינך יכולה לראות מכאן את פנים מגדל הפעמון.",""
"3","10","You see a rusted iron bell at the top of an old bell tower. A rope dangles a short distance beneath the bell while a ladder runs up the tower's side.","את רואה פעמון מתכת חלוד בראש מגדל פעמון נושן. חבל קצר מתנודד מתחת לפעמון בעוד סולם מטפס מעלה לצד המגדל.",""
"3","11","The fence is too difficult to climb. Besides, you don't care about those old fields.","הגדר אינה קלה לטיפוס. ובכלל, אינך מתעניינת באותן שדות נטושות.",""
"3","12","You're not in a position to do that.","את לא נמצאת בעמדה לעשות את זה.",""
"3","13","You have no way of doing that.","אין לך אף דרך לעשות את זה.",""
"3","14","The bell has been oiled.","הפעמון שומן.",""
"3","15","Oiling the rusted bell may have loosened it.","השימון של הפעמון החלוד שחרר אותו.",""
"3","16","Reaching up with the cane you hook it onto the short rope's iron ring and PULL...","את מושיטה את המקל למעלה, תופסת איתו את הטבעת המחוברת לחבל ומושכת...",""
"3","17","...Nothing happens. Oh! The bell's too rusted to move!","...כלום לא קורה. אוי! הפעמון חלוד מכדי לזוז!",""
"3","18","Uh, oh!!","אוי, לא!!",""
"3","19","Look out! It's falling...!","תיזהרי! הוא נופל...!",""
"3","20","Whew! That was close!","וואו! זה היה קרוב.",""
"3","21","Now you're a real southern belle.","עכשיו את יפהפייה דרומית נרדמת.",""
"3","22","You reach up and try to grab the ring attached to the end of the rope...","את מנסה לתפוס את הטבעת שמחוברת לקצה החבל...",""
"3","23","...but the short rope is too high for you to reach the ring.","...אבל החבל הקצר גבוה מדי מכדי שתוכלי להגיע לטבעת.",""
"3","24","Okay. Thinking it might be useful, you remove the crank from the bell and take it with you.","בסדר, במחשבה שהיא תהיה שימושית, את מסירה את הארכובה מהפעמון ולוקחת אותה איתך.",""
"3","25","You see nothing there.","את לא רואה שם כלום.",""
"3","26","You cannot look into the bell from here.","את לא יכולה להסתכל לתוך הפעמון מכאן.",""
"3","27","You don't see a crank here.","את לא רואה כאן ידית.",""
"3","28","You could never carry around that big bell!","לעולם לא תצליחי לסחוב את הפעמון הגדול הזה!",""
"3","29","You can't ring the bell now!","את לא יכולה לצלצל בפעמון עכשיו!",""
"3","30","That would not do any good.","זה לא יועיל בכלום.",""
"3","31","You need to pull on the rope to ring the bell.","את צריכה למשוך בחבל כדי לצלצל בפעמון.",""
"3","32","What's that attached to the bell?! Hmmmm. It's some sort of old metal crank.","מה זה מחובר לפעמון?! הממממ. נראית כמו ארכובת מתכת ישנה.",""
"3","33","It's just an old, rusted, iron bell.","זה רק פעמון מתכת ישן וחלוד.",""
"3","34","Dusty cobwebs cover the old bell that over years has rusted in place.","קורי עכביש מלאי אבק מכסים את הפעמון הישן, שעם השנים החליד ונתקע במקומו.",""
"3","35","A short rope hangs slightly below the old bell tower. There is a rusty, iron ring attached to the bottom of it.","חבל קצר תלוי מתחת למגדל הפעמון הישן. טבעת ברזל חלודה מחוברת בתחתית שלו.",""
"3","36","You scared away a bat!","הפחדת מכאן עטלף!",""
"3","37","You don't want a bat.","את לא רוצה עטלף.",""
"3","38","A rickety ladder runs up the side of the old bell tower.","סולם רעוע נמצא בצדו של מגדל הפעמון הישן.",""
"4","0","Out the back door, a garden path encircles a small statue, then continues on through a lovely rose arbor.","מעבר לדלת האחורית, שביל הגן מקיף פסל קטן ומשם ממשיך לעבר סוכת ורדים חביבה.",""
"4","1","You see a lovely rose garden in the distance to the north.","את רואה גן ורדים מקסים במרחק בכיוון צפון.",""
"4","2","Grecian columns enclose the small back porch. From here, you can see a lovely rose arbor.","עמודים יווניים תוחמים את המרפסת האחורית הקטנה. מכאן, את רואה סוכת ורדים מלבלבת.",""
"4","3","Behind a weather-beaten fence, you see the old, unused sugar cane fields. The fields look as if they haven't been planted in years.","מאחורי גדר ששיני הזמן נגסו בה, את רואה מטע נטוש של קני סוכר. דומה כי כבר שנים רבות לא ניטעו כאן יבולים חדשים.",""
"4","4","The garden path circles a small statue, then goes through a lovely rose arbor.","שביל הגן סובב סביב פסל קטן, ומשם ממשיך לעבר סוכת ורדים חביבה.",""
"4","5","Here, you see the back door of the house.","כאן, את רואה את דלת הבית האחורית.",""
"4","6","An old, weather-beaten fence partitions off the remaining vestiges of the plantation's once-vast sugar cane fields. Now all that's left are long-ago plowed furrows and old dead stalks.","גדר ישנה ודהויה מחלקת את השרידים הנותרים של מה שהיו פעם שדות קנה הסוכר הנרחבים של האחוזה. כעת כל שנותר הם תלמים שנחרשו מזמן וגבעולים מתים.",""
"4","7","You don't see a gate here.","אינך רואה כאן שער.",""
"4","8","Beautiful roses grow upon the rose arbor.","שושנים צחורות צומחות על גבי סוכת הורדים.",""
"4","9","You see no need to carry around a rose.","את לא רואה צורך בלקחת איתך ורד.",""
"4","10","The fence is too difficult to climb. Besides, you don't care about those old fields.","הגדר אינה קלה לטיפוס. ובכלל, אינך מתעניינת באותן שדות נטושות.",""
"4","11","The roses smell wonderful in the night air.","הוורדים מריחים נפלא באוויר הלילי.",""
"4","12","There are two garden benches here.","יש כאן שני ספסלי גינה.",""
"4","13","There is nothing but grass under the benches.","אין דבר פרט לדשא מתחת לספסלים.",""
"4","14","You don't feel like sitting around.","לא מתחשק לך לשבת.",""
"4","15","This is an exquisite statue of a dancing satyr.","זה פסל מרהיב של סאטיר רוקד.",""
"4","16","The statue is firmly afixed to its pedestal.","הפסל מחובר היטב לבסיסו.",""
"4","17","The statue doesn't move.","הפסל לא זז.",""
"4","18","Grecian columns support the back porch.","עמודים יווניים תומכים במרפסת האחורית.",""
"5","0","This is a wonderful little garden. You wonder who planted it; certainly not the Colonel!","זה גן קטן ונהדר. את תוהה מי שתל אותו; בטח לא הקולונל!",""
"5","1","A garden path leads south through a beautiful tunnel of roses.","שביל גן עובר דרומה דרך מנהרת ורדים יפהפייה.",""
"5","2","From here, the garden path goes south through a lovely rose arbor.","בהמשך, השביל ממשיך דרומה דרך סוכת ורדים מקסימה.",""
"5","3","Roses surround the little, heart-shaped garden.","ורדים מקיפים את הגן הקטן.",""
"5","4","An old, weather-beaten fence partitions off the remaining vestiges of the plantation's once-vast sugar cane fields. Now all that's left are long-ago plowed furrows and old dead stalks.","גדר ישנה ודהויה מחלקת את השרידים הנותרים של מה שהיו פעם שדות קנה הסוכר הנרחבים של האחוזה. כעת כל שנותר הם תלמים שנחרשו מזמן וגבעולים מתים.",""
"5","5","Behind a weather-beaten fence, you see the old, unused sugar cane fields. The fields look as if they haven't been planted in years.","מאחורי גדר דהויה, את רואה את שדות קנה הסוכר הישנים הנטושים. נראה כאילו לא שתלו בהם דבר כבר שנים.",""
"5","6","You see no need to carry around a rose.","את לא רואה צורך בלקחת איתך ורד.",""
"5","7","The roses smell wonderful in the night air.","הוורדים מריחים נפלא באוויר הלילי.",""
"5","8","The fence is too difficult to climb. Besides, you don't care about those old fields.","יהיה קשה מדי לטפס על הגדר. חוץ מזה, לא אכפת לך מהשדות הישנים.",""
"5","9","Even your bulging muscles couldn't move those heavy urns.","אפילו השרירים הבולטים שלך לא יצליחו להזיז את הכדים הכבדים האלה.",""
"5","10","There is nothing of interest under the urns.","אין שום דבר מעניין מתחת לכדים.",""
"5","11","The urn is empty.","הכד ריק.",""
"5","12","The urns are much too heavy to carry around.","הכדים כבדים מדי מכדי לקחת אותם.",""
"5","13","Upon two marble pedestals sit matching marble urns.","שני כדי שיש תואמים עומדים על זוג בסיסי שיש.",""
"5","14","There are no trees here to climb.","אין כאן עצים לטפס עליהם.",""
"5","15","There is nothing but grass under the benches.","אין דבר פרט לדשא מתחת לספסלים.",""
"5","16","You don't feel like sitting around.","לא מתחשק לך לשבת.",""
"5","17","There are two garden benches here.","יש כאן שני ספסלי גינה.",""
"6","0","There is a poor, but clean, shack here at the edge of the old sugar cane fields. Nearby, you see a small chicken coop.","בקתה עלובה, אבל נקייה, שוכנת בקצה שדות קנה הסוכר הישנים. את רואה לול תרנגולות קטן בקרבת מקום.",""
"6","1","Behind a weather-beaten fence, you see the old, unused sugar cane fields. The fields look as if they haven't been planted in years.","מאחורי גדר דהויה, את רואה את שדות קנה הסוכר הישנים הנטושים. נראה כאילו לא שתלו בהם דבר כבר שנים.",""
"6","2","An old, weather-beaten fence partitions off the remaining vestiges of the plantation's once-vast sugar cane fields. Now, all that's left are long-ago plowed furrows and old dead stalks.","גדר ישנה ודהויה מחלקת את השרידים הנותרים של מה שהיו פעם שדות קנה הסוכר הנרחבים של האחוזה. כעת כל שנותר הם תלמים שנחרשו מזמן וגבעולים מתים.",""
"6","3","You don't see a gate here.","את לא רואה כאן שער.",""
"6","4","The path leads to a small shack.","השביל מוביל לבקתה קטנה.",""
"6","5","In spite of its poor condition, the shack looks homey enough.","למרות מצבה הרעוע, הבקתה נראית ביתית למדי.",""
"6","6","You see Celie rocking on her porch on this warm May night.","את רואה את סילי מתנדנדת על המרפסת בלילה החמים של מאי.",""
"6","7","Celie's old rocking chair waits for her on the little porch.","כיסא הנדנדה הישן של סילי מחכה לה על המרפסת הקטנה.",""
"6","8","There's no need to do that; she's right here!","אין צורך לעשות את זה; היא כאן!",""
"6","9","The fence is too difficult to climb. Besides, you don't care about those old fields.","יהיה קשה מדי לטפס על הגדר. חוץ מזה, לא אכפת לך מהשדות הישנים.",""
"6","10","There is nobody here.","אין כאן אף אחד.",""
"6","11","""Jest a secon'.""","""רק שנייה.""",""
"6","12","""Whut you want, Missy?!""","""מה 'ת רוצה, גיברת?!""",""
"6","13","""I ain't got time fer you right now, Missy. 'Scuse me.""","""אין לי זמן אלייך עכשיו, גיברת. סלחי לי.""",""
"6","14","""My necklace! I wuz wunderin' where it got to! Well, Missy Laura, why don' you come in an' visit wid me awhile?""","""השרשרת שלי! תהיתי לאן היא נעלמה! טוב, גיברת ליאורה, למה שלא תיכנסי ותבקרי אותי לקצת זמן?""",""
"6","15","""Nice ta see you agin, Missy Laura. Won'cha come in?""","""טוב לראות 'תך שוב, גיברת ליאורה. רוצה ליכנס?""",""
"6","16","""What you doin' here, girl?! Can't you feel the evil in the air?! There's somethin' real bad 'round here and I'm stayin' put in mah cabin behind locked doors. You git yourse'f on back to your room, hear?!""","""מה 'ת עושה כאן, ילדה?! אינך מרגישה את הרוע באוויר?! משהו רע מאוד קורה כאן ואני מסתגרת בבקתה ש'לי מאחורי דלתות נעולות. את תזיזי את עצמך בחזרה לחדר, שומעת?!""",""
"6","17","""Go away!! I'm not unlockin' this here door anymore!""","""לכי מפה!! אני לא פותחת את הדלת הזאת יותר!""",""
"6","18","""Go 'way!! I ain't openin' this door!""","""ס'תלקי מכאן!! אנ'לא פותחת את הדלת!""",""
"6","19","""Leave me 'lone!!""","""תעזבי אותי לנפשי!!""",""
"6","20","""Get 'way from my door!! I ain't comin' near it!""","""עופי לי מהדלת!! אני'לא מתקרבת אליה!""",""
"6","21","""Please!! Leave me outta this!""","""אנא!! אל תערבי אותי בזה!""",""
"6","22","""I ain't unlockin' this here door!!""","""אנ'לא פותחת את הדלת!""",""
"6","23","""Go 'way!!""","""תלכי מכאן!!""",""
"6","24","You cautiously knock at the door of the old shack but receive no answer.","את נוקשת בזהירות על דלת הבקתה הישנה אך לא זוכה לתשובה.",""
"6","25","This is not your house!","זה לא הבית שלך!",""
"6","26","It's just a plain, wooden door.","זו רק דלת עץ פשוטה.",""
"6","27","It's not nice to enter people's houses without being invited.","לא יפה להיכנס לבתים של אנשים ללא הזמנה.",""
"6","28","You try opening the door, but discover it's locked.","את מנסה לפתוח את הדלת, אך מגלה שהיא נעולה.",""
"6","29","You can't get that.","את לא יכולה לקחת את זה.",""
"6","30","The rocking chair is already occupied!","כיסא הנדנדה כבר תפוס!",""
"6","31","You don't feel like sitting around.","לא מתחשק לך לשבת.",""
"6","32","Celie is sitting on her rocking chair enjoying the night air.","סילי יושבת על כיסא הנדנדה שלה, נהנית מהאוויר הלילי.",""
"6","33","The two chickens scratch and peck within their chicken coop.","שתי התרנגולות מגרדות ומנקרות בתוך הלול שלהן.",""
"6","34","Celie has already fed the chickens.","סילי כבר האכילה את התרנגולות.",""
"6","35","The chickens belong to Celie. Leave them alone.","התרנגולות שייכות לסילי. תעזבי אותן בשקט.",""
"6","36","This isn't King's Quest III!","כאן זה לא מסע המלך 3!",""
"6","37","You see nothing there.","את לא רואה כאן כלום.",""
"6","38","Through the rusted wire of the coop, you can see the feathered forms of the two chickens that Celie keeps.","את רואה את צורותיהן המנוצות של שתי התרנגולות של סילי מבעד לתיל החלוד של הלול.",""
"6","39","That's not a nice thing to do!","זה דבר לא נחמד לעשות!",""
"6","40","You peek through the window, but can't make out any details.","את מציצה דרך החלון, אבל לא מצליחה לראות פרטים.",""
"6","41","The windows don't open.","החלונות לא נפתחים.",""
"6","42","Two windows flank the front door.","שני חלונות נמצאים מצידי הדלת הראשית.",""
"7","0","A broken, arched bridge crosses a large stream at the swamp's edge.","גשר קמור ושבור חוצה נחל גדול בקצה הביצה.",""
"7","1","There is nothing but water under the bridge.","אין כלום פרט למים תחת הגשר.",""
"7","2","There is only more swamp on the other side of the large stream.","בצד השני של הנחל נמצא רק המשך הביצה.",""
"7","3","A broken bridge crosses the large stream.","גשר שבור חוצה את הנחל הגדול.",""
"7","4","The bridge is broken. You can't cross it.","הגשר שבור. את לא יכולה לחצות אותו.",""
"7","5","You can't quite reach it.","את לא בדיוק מגיעה.",""
"7","6","You can't jump that far.","את לא מסוגלת לקפוץ כל כך רחוק.",""
"7","7","You've got that sinking feeling.","יש לך תחושה שוקעת.",""
"8","0","Misty bayou waters surround this old plantation, cutting it off from the rest of the world. Better watch your step around here!","מי ביצה ערפיליים סובבים את האחוזה העתיקה, מפרידים בינה לבין שאר העולם. שמרי טוב את צעדייך!",""
"8","1","You certainly made a succulent meal for that hungry 'gator!","אין ספק שהכנת סעודה דשנה לתנין הרעב!",""
"8","2","You've got that sinking feeling.","יש לך תחושה שוקעת.",""
"8","3","Vicious 'gators inhabit the swamp surrounding the island.","תנינים מרושעים שורצים בביצה המקיפה את האי.",""
"8","4","You MUST be kidding!","את צוחקת!",""
"8","5","You can't be SERIOUS!","את לא באמת רצינית!",""
"8","6","'Gators don't talk!","תנינים לא יכולים לדבר!",""
"8","7","Be reasonable!!","תהיי הגיונית!!",""
"8","8","You couldn't hurt a big 'gator.","את לא תצליחי לפגוע בתנין גדול.",""
"8","9","These alligators prefer fresh meat. Heh, heh.","התנינים האלה מעדיפים בשר טרי. חה, חה.",""
"9","0","At this end of the island there is a small, quaint chapel. Behind it, you see an old family cemetery.","בקצה זה של האי שוכנת כנסייה קטנה, ציורית. מאחוריה, את רואה בית עלמין משפחתי ישן.",""
"9","1","An old cemetery hides behind the small church.","בית קברות עתיק מסתתר מאחורי הכנסייה הקטנה.",""
"9","2","A rusted, wrought iron fence surrounds the cemetery, while another fence sections off the old sugar cane fields.","גדר מחלידה מברזל יצוק מקיפה את בית העלמין, בעוד קטעי גדרות נוספים נראים בין שדות קני הסוכר.",""
"9","3","There is a rusted gate leading into the cemetery.","שער חלוד נפתח אל בית הקברות.",""
"9","4","Behind a weather-beaten fence, you see the old, unused sugar cane fields. The fields look as if they haven't been planted in years.","מאחורי גדר דהויה, את רואה את שדות קנה הסוכר הישנים הנטושים. נראה כאילו לא שתלו בהם דבר כבר שנים.",""
"9","5","A path leads to the chapel. Behind it, another goes into the cemetery.","שביל מוביל אל הכנסייה. מאחוריה, מתפתל שביל נוסף לעבר בית העלמין.",""
"9","6","Wide steps lead up to the door of the chapel.","גרם מדרגות רחב מטפס אל דלת הכנסייה.",""
"9","7","There is a small porch on the front of the chapel.","מרפסת קטנה מוקמה בחזית הכנסייה.",""
"9","8","An old cross tops the chapel.","צלב ישן מעטר את גג הכנסייה.",""
"9","9","The graves are in the cemetery.","הקברים נטועים בבית העלמין.",""
"9","10","There is only the wall of the chapel behind the shutters.","מאחורי התריסים נמצא רק קיר הכנסייה.",""
"9","11","You couldn't reach it.","לא יכולת להגיע לזה.",""
"9","12","There's no need to knock. Just go into the chapel!","אין צורך לדפוק. פשוט תכנסי לכנסייה!",""
"9","13","The fences are too difficult to climb.","הגדרות קשות מדי לטיפוס.",""
"9","14","Just do that yourself.","פשוט תעשי את זה בעצמך.",""
"9","15","The gate seems to be stuck in place.","נראה שהשער תקוע במקומו.",""
"9","16","You notice a door at the back of the chapel.","את מבחינה בדלת בחלקה האחורי של הכנסייה.",""
"9","17","Simple French doors front the chapel.","דלתות צרפתיות פשוטות נפתחות לחזית הכנסייה.",""
"9","18","You peek through the window, but can't make out any details.","את מציצה מבעד לחלון, אך לא מצליחה לראות פרטים.",""
"9","19","Windows surround the small church.","חלונות מקיפים את הכנסייה הקטנה.",""
"9","20","The windows do not open.","החלונות לא נפתחים.",""
"9","21","There is no need for that. Just use the door.","אין צורך לעשות את זה. פשוט תשתמשי בדלת.",""
"10","0","You are standing at the northwest corner of the house right outside the Colonel's study.","את עומדת בפינה הצפונית מערבית של הבית ממש מחוץ לחדר העבודה של הקולונל.",""
"10","1","There is a small fence at the back of the house.","גדר נמוכה נבנתה בעורף הבית.",""
"10","2","You notice a path behind the house.","את מבחינה בשביל מאחורי הבית.",""
"10","3","Stone steps lead up to the Colonel's study door.","מדרגות אבן מובילות אל דלת חדר העבודה של הקולונל.",""
"10","4","You look upwards at the second-story windows of Wilbur's guest room.","את מביטה מעלה אל עבר חלונות חדר האורחים של ווילבור בקומה השניה.",""
"10","5","You don't need to do that. There's nothing there.","את לא צריכה לעשות את זה. אין שם כלום.",""
"10","6","""I can't go on with this any longer! I must tell him about...""","""אני לא יכול לסבול את זה יותר! אני חייב לספר לו על...""",""
"10","7","""Quiet!""","""שקט!""",""
"10","8","""Let's go into the house to continue this discussion.""","""בוא ניכנס הביתה ונמשיך את השיחה בפנים.""",""
"12","0","You are standing at the northeast corner of the house right outside the kitchen. Beside the kitchen door you see a doghouse and a cellar door.","את עומדת בפינה הצפונית מזרחית של הבית ממש מחוץ למטבח. סמוך לדלת המטבח את רואה מלונה ודלת למרתף.",""
"12","1","There is a small fence at the back of the house.","גדר נמוכה נבנתה בעורף הבית.",""
"12","2","You notice a path behind the house.","את מבחינה בשביל מאחורי הבית.",""
"12","3","Stone steps lead up to the kitchen door.","מדרגות אבן מובילות אל דלת המטבח.",""
"12","4","You look upwards at the second-story windows of Ethel's guest room.","את מסתכלת למעלה אל חלונות חדר האורחים של את'ל בקומה השניה.",""
"12","5","You don't need to do that. There's nothing there.","את לא צריכה לעשות את זה. אין שם כלום.",""
"12","6","There's no need to knock. Just go into the house!","מיותר לדפוק. פשוט תצעדי לתוך הבית!",""
"12","7","Well, well, look who's home! Beauregard!","יפה, יפה, תראו מי בבית! בורגארד!",""
"12","8","You peer into the dark interior of the doghouse and look around. What's this?! Why, it looks like a necklace of small amethyst and quartz stones! Beauregard must have found it someplace and brought it here. You quickly grab it and take it with you.","את מציצה לתוך המלונה החשוכה ומסתכלת סביב. מה זה?! ובכן, זה נראה כמו שרשרת של אבני קוורץ ואחלמה! בורגראד בטח מצא אותה היכנשהו והביא אותה הנה. את חוטפת אותה במהירות ותוחבת בכיסך.",""
"12","9","You peer into the dark interior of the doghouse and look around. Currently, it's empty.","את מציצה לתוך המלונה החשוכה ומסתכלת סביב. כרגע, היא ריקה.",""
"12","10","You knock loudly on the cellar door but get no answer.","את נוקשת חלושות על דלת המרתף אך לא זוכה לתשובה.",""
"12","11","""Is that you, Fifi?!""","""זו את, פיפי?!""",""
"12","12","There appears to be a cellar door here.","נראה שכאן נמצאת דלת המרתף.",""
"12","13","You don't have the key.","אין לך את המפתח.",""
"12","14","It is not locked.","זה לא נעול.",""
"12","15","You try opening the cellar door but, alas, it is locked!","את מנסה לפתוח את דלת המרתף אך, אבוי, היא נעולה!",""
"12","16","The porch light is firmly attached to the wall.","המנורה במרפסת מחוברת בחוזקה לקיר.",""
"12","17","A porch light shines outside the kitchen door.","נורת המרפסת זוהרת מחוץ לדלת המטבח.",""
