"קובץ","אינדקס","מקור","תרגום","הערות"
"Room41.sc","2.0","lamp","מנורה",""
"Room41.sc","3.0","lamp","מנורה",""
"Room42.sc","0.0","table","שולחן",""
"Room42.sc","1.0","table","שולחן",""
"Room42.sc","2.0","couch","כורסה",""
"Room42.sc","3.0","table","שולחן",""
"Room42.sc","4.0","vase","אגרטל",""
"Room42.sc","5.0","vase","אגרטל",""
"Room42.sc","6.0","fire","אש",""
"Room42.sc","7.0","lamp","מנורה",""
"Room42.sc","8.0","lamp","מנורה",""
"Room42.sc","9.0","elevator","מעלית",""
"Room43.sc","0.0","lamp","מנורה",""
"Room43.sc","1.0","lamp","מנורה",""
"Room43.sc","2.0","lamp","מנורה",""
"Room43.sc","3.0","lamp","מנורה",""
"Room44.sc","0.0","couch","כורסה",""
"Room44.sc","1.0","chair","כיסא",""
"Room44.sc","2.0","table","שולחן",""
"Room44.sc","3.0","table","שולחן",""
"Room44.sc","4.0","lamp","מנורה",""
"Room44.sc","5.0","lamp","מנורה",""
"Room44.sc","6.0","suitcase","מזוודה",""
"Room44.sc","7.0","suitcase","מזוודה",""
"Room44.sc","8.0","fireplace","אח",""
"Room45.sc","0.0","lamp","מנורה",""
"Room45.sc","1.0","lamp","מנורה",""
"Room45.sc","2.0","bed","מיטה",""
"Room45.sc","3.0","chair","כיסא",""
"Room45.sc","4.0","table","שולחן",""
"Room45.sc","5.0","couch","כורסה",""
"Room45.sc","6.0","ethel","את'ל",""
"Room46.sc","0.0","bed","מיטה",""
"Room46.sc","1.0","table","שולחן",""
"Room46.sc","2.0","couch","כורסה",""
"Room46.sc","3.0","window","חלון",""
"Room46.sc","4.0","lamp","מנורה",""
"Room46.sc","5.0","lamp","מנורה",""
"Room47.sc","0.0","table","שולחן",""
"Room47.sc","1.0","table","שולחן",""
"Room47.sc","2.0","lamp","מנורה",""
"Room47.sc","3.0","lamp","מנורה",""
"Room47.sc","4.0","lamp","מנורה",""
"Room47.sc","5.0","lamp","מנורה",""
"Room48.sc","0.0","bed","מיטה",""
"Room48.sc","1.0","bed","מיטה",""
"Room48.sc","2.0","chair","כיסא",""
"Room48.sc","3.0","couch","כורסה",""
"Room48.sc","4.0","table","שולחן",""
"Room48.sc","5.0","lamp","מנורה",""
"Room48.sc","6.0","lamp","מנורה",""
"Room49.sc","0.0","platform","משטח",""
"Room50.sc","0.0","platform","משטח",""
"Room52.sc","0.0","floor","רצפה",""
"Room52.sc","1.0","equipment","ציוד",""
"Room52.sc","2.0","equipment","ציוד",""
"Room52.sc","3.0","crank","ארכובה",""
"Room55.sc","0.0","eye","עין",""
"Room7.sc","0.0","ground","אדמה",""
"Room73.sc","0.0","window","חלון",""
"Room74.sc","0.0","couch","כורסה",""
"Room74.sc","1.0","bed","מיטה",""
"Room74.sc","2.0","chair","כיסא",""
"Room74.sc","3.0","chair","כיסא",""
"Room74.sc","4.0","table","שולחן",""
"Room74.sc","5.0","picture","תמונה",""
"Room74.sc","6.0","lamp","מנורה",""
"Room74.sc","7.0","lamp","מנורה",""
"Room75.sc","0.0","What a dark and creepy attic! It helps to have the moonlight shining in through those big windows. Among all the junk, a stack of old newspapers catches your eye.","איזו עליית גג חשוכה ומפחידה! אור הירח נופל על החדר מבעד לחלונות הגדולים. בין כל הגרוטאות, ערימת עיתונים ישנים לוכדת את עינך.",""
"Room75.sc","1.0","window","חלון",""
"Room75.sc","2.0","elevator","מעלית",""
"Room76.sc","0.0","elevator","מעלית",""
"rudyDrin.sc","0.0","rudy","רודי",""
"rudyeat.sc","0.0","rudy","רודי",""
"rudyslap.sc","0.0","rudy","רודי",""
"rudywand.sc","0.0","rudy","רודי",""
"servent.sc","0.0","Wilbur","ווילבור",""
"servent.sc","1.0","Gloria","גלוריה",""
"servent.sc","2.0","Clarence","קלארנס",""
"servent.sc","3.0","Rudy","רודי",""
"servent.sc","4.0","Wilbur","ווילבור",""
"servent.sc","5.0","Clarence","קלארנס",""
"servent.sc","6.0","Rudy","רודי",""
"sleeping.sc","0.0","gertie","גרטי",""
"SlthOMtr.sc","0.0","__MORE__","__עוד__",""
"SlthOMtr.sc","1.0"," RESTORE_","טעינה_",""
"SlthOMtr.sc","2.0"," RESTART_","התחלה מחדש_",""
"SlthOMtr.sc","3.0","__QUIT__","__יציאה__",""
"SlthOMtr.sc","4.0","%u:%u","%u:%u",""
"SlthOMtr.sc","5.0","%u:00","%u:00",""
"SlthOMtr.sc","6.0","___Yes__","___כן__",""
"SlthOMtr.sc","7.0","__Quit__","__יציאה__",""
"SlthOMtr.sc","8.0"," Open_"," פתיחה_",""
"SlthOMtr.sc","9.0"," Exit_","יציאה_",""
"SlthOMtr.sc","10.0","\19","\19",""
"SlthOMtr.sc","11.0","\18","\18",""
"SlthOMtr.sc","12.0","CLOSE","סגירה",""
"SlthOMtr.sc","13.0","__RESTORE__","__טעינה__",""
"SlthOMtr.sc","14.0","__RESTART__","__התחלה מחדש__",""
"SlthOMtr.sc","15.0","___QUIT___","___יציאה___",""
"SlthOMtr.sc","16.0","__HINTS__","__רמזים__",""
"SlthOMtr.sc","17.0"," RESTORE_"," טעינה_",""
"SlthOMtr.sc","18.0"," RESTART_"," התחלה מחדש_",""
"SlthOMtr.sc","19.0","__QUIT__","__יציאה__",""
"SRDialog.sc","0.0","Restore","טעינה_",""
"SRDialog.sc","1.0","__Save__","שמירה_",""
"SRDialog.sc","2.0","Replace","החלפה_",""
"SRDialog.sc","3.0","Replace","החלפה_",""
"SRDialog.sc","4.0","Select the game that you would like to restore.","בחרו במשחק שברצונכם לטעון.",""
"SRDialog.sc","5.0","Type the description of this saved game.","נא לרשום תיאור למשחק השמור.",""
"SRDialog.sc","6.0","This directory/disk can hold no more saved games. You must replace one of your saved games or use Change Directory to save on a different directory/disk.","דיסקט/תיקייה זו לא יכולים להכיל יותר שמירות. נא להחליף את אחד מהשמירות או לבחור החלפת תיקייה על מנת לשמור בדיסקט/תיקייה אחרים.",""
"SRDialog.sc","7.0","This directory/disk can hold no more saved games. You must replace one of your saved games or use Change Directory to save on a different directory/disk.","דיסקט/תיקייה זו לא יכולים להכיל יותר שמירות. נא להחליף את אחד מהשמירות או לבחור החלפת תיקייה על מנת לשמור בדיסקט/תיקייה אחרים.",""
"SRDialog.sc","8.0","OK","בסדר",""
"SRDialog.sc","9.0","Cancel","ביטול",""
"SRDialog.sc","10.0","Restore a Game","טעינת משחק",""
"SRDialog.sc","11.0","Save a Game","שמירת משחק",""
"SRDialog.sc","12.0"," Cancel_"," ביטול_",""
"SRDialog.sc","13.0","Change\0D\nDirectory","החלף\0D\nתיקייה",""
"SRDialog.sc","14.0","Replace","החלפה_",""
"SRDialog.sc","15.0","with:","עם:",""
"SRDialog.sc","16.0","Replace","החלפה_",""
"SRDialog.sc","17.0","Cancel","ביטול_",""
"TheMenuBar.sc","0.0","Teleport to room:","התעתקי לחדר:",""
"TheMenuBar.sc","1.0"," \01_"," \01_",""
"TheMenuBar.sc","2.0","About Bequest:Help`#1","אודות עזבונו:עזרה`#1",""
"TheMenuBar.sc","3.0"," File_"," קובץ_",""
"TheMenuBar.sc","4.0","Save`#5:Restore`#7:-!:Restart`#9:Quit`^q","שמירה`#5:טעינה`#7:-!:התחלה מחדש`#9:יציאה`^q",""
"TheMenuBar.sc","5.0"," Action_"," פעולה_",""
"TheMenuBar.sc","6.0","Pause`^p:Inventory`^i:Retype`#3:Ask about...`^a:Tell about...`^t:Show...`^s:Give...`^g:Look at...`^l","השהייה`^p:מלאי`^i:הקלדה מחדש`#3:שאלי על...`^a:ספרי על...`^t:הראי...`^s:תני...`^g:הביטי ב...`^l",""
"TheMenuBar.sc","7.0"," Speed_"," מהירות_",""
"TheMenuBar.sc","8.0","Faster`+:Normal`=:Slower`-","מהיר יותר`+:רגיל`=:איטי יותר`-",""
"TheMenuBar.sc","9.0"," Sound_"," קול_",""
"TheMenuBar.sc","10.0","Volume`^v:-!:Turn Off=1`#2","עוצמת קול`^v:-!:כיבוי=1`#2",""
"TheMenuBar.sc","11.0","Turn Off","כיבוי",""
"TheMenuBar.sc","12.0","Turn On","הפעלה",""
"TheMenuBar.sc","13.0","__Restart__","__התחלה מחדש__",""
"TheMenuBar.sc","14.0"," Continue_"," המשך_",""
"TheMenuBar.sc","15.0","____Quit____","____יציאה____",""
"TheMenuBar.sc","16.0"," Continue_"," המשך_",""
"TheMenuBar.sc","17.0","__Continue__","__המשך__",""
"TheMenuBar.sc","18.0","Ask about_","שאלי על_",""
"TheMenuBar.sc","19.0","Tell about_","ספרי על_",""
"TheMenuBar.sc","20.0","Show_","הראי_",""
"TheMenuBar.sc","21.0","Give_","תני_",""
"TheMenuBar.sc","22.0","Look at_","הביטי על_",""
"TheMenuBar.sc","23.0","Volume (1 - 16)?","עוצמת קול (1 - 16)?",""
"TheMenuBar.sc","24.0","Turn On","הדלקה",""
"TheMenuBar.sc","2.0","Turn Off","כיבוי",""
"User.sc","0.0","Enter input","הזינו קלט",""
"wcargue.sc","0.0","clarence","קלארנס",""
"wcargue.sc","1.0","wilbur","ווילבור",""
"wcargue.sc","2.0","clarence","קלארנס",""
"wcargue.sc","3.0","wilbur","ווילבור",""
"WilbAct1.sc","0.0","WilbAct1","WilbAct1",""
"WilbAct1.sc","1.0","WilbAct1","WilbAct1",""
"wilbRead.sc","0.0","wilbur","ווילבור",""
"wilbRead_402.sc","0.0","wilbur","ווילבור",""
