file-noun-verb-condition-sequence-,file,noun,verb,condition,sequence,talker,padding,text,translation,comment_padding,comment_text
100.msg-1-0-0-10-,100.msg,1,0,0,10,99,00000001,"3.  If you are currently using the PS/1 option for speech and are encountering program hesitation or lockups during game play, run the install procedure from the game sub-directory and select ''No Audio/Speech Card'' for speech where applicable.",,,
100.msg-1-0-0-11-,100.msg,1,0,0,11,99,00000001,"4.  If applicable, select ''Do Not Use Extended Memory'' for the memory option.



If the problem continues, call or fax Sierra Technical Support Tel: (209) 683-8989 Fax:  (209) 683-3633. ",,,
100.msg-1-0-0-12-,100.msg,1,0,0,12,99,00000001,"|c5|Answers To Our Most Frequently Asked Technical Questions|c|

 

Answers to our most frequently asked technical questions are available by calling our Technical Support Line at (209) 683-8989 and pressing 2 on your touch tone telephone.  If your specific issue is not addressed, an option to speak to a Technical Support Representative will be available.  ",,,
100.msg-1-0-0-13-,100.msg,1,0,0,13,99,00000001,"Answers to our most frequently asked technical questions are also available through our Sierra BBS.  At the main menu, select option ''8'' for Technical Help and then select ''T'' for Top 10 Technical Issues.",,,
100.msg-1-0-0-14-,100.msg,1,0,0,14,99,00000001,"|c5|Technical Help|c|

 

Technical assistance is only a telephone call away.  Call (209) 683-8989 for convenient, person-to-person service, or if you prefer, you may request assistance by fax (209) 683-3633 or mail.",,,
100.msg-1-0-0-15-,100.msg,1,0,0,15,99,00000001,"If you choose to write us with your request, please give us detailed information on both your computer system and the nature of your problem.  In addition, please include your address and telephone number should we need further information.",,,
100.msg-1-0-0-16-,100.msg,1,0,0,16,99,00000001,"Send to:  



 Sierra On-Line

 P.O. Box 800

 Coarsegold, CA  93614-0800

 Attention:  Technical Support",,,
100.msg-1-0-0-17-,100.msg,1,0,0,17,99,00000001,"Sierra Technical Support is also available through:



 Sierra BBS - (209) 683-4463

 Compuserve - Gamapub Forum

 Prodigy - WBWW55A (Tech. Support ID)

 America's On-Line

 Genie",,,
100.msg-1-0-0-18-,100.msg,1,0,0,18,99,00000001,"|c5|The Sierra no risk guarantee!|c|



If you find that you need to send for replacement diskettes, send the original disk #1 in the size you need (3.5'' or 5.25'') to:



U.S. Customers

 Sierra On-Line

 P.O. Box 485

 Coarsegold, CA 93614

 Attention: Returns",,,
100.msg-1-0-0-19-,100.msg,1,0,0,19,99,00000001,"U.K. Customers

 Sierra On-Line Limited

 Attn: Returns

 Unit 2, Theale Technology Centre,

 Theale, Berkshire RG7 4AA

United Kingdom",,,
100.msg-1-0-0-20-,100.msg,1,0,0,20,99,00000001,"Be sure to include a note stating your computer type, and the size of diskettes you need (5.25'' or 3.5'').  We will gladly replace your program free of charge for the first 90 days of ownership (please enclose a copy of your dated sales receipt with your request).  After 90 days there is a $10.00 (L6.00) charge for 5.25'' or 3.5'' diskettes.",,,
100.msg-1-0-0-21-,100.msg,1,0,0,21,99,00000001,"|c5|The promise|c|:  We want you to be happy with every Sierra product you purchase from us.  Period.  If for any reason you're unhappy with the product, return it within 30 days for an exchange or a full refund... |c1|even if you bought it retail!!|c|  (Hardware ordered direct must be returned within 10 days.)",,,
100.msg-1-0-0-22-,100.msg,1,0,0,22,99,00000001,"|c5|The only catch:|c|  You gotta tell us why you don't like it. Otherwise we'll never get better. Send it back to us and we promise we'll make things right. (If you bought it at a retail outlet, please send your original sales receipt).",,,
1000.msg-1-1-0-1-,1000.msg,1,1,0,1,99,00000001,This circular device is the starburator for the Goliath's warp drive.,המכשיר העגול הזה הוא הכוכבורטור של מנוע העל-חלל הגולייתי.,,
1000.msg-2-1-0-1-,1000.msg,2,1,0,1,99,00000001,"A tritanium catwalk rings the massive star drive, allowing technicians to perform necessary maintenance functions.","מסלול טריטניום סובב את מנוע הכוכבים המסיבי, ומאפשר לטכנאים לבצע פעולות אחזקה שוטפות.",,
1000.msg-3-1-0-1-,1000.msg,3,1,0,1,99,00000001,A hatchway provides access through the bulkhead at the far end of the engine bay.,צוהר מספק גישה מבעד למחיצה בקצהו הרחוק של רציף התיקונים.,,
1000.msg-4-1-0-1-,1000.msg,4,1,0,1,99,00000001,The Goliath's state of the art star drive can propel it at velocities greater than 10 times the speed of light--which can make for a heinously expensive speeding ticket.,מנוע הכוכבים המתקדם של הגוליית מניע אותה במהירויות של פי 10 ויותר ממהירות האור--מה שעלול לסכן אותה בקנסות גבוהים על מהירות מופרזת.,,
1000.msg-5-4-1-1-,1000.msg,5,4,1,1,99,00000001,You can't reach anything on the panel from where you're standing.,אתה לא יכול להגיע לשום דבר על הלוח מאיפה שאתה עומד.,,
1000.msg-5-1-0-1-,1000.msg,5,1,0,1,99,00000001,"This panel controls critical drive operations, including electrical functions.","לוח הבקרה שולט על פעילוית הנעה חיוניות, כולל התפקודים האלקטרוניים.",,
1000.msg-6-3-0-1-,1000.msg,6,3,0,1,99,00000001,"You knew this was a one way trip the moment you stepped into the EVA pod, Roger. There's no turning back now.","ידעת שזה כרטיס טיסה חד כיווני מהרגע שדרכת לראשונה על רכב החלל, רוג'ר. אין דרך חזור.",,
1000.msg-7-1-0-1-,1000.msg,7,1,0,1,99,00000001,A lone pukoid patrols the catwalks of the engine room. Yuck! It's uglier than your Great Aunt Helga!,פיוקואיד בודד מפטרל במסלולי חדר המנועים. איכס! הוא יותר מכוער מאשר דודה רבא הלגה!,,
1000.msg-8-1-0-1-,1000.msg,8,1,0,1,99,00000001,"The Goliath's drive bay houses a shevy small-block Star Reamer Warp Drive, capable of generating the equivalent of 350 Trillion newtons of thrust energy.","תא המנועים של הגוליית מאכלס מנוע על-חלל מחורר כוכבים בנפח בלוק קטן של שברולט, המסוגל לייצר שווה ערך ל-350 טריליון ניוטונים של אנרגיית דחף.",,
1001.msg-1-0-0-1-,1001.msg,1,0,0,1,99,00000001,"|f1|Beep, Beep.","|f1|ביפ, ביפ.",,
1001.msg-1-0-0-2-,1001.msg,1,0,0,2,99,00000001,|f8|Beep! Beep!,|f8|ביפ! ביפ!,,
1001.msg-2-1-0-1-,1001.msg,2,1,0,1,99,00000001,This circular device is the starburator for the Goliath's warp drive.,מכשיר עגול הזה הינו הכוכבורטור של מנוע העל-חלל הגולייתי.,,
1001.msg-3-1-0-1-,1001.msg,3,1,0,1,99,00000001,"A tritanium catwalk rings the massive star drive, allowing technicians to perform necessary maintenance functions.","מסלול טריטניום סובב את מנוע הכוכבים המסיבי, ומאפשר לטכנאים לבצע פעולות אחזקה שוטפות.",,
1001.msg-4-1-0-1-,1001.msg,4,1,0,1,99,00000001,A hatchway provides access through the bulkhead at the far end of the engine bay.,צוהר מספק גישה מבעד למחיצה בקצהו הרחוק של רציף התיקונים.,,
1001.msg-5-1-0-1-,1001.msg,5,1,0,1,99,00000001,The Goliath's state of the art stardrive can propel it at velocities greater than ten times the speed of light--which can make for a heinously expensive speeding ticket.,מנוע הכוכבים המתקדם של הגוליית מניע אותה במהירויות של פי 10 ויותר ממהירות האור--מה שעלול לסכן אותה בקנסות גבוהים על מהירות מופרזת.,,
1001.msg-6-1-0-1-,1001.msg,6,1,0,1,99,00000001,"This panel controls critical drive operations, including electrical functions.","לוח הבקרה שולט על פעילוית הנעה חיוניות, כולל התפקודים האלקטרוניים.",,
1001.msg-6-4-1-1-,1001.msg,6,4,1,1,99,00000001,You can't reach anything on the panel from where you're standing.,אתה לא יכול להגיע לשום דבר על הלוח מהיכן שאתה נמצא.,,
1001.msg-7-3-0-1-,1001.msg,7,3,0,1,99,00000001,"You knew this was a one way trip the moment you stepped into the EVA pod, Roger. There's no turning back now.","ידעת שזה כרטיס טיסה חד כיווני מהרגע שדרכת לראשונה על רכב החלל, רוג'ר. אין דרך חזור.",,
1001.msg-8-32-0-1-,1001.msg,8,32,0,1,19,00000001,"Wilco, here. Go ahead, Flo.","ווילקו, כאן. דברי, פלו.",,
1001.msg-8-32-0-2-,1001.msg,8,32,0,2,22,00000001,"Captain, the Goliath's warp drive is still off line.","קפטן, מנוע העל-חלל של הגוליית עדיין אינו מקוון.",,
1001.msg-8-32-0-3-,1001.msg,8,32,0,3,19,00000001,Is that bad?,זה כזה נורא?,,
1001.msg-8-32-0-4-,1001.msg,8,32,0,4,22,00000001,"If it isn't operational before the Eureka self-destructs, we'll all die!","אם הוא לא יהיה פעיל לפני שהיוריקה תשמיד את עצמה, כולנו אבודים!",,
1001.msg-8-32-0-5-,1001.msg,8,32,0,5,19,00000001,That |f8|is|f| bad! I guess I better do something about that while I'm down here.,זה |f8|אכן|f| נורא! מניח שכדאי שאעשה משהו בנידון בזמן שאני שוהה למטה.,,
1001.msg-8-32-0-6-,1001.msg,8,32,0,6,22,00000001,"Your penetrating analysis of the situation is as remarkable as ever, sir. Flo out.","ניתחת את הסיטואציה באופן מבריק ונוקב מתמיד, המפקד. פלו סוף.",,
1001.msg-9-1-0-1-,1001.msg,9,1,0,1,99,00000001,"The Goliath's drive bay houses a shevy small-block Star Reamer Warp Drive, capable of generating the equivalent of 350 Trillion newtons of thrust energy.","תא המנועים של הגוליית מאכלס מנוע על-חלל מחורר כוכבים בנפח בלוק קטן של שברולט, המסוגל לייצר שווה ערך ל-350 טריליון ניוטונים של אנרגיית דחף.",,
1005.msg-1-0-0-1-,1005.msg,1,0,0,1,99,00000001,The warp distributor cap snaps into its receptacle with a quiet click and the Goliath's star drive reawakens from its slumber...,מכסה מפלג העל-חלל ננעל למקומו בנקישה חרישית ומנוע הכוכבים של הגוליית מתעורר מתרדמתו...,,
1005.msg-2-1-0-1-,1005.msg,2,1,0,1,99,00000001,These status indicator lights register the operational readiness of the machinery that houses them.,אורות החיווי מלמדות על המוכנות המבצעית של המכונות המארחות אותם.,,
1005.msg-3-4-1-1-,1005.msg,3,4,1,1,99,00000001,"Try as you might, you cannot budge the warp distributor cap in the slightest. Looks like it's on for good.","נסה כמה שבא לך, לא תצליח להזיז את מכסה מפלג העל כהוא זה. נראה שהוא שם לתמיד.",,
1005.msg-3-1-2-1-,1005.msg,3,1,2,1,99,00000001,This appears to be an empty receptacle of some kind.,זה נראה מעין כלי קיבול מסוג מסוים.,,
1005.msg-3-1-1-1-,1005.msg,3,1,1,1,99,00000001,The panel hums with electrical activity now that the warp distributor cap has been replaced.,הלוח הומה מפעילות אלקטרונית כעת לאחר שמכסה מפלג העל-חלל הוחלף.,,
1005.msg-4-1-2-1-,1005.msg,4,1,2,1,99,00000001,This must be the place where Beatrice ''liberated'' the Goliath's warp distributor cap.,"זהו בוודאי המקום בו ""שחררה"" ביאטריס את מכסה מפלג העל-חלל.",,
1005.msg-4-1-1-1-,1005.msg,4,1,1,1,99,00000001,The warp distributor cap has been replaced and the Goliath's warp drive is now back on line.,מכסה המפלג הוחלף וכעת מנוע העל-חלל של הגוליית חזר לפעולה רציפה.,,
1010.msg-1-4-1-1-,1010.msg,1,4,1,1,99,00000001,The door is locked!,הדלת נעולה!,,
1010.msg-1-1-0-1-,1010.msg,1,1,0,1,99,00000001,A nearby door gives the false impression that it will be easy to exit this corridor in a normal manner.,הדלת הסמוכה מותירה את הרושם המוטעה שהיציאה מהמסדרון תתבצע באופן שגרתי לחלוטין.,,
1010.msg-2-1-0-1-,1010.msg,2,1,0,1,99,00000001,A gentle breeze wafts up through large gratings in the decking.,משבי רוח עדינים מרחפים למעלה מבעד לסורגים הכבדים ברצפת החדר.,,
1010.msg-3-0-0-1-,1010.msg,3,0,0,1,99,00000001,HALT!!,עצור!!,,
1010.msg-4-1-0-1-,1010.msg,4,1,0,1,99,00000001,This pukoid is just as ugly and foul smelling as the rest of his ilk.,הפיוקואיד הזה לא פחות מכוער ומסריח משאר חברי להקתו.,,
1010.msg-5-1-0-1-,1010.msg,5,1,0,1,99,00000001,"This hallway is one of hundreds that provide access to all parts of the Goliath. With pukoids running loose in the ship, travelling these corridors is a risky proposition at best.","המסדרון הזה הוא אחד ממאות שמספקים גישה לכל חלקי הגוליית. כשהפיוקואידים מתרוצצים להם חופשי ברחבי הספינה, מסע פרוזדורים יהיה רעיון מסוכן מאין כמוהו.",,
1010.msg-5-1-0-2-,1010.msg,5,1,0,2,99,00000001,Hmm... This looks just like the last hallway you were in...,הממ... זה נראה בדיוק כמו המסדרון האחרון שהיית בו...,,
1010.msg-5-1-0-3-,1010.msg,5,1,0,3,99,00000001,"Globs of pukey ooze are splattered on the hallway buttresses of the Goliath's corridors--Either that, or somebody's been hawking up some pretty serious loogies.","גושים של נוזל פיוקואידי ניתזו על עמודי התמיכה של מסדרונות הגוליית--או זה, או שמישהו שיגר כמה יריקות מאד סמיכות.",,
1020.msg-1-0-0-1-,1020.msg,1,0,0,1,99,00000001,You're directly below the bridge. It probably wouldn't be wise to pop up for a quick visit.,אתה ממש מתחת לגשר. זה כנראה לא יהיה חכם לקפוץ לביקור נימוסין.,,
1020.msg-2-0-0-1-,1020.msg,2,0,0,1,99,00000001,You can't go that way.,אתה לא יכול ללכת לשם.,,
1020.msg-3-1-0-1-,1020.msg,3,1,0,1,99,00000001,Metal gratings cover the tunnel you are currently crawling through.,סורגי מתכת מחפים על המנהרה שבקרבה אתה זוחל.,,
