res,id,msg,translation,comment
0,30,I was now in possession of the Patented Stobbart Stick-Towel! If I could only think of a use for it...,"החזקתי בבעלותי פטנט סטובארט אישי, מקל מגבת! לו רק יכולתי לחשוב על שימוש הולם בשבילו...",
0,31,It was a handful of plaster left in the castle by Peagram's archaeology team.,היה זה חופן של גבס שהותירו אחריהם בטירה המשלחת הארכיאולוגית של פיגרם.,
0,32,It was a device used for measuring people's blood pressure.,היה זה מכשיר ששימש למדידת לחץ דם לאנשים.,
0,33,The tickets were two standard returns from London to Stirling in Scotland.,היו אלה שני כרטיסי הלוך חזור מלונדון לסטירלינג שבסקוטלנד.,
0,36,It was the key to the club toilet.,היה זה מפתח לשירותי המועדון.,
0,41,The chalice from the mausoleum was obviously of superior workmanship but grimy and tarnished.,הגביע ממבנה הקבורה היה מלאכת מחשבת אמיתית אך מטונף ומוכתם.,
0,42,It was the soggy tissue I'd found in the sewers.,היתה זו ממחטה רטובה שמצאתי בביוב.,
0,44,It was the short length of chain I'd taken from the toilet of the Club Alamut.,היתה זו שרשרת קצרה שלקחתי משירותי מועדון אלמוט.,
0,45,It was a length of coarse grey towelling from the toilet of the Club Alamut.,היתה זו מגבת אפורה ארוכה משירותי מועדון אלמוט.,
0,46,It was a simple but elegant tripod made of metal with traces of colored enamel still visible in places.,היתה זו חצובה פשוטה אך אלגנטית עשויה מתכת עם עקבות של לקה צבעונית שעדיין נראתה פה ושם.,
0,48,"It was the roller towel from the club washroom, now cut in half along its length by Ultar.","היה זה גליל מגבת ממקלחת המועדון, כעת חתוכה לחצי על ידי אולטר.",
0,50,The tissue was pretty charred but the greasepaint had done most of the burning.,הממחטה היתה מפוחמת למדי אך האיפור גרם לרוב החריכה.,
0,51,"The cog was mounted on a short, slim spindle.",גלגל השיניים הורכב על ציר דק וקצר.,
0,52,The cog was one of those objects I wished I hadn't carried in my pocket.,גלגל השיניים היה אחד מאותם פריטים שקיוויתי שלא אצטרך לשאת בכיסיי.,
0,55,It was a black plastic pen top.,היה זה מכסה עט שחור מפלסטיק.,
0,56,The pipe could have been anything from fifty to several hundred years old...,הצינור היה יכול להיות בין הגילאים חמישים עד כמה מאות שנים...,
0,57,It was the barman's flashlight.,היה זה פנס הברמן.,
0,58,No point in phoning that guy again...,אין טעם להתקשר שוב לבחור הזה...,
0,61,I made an impression of the big key in the cake of soap.,יצרתי טביעה של מפתח גדול בעוגת הסבון.,
0,64,Uh... no.,אה... לא.,
0,65,Hmm... Maybe not.,הממ... אולי לא.,
0,66,Hmm... No way.,הממ... אין סיכוי.,
0,67,Uh... That's not a good idea.,אה... זה לא רעיון טוב.,
0,68,"It was a rectangle of towelling, printed with the words: `Na Gopaleen's stout builds body!'",היתה זו מגבת מלבנית ועליה מודפסים המילים הבאות: 'בירת נה גופלין בונה את הגוף!',
0,69,It was the Spanish Bible I'd borrowed from the mausoleum.,"היה זה התנ""ך הספרדי ששאלתי ממבנה הקבורה.",
0,70,The keyring contained the keys to the washroom and the excavation.,מחזיק המפתחות מכיל מפתחות לחדר השירותים ולאתר החפירות.,
0,71,It was the key to the excavation.,היה זה המפתח לאתר החפירות.,
0,72,"It was my plaster copy of the excavation key. Trouble was, it looked like plaster and it felt like plaster.","היה זה עותק מגבס של מפתח אתר החפירות. הצרה היא, הוא נראה כמו גבס והרגיש כמו גבס.",
0,73,"The plaster key had soaked up the paint nicely and now looked pretty convincing. Still felt like plaster, though.",מפתח הגבס ספג את הצבע היטב וכעת נראה די משכנע. עם זאת הוא עדיין מרגיש כמו גבס.,
0,74,It was the `Shake 'n Shock' buzzer I'd been given by the man in the costume shop.,היה זה זמזם 'שקשק ושוק' שקיבלתי מהאיש בחנות התחפושות.,
0,75,"The card read: Augustin Rosso, and gave an address to the south of the Montparnasse Cemetery.",על הכרטיס כתוב: אוגוסטין רוסו. כתובת: דרום בית הקברות מונפרנס.,
0,76,It was the bar of soap I'd stolen from the washroom of the excavation site.,היתה זו חפיסת סבון שגנבתי מחדר השירותים באתר החפירות.,
0,77,The bar of soap had the imprint of a key in it.,בחפיסת הסבון הוטבעה צורה של מפתח.,
0,78,I had filled the key's imprint in the soap with dry plaster.,מילאתי את טביעת המפתח בסבון בגבס יבש.,
0,79,"It was a smooth, intricately carved piece of stone that had been concealed inside the great candle.",היתה זו חתיכת אבן חלקה עם גילופים מורכבים שהוסלקה בתוך הנר הגדול.,
0,80,It was a short handled brush.,היתה זו מברשת בעלת ידית קצרה.,
0,81,It was the lens that I'd found on Klausner's body.,היו אלה העדשות שמצאתי על גופתו של קלאוזנר.,
0,82,"The mirror from Lopez's utility room. Yep, I was still looking great.","המראה מחדר השירות של לופז. כן, אני עדיין נראה נהדר.",
0,83,It was the handle from the church tower's winding mechanism. It had cog teeth mounted near its base.,היתה זו הידית ממנגנון המתיחה של מגדל הכנסייה. גלגל שיניים הורכב על בסיסה.,
0,84,It was an old coin.,היתה זו מטבע עתיקה.,
0,85,"With a flourish, I tied the end of the towel to the stick with a textbook reef knot.","בקול תרועה, קשרתי את קצה המגבת אל המקל בקשר שטוח קלאסי.",
0,86,Quickly and without fuss I swapped the fake key for the real thing.,במהירות ומבלי להקים מהומה החלפתי את המפתח המזויף עם הדבר האמיתי.,
0,87,I carefully sprinkled the plaster into the soap mold I'd made of the key.,בזהירות בזקתי את הגבס לתוך תבנית הסבון שהכנתי מהפתח.,
0,88,The plaster seemed to soak up the greasepaint until it began to look like stone.,הגבס ספג את האיפור עד אשר החל להיראות כמו אבן.,
1,0,Paris in the Fall; the last months of the year and the end of the millennium.,פריז בסתיו; החודשים האחרונים בשנה וסוף האלף השני.,
1,1,"The city holds many memories for me: of cafés, of music, of love... and of death.","העיר אוצרת בתוכה יותר מדי זכרונות: קפה, מוזיקה, אהבה... ומוות.",
1,2,As I picked myself up all I could hear was the ceaseless drone of traffic.,כשקמתי מבין ההריסות שמעתי זמזום מרוחק של תנועה בלתי פוסקת.,
1,3,"Life went on around me, but the explosion was to change my life forever...","החיים המשיכו סביבי, אך הפיצוץ עמד לשנות את חיי לעד.",
1,4,The Sergeant was a scrawny man in his fifties who resembled a constipated chicken.,הסמל היה אדם צנום בשנות החמישים לחייו שהזכיר תרנגולת שסובלת מעצירות.,
1,5,"The girl presented a confident but sullen mask to the world, an expression more suited to the face of a delinquent youth.","הבחורה הציגה לעולם מסיכה בוטחת אך קודרת, הבעה שמתאימה יותר לעבריינים צעירים.",
1,6,"Nicole struck me as being a typical Parisian woman: attractive, sensuous even, but with an alarming taste in clothes.","ניקול עשתה עלי רושם של אישה פריזאית טיפוסית: מושכת, חושנית אפילו, אבל עם טעם מדאיג בבגדים.",
1,8,The leading article referred to the visit of a Nobel prize winner from some unprounceable Eastern European State.,המאמר הראשי מתייחס לביקורו של זוכה פרס נובל מאיזו מדינה מזרח אירופאית עם שם שובר שיניים.,
1,9,"That was the only news story: the rest was rumor, gossip and sensationalism.","זו היתה הידיעה החדשותית היחידה: השאר היה שמועות, רכילות וסנסציות זולות.",
1,10,Then I noticed the writing at the foot of the page...,ואז הבחנתי בכיתוב בתחתית הדף...,
1,11,"It read: `Salah-eh Dinn, thirteen forty-five.'","וכך נכתב שם: 'צאלח א-דין, אלף שלוש מאות ארבעים וחמש.'",
1,12,The table had been overturned by the explosion.,השולחן התהפך על פניו מעוצמת הפיצוץ.,
1,14,It was an iron lamp post.,היה זה עמוד תאורה מברזל.,
1,15,"I considered climbing the lamp post, but it wasn't going to shed any light on the affair.","שקלתי לטפס על עמוד התאורה, אבל זה לא היה שופך שום אור על הפרשיה.",
1,17,I contemplated crawling under the umbrella and pretending none of this had ever happened...,שקלתי בדעתי לזחול מתחת לשמשיה ולהעמיד פנים ששום דבר לא קרה...,
1,18,The blast had blown out the glass leaving a gaping hole.,הפיצוץ ניפץ את הזכוכית כשהוא מותיר אחריו חור פעור.,
1,19,I examined the jagged glass remaining in the window. It was broken all right.,בחנתי את שברי הזכוכיות שנותרו בחלון. אין ספק שהפיצוץ היה אדיר.,
1,20,"I considered straightening the table, but I figured it best not to disturb the evidence.","שקלתי לסדר את השולחן, ואז הבנתי שעדיף שלא לשבש את הראיות.",
1,21,"The umbrella had protected me from the bomb blast, but it was of no use to me now.","השמשיה הגנה עלי מפני הדף הפיצוץ, אולם כרגע אין לי בה שימוש.",
1,22,Wrapped around the lamppost was a newspaper.,סביב פנס הרחוב נכרך לו עיתון.,
2,0,It was a stack of cardboard boxes which had once contained bottles of wine.,היתה זו ערימה של קופסאות קרטון שפעם הכילו בקבוקי יין.,
2,1,"I examined the boxes closely. They were damp and smelly, and decidedly empty.","בחנתי את הארגזים מקרוב. הם היו לחים ומטונפים, וריקים לחלוטין.",
2,2,It was a plastic crate.,היה זה ארגז פלסטיק.,
2,3,There was nothing of interest...,לא היה שם שום דבר מעניין.,
2,4,The drainpipe looked as if it would bear my weight...,המרזב נראה כאילו יש בכוחו לשאת את כובד משקלי...,
2,5,The drainpipe hung limp and useless.,המרזב נתלה לו רפוי וחסר תועלת.,
2,6,I took a deep breath and prepared to climb the drainpipe...,לקחתי נשימה עמוקה והתכוננתי לטיפוס על המרזב...,
2,7,I guess the clown hadn't escaped over the rooftops.,הנחתי שהליצן לא נמלט מעל הגגות.,
2,8,I decided I'd had enough of messing with that drainpipe.,החלטתי שנמאס לי להתעסק עם המרזב.,
2,9,It was a battered old trash can...,היה זה פח אשפה ישן וחבוט...,
2,10,I wondered what else lurked in the depths of that trash can...,תהיהי מה עוד אורב במעמקי פח האשפה...,
2,11,It smelled like someone had dumped a truckload of fish in a locker room on a hot summer afternoon.,זה הריח כמו מלתחה שמישהו פרק בה מטען שלם של דגים ביום קיצי לוהט.,
2,12,I'd had it with sticking my nose into French trash cans...,אני סיימתי עם תחיבת אפים לפחי אשפה צרפתיים...,
2,13,It was an iron cover concealing the entrance to a drain or sewer...,היה זה כיסוי ברזל שחיפה על פני הכניסה לתעלת הביוב...,
2,14,It was a heavy cast-iron cover.,היה זה מכסה כבד מברזל יצוק.,
2,15,"I tried to lift the cover with my fingers, but couldn't gain any leverage.","ניסיתי להרים את המכסה באצבעותי, אך נכשלתי בנסיונותי.",
2,16,The cover was too heavy and awkward to lift with my bare hands.,המכסה היה מדי כבד ומגושם מכדי להרימו בידיים חשופות.,
2,18,The window was protected by stout looking iron bars.,החלון מוגן על ידי סורגי ברזל חסונים למראה.,
2,19,The bars didn't shift an inch.,הסורגים לא זזו מילימטר.,
2,20,I lifted the cover to reveal what smelt like the entrance to a sewer.,הרמתי את המכסה כדי לחשוף תחתיו מה שהריח כמו כניסה לביוב.,
3,0,The pretty young waitress was unconscious.,המלצרית הצעירה והנאווה היתה מחוסרת הכרה.,
3,1,The waitress was clearly suffering from shock...,המלצרית סבלה בבירור מפגיעת הלם חמורה...,
3,2,It was the body of the old man.,היתה זו גופתו של אדם בא בימים.,
3,3,It was hard to believe I'd seen him alive only minutes before...,בלתי נתפס שעד לפני מספר דקות ראיתי אותו בחיים...,
3,4,The sight of the dead guy's staring eyes turned my knees to jelly...,"כשמבטו הקר של המת ננעץ בי, החלו רגלי לרעוד ללא שליטה...",
3,5,I tried not to meet his stare as I searched the dead man's pockets.,ניסיתי שלא לפגוש את מבטו בשעה שערכתי חיפוש בכליו של המת.,
3,6,"No wallet, no papers, no credit cards. The guy's past was a blank page.","אין ארנק, אין מסמכים, אין כרטיס אשראי. העבר של הבחור היה מחוק כמו דף חלק.",
3,7,I checked his pockets. Nothing.,בדקתי בכיסיו. כלום.,
3,8,A mysteriously undamaged bottle of spirits stood on the bar.,בקבוק אלכוהול שבאורח מסתורי נותר ללא פגע עמד על השולחן.,
3,10,"Oh, my head. Never again!","הוי, הראש שלי. לא עוד פעם!",
3,11,"How much vodka did I drink? No, don't tell me!","כמה וודקה שתיתי? לא, אל תגיד לי!",
3,13,"George Stobbart, ma'am!","ג'ורג' סטובארט, מאדאם!",
3,14,Oh... American?,הוי... אמריקאי?,
3,15,"She asked the question quite innocently, but I could sense her reserve.","היא שאלה את השאלה בתום לב, אך יכולתי לחוש ברתיעה.",
3,16,It was something which seemed to afflict all Europeans...,זה משהו משותף שעוכר את רוחם של כל האירופאיים...,
3,17,You look like you could use a little help...,נראה שלא יזיק לך מעט עזרה...,
3,18,I could use a little drink!,לא יזיק לי מעט משקה!,
3,19,"I feel sick, dizzy, and bruised - and I don't even remember the party!","אני מרגישה חולה, מסוחררת, וחבולה - ואני אפילו לא זוכרת את המסיבה!",
3,20,Just relax and take it easy. You've been knocked out...,תנסי להרגע ולהשתחרר. את התעלפת...,
3,21,You don't say! What happened?,אתה לא רציני! מה קרה?,
3,22,There's been an explosion. You should try not to move.,היה פיצוץ. תנסי כמה שפחות לזוז.,
3,23,Are you a doctor?,אתה רופא?,
3,26,Only one of the most brilliant medical minds on this planet.,הכרתי את אחד מהמוחות הרפואיים המבריקים ביותר עלי אדמות.,
3,27,He taught me everything I know about medicine.,הוא לימד אותי את כל מה שאני יודע על רפואה.,
3,28,"No, but I used to play hospitals when I was a kid...","לא, אבל שיחקתי ברופא ואחות כשהייתי ילד...",
3,29,Can you remember anything at all?,את זוכרת משהו?,
3,30,Non. I need a drink. Pour me a brandy.,נון. אני צריכה משקה. מזוג לי ברנדי.,
3,31,"Is that straight, or with ice?","נקי, או עם קרח?",
3,32,Just give me the bottle with a teat on it.,פשוט תביא את הבקבוק כמו שהוא.,
3,33,I guess a little drop won't hurt.,אני מניח שלגימה קטנה לא תזיק.,
3,35,She knocked back the brandy as if it was water.,היא הערתה את הברנדי אל קרבה כאילו היה מים.,
3,36,I was glad I wasn't picking up the check!,שמחתי שאני לא זה שמשלם את החשבון!,
3,37,You could be in shock. No alcohol.,יתכן שאת בהלם. אין אלכוהול.,
3,39,What about the old man - is he dead?,מה עם הזקן - הוא מת?,
3,40,I think he might be.,אני חושב שכן.,
3,41,"Yes, he is.","כן, בהחלט.",
3,42,"Ah, mon Dieu!","אה, מו דיה!",
3,44,That was different - she was family.,זה היה שונה - היא היתה משפחה.,
3,45,Has he... gone stiff?,האם הוא... החזיר ציוד?,
3,46,I shouldn't think so. He's only been dead a few minutes.,אני לא חושב. הוא מת רק לפני כמה דקות.,
3,47,Of course not.,כמובן שלא.,
3,48,"I didn't want an hysterical French girl on my hands - at least, not right now...","לא רציתי ילדה צרפתית היסטרית על מצפוני - לפחות, לא כרגע...",
3,49,I don't know. I haven't looked at him yet.,לא יודע. עדיין לא בדקתי אותו.,
3,50,"Some doctor! I am glad I am not one of your patients, m'sieur.","עוד רופא! אני שמחה שאני לא אחת מהמטופלות שלך, מיסייה.",
3,51,Perhaps you should...,אולי כדאי...,
3,52,"She didn't respond. If I wanted another cappuccino, I'd have to serve myself.","היא לא הגיבה. אם הייתי רוצה עוד קפוצ'ינו, הייתי צריך להגיש לעצמי.",
3,53,"Hey, wake up!","היי, תתעוררי!",
3,54,Hey!,היי!,
3,55,Huh?,אה?,
3,56,Do you remember what happened when the clown entered?,את זוכרת מה קרה כשהליצן נכנס?,
3,57,I remember that horrible tune he played all right!,אני זוכרת את המנגינה האיומה שהוא ניגן!,
3,58,It was like a funeral dirge!,היא נשמעה כמו קינה!,
3,59,"I'd never liked accordion music, either.",גם אני אף פעם לא אהבתי ליווי אקורדיון.,
3,60,Did the clown speak to the old man?,האם הליצן דיבר עם הזקן?,
3,61,No - he just laughed at him.,לא - הוא רק צחק לו בפנים.,
3,63,Did the old man try to stop the clown?,הזקן לא ניסה לעצור את הליצן?,
3,64,"Oh, he didn't have a chance.","אה, לא היה לו סיכוי.",
3,66,That's it. That's all I can remember.,זהו זה. זה כל מה שאני זוכרת.,
3,67,Did you see what the old man had in his briefcase?,ראית אולי מה החזיק הזקן במזוודה שלו?,
3,68,No. He didn't open it.,לא. הוא לא פתח אותה.,
3,69,What did the old man do when the clown snatched his briefcase?,מה עשה הזקן כשהליצן חטף לו את המזוודה?,
3,70,"Nothing. He just sat there, like he was frozen.","כלום. הוא רק ישב שם, כאילו הוא גוש קרח.",
3,71,Did you know the old man?,הכרת את הזקן?,
3,72,"No, m'sieur, I never saw him before.","לא, מיסייה, בחיים לא ראיתי אותו.",
3,73,How did the old man behave?,איך התנהג הזקן?,
3,74,"Well... agitated. He kept looking about him - at the door, at his watch...","ובכן... הוא נראה נסער. מבטו התרוצץ אנה ואנה - לעבר הדלת, על השעון שלו...",
3,75,As if he was waiting for someone?,כאילו שהוא חיכה למישהו?,
3,76,"Yes, I suppose so. He was worried about something, that's for sure.","כן, אני מניחה שכן. משהו מאוד הדאיג אותו, זה בטוח.",
3,77,"If you ask me, he was having an affair.","אם אתה שואל אותי, היה לו רומן.",
3,78,He had that look about him... like a guilty husband.,היה לו מבט של... בעל עם רגשי אשמה.,
3,80,I'm going to look around for evidence...,אנסה לאתר רמזים בסביבה...,
3,81,Did this newspaper belong to the old gentleman?,העיתון לא היה שייך לאדון הזקן?,
3,82,I don't know.,לא יודעת.,
3,83,Someone has scribbled a note on it.,מישהו שרבט עליו הערה כלשהי.,
3,84,"It reads: `Salah-ed-Din, thirteen forty-five.'","`צלאח א-דין, אלף שלוש מאות ארבעים וחמש.`",
3,85,Does that mean anything to you?,זה אומר לך משהו?,
3,86,"Non, m'sieur, nothing.","נון, מיסייה, שום דבר.",
3,87,About this newspaper...,בנוגע לעיתון...,
3,88,I told you - it means nothing to me.,אמרתי לך - אני לא יודעת כלום.,
3,89,"What a mess! This bombing is an outrage, is it not?","איזה בלאגן! הפיגוע הזה הוא פשוט שערוריה, לא כך?",
3,90,"Stop that, m'sieur!","תפסיק עם זה, מיסייה!",
3,91,Stop holding your breath at once!,תפסיק לעצור את נשימתך ברגע זה!,
3,92,"Has it occurred to you that he may be dead, Moue...?","האם עלה בדעתך שהאיש הזה מת, מו...?",
3,93,"Oui, m'sieur, but I prefer to look on the bright side...","אואי, מיסייה, אבל אני מעדיף להסתכל על הצד החיובי...",
3,94,"Besides, I recall a case where the killer escaped by feigning death!","וחוץ מזה, אני זוכר מקרה שהרוצח נמלט מהזירה לאחר שהעמיד פני מת!",
3,95,"However, in this case the man is quite dead.","מכל מקום, במקרה שלנו הבן אדם מת לגמרי.",
3,96,Clearly the killer knew of his presence and...,ללא ספק הרוצח היה מודע לנוכחותו ו...,
3,97,How many times have I warned you about premature extrapolation?,כמה פעמים הזהרתי אותך על הסקת מסקנות מוקדמת?,
3,98,All we know is that he is dead.,כל מה שאנחנו יודעים זה שהוא מת.,
3,99,It seemed reasonable to assume...,יהיה הגיוני להניח...,
3,100,A great detective assumes nothing. Take Maigret for instance...,בלש טוב לא מניח כלום. קח את מגרה לדוגמה...,
3,101,"B... but he was a fictitious character, monsieur!","אב... אבל הוא היה דמות בדיונית, מיסייה!",
3,102,"Why, he was no more real than... than Poirot or Tintin!","טוב, הוא היה לא פחות אמיתי מ... פוארו או טינטין!",
3,103,"That's different, Moue - they were comedy Belgians.","זה שונה, מו - הם היו קומיקאים בלגיים.",
3,104,"Anyway, it is unlikely that even you will learn much from talking to the dead.","בכל מקרה, לא סביר שאפילו אתה תלמד משהו מדו שיח עם מת.",
3,105,"Examine the girl, and take her statement... if you can.","בדוק את הבחורה, וגבה ממנה עדות... אם תצליח.",
3,106,"I doubt if she is in a fit state for questioning, m'sieur.","אני בספק אם היא במצב שמאפשר חקירה, מיסייה.",
3,107,It smells to me as if she has been drinking!,זה מריח לי כאילו היא שתתה משהו!,
3,108,"As I feared. We have stumbled upon a den of iniquity, Moue.","כמו שחששתי. נפלנו על מאורת פריצים, מו.",
3,109,"Leave her to me, sir - I am used to handling drunken women.","תשאיר לי אותה, אדוני - אני רגיל לטפל בנשים שתויות.",
3,111,"Et maintenant, to business!","היי מטנו, לעניינים!",
3,112,"Your name, please?","שמך, בקשה?",
3,113,George Stobbart. I'm from California.,ג'ורג' סטובארט. אני מקליפורניה.,
3,115,Travel. I'm touring Europe.,טיול. אני חוצה את אירופה.,
3,116,"You chose well. The city is most beautiful at this time of year, non?","עשית את הבחירה הנכונה. העיר הכי יפה בעונה זו של השנה, נון?",
3,117,"Uh... yeah, I guess so - apart from the bomb blasts!","אה... כן, סביר להניח - חוץ מפיגועי הטרור!",
3,118,Were you in the vicinity of the café at the time of the explosion?,האם שהית בקרבת בית הקפה בשעת הפיצוץ?,
3,120,I was lucky I wasn't killed!,היה לי מזל שלא נהרגתי!,
3,121,The Inspector passed over my remark with no reaction...,המפקח התעלם מההערה שלי כלאחר יד...,
3,122,Did you see the deceased enter the café?,האם ראית את המנוח נכנס בשערי בית הקפה?,
3,123,"Yes, I did.","כן, ראיתי.",
3,124,Was he alone?,הוא היה לבדו?,
3,125,Uh... yeah.,אה... כן.,
3,126,And did he say anything to you?,והוא אמר לך משהו?,
3,127,No. He was more interested in the waitress.,לא. הוא גילה התעניינות רבה יותר במלצרית.,
3,128,No.,לא.,
3,129,Did you see anyone else in the café?,ראית עוד מישהו בבית הקפה?,
3,130,"Yeah, there was a guy dressed as a clown.","כן, היה בחור מחופש לליצן.",
3,131,He was carrying an accordion.,הוא נשא אקורדיון.,
3,132,An accordion?,אקורדיון?,
3,133,Bon. The picture is forming in my mind...,בון. התמונה עדיין חקוקה בזכרוני...,
3,134,And it is not a pretty one!,והיא לא יפה במיוחד!,
3,135,"I'm sorry, Inspector, I didn't.","מצטער, מפקח, לא.",
3,136,It never ceases to amaze me how unobservant the public can be!,זה אף פעם לא מפסיק להדהים אותי כמה הערנות הציבורית שואפת לאפס!,
3,137,"Is the girl all right, Moue?","הבחורה בסדר, מו?",
3,138,She'll live...,היא תחיה...,
3,139,If she survives the hangover.,אם היא תשרוד את הכאב ראש.,
3,140,She says the killer was disguised as a clown.,היא אומרת שהמחבל היה מחופש לליצן.,
3,141,"A circus clown? Did you see him, m'sieur?","ליצן קרקס? ראית אותו, מיסייה?",
3,142,"Oh, yeah! Now you come to mention it, there WAS a clown.","אה, כן! עכשיו שאתה מזכיר את זה, היה באמת ליצן.",
3,143,"I didn't think much of it at the time. After all, this is Paris...","לא ממש הקדשתי לזה תשומת לב באותו זמן. זאת פריז, אחרי הכול...",
3,144,I see you come well armored with preconception.,אני רואה שבאת חמוש היטב בדעות קדומות.,
3,145,Let us hope that your sheath does not turn out to be your shroud.,בוא נקווה ששריון הקשקשים שלך לא יתגלה בסופו של יום כתכריך מתים.,
3,146,I told you - I didn't see a thing.,אמרתי לך - לא ראיתי דבר.,
3,147,"So! Be warned that I, Augustin Rosso, never rest until I reach the truth.","אז! ראה הוזהרת כי אני, אוגוסטין רוסו, לא אנוח ולא אשקוט עד אשר אגיע לשורש האמת.",
3,148,"You are my winkle, m'sieur, and I'm not afraid to use the pin.","אתה הבלון שלי, מיסייה, ואינני חושש לשלוף את הסיכה.",
3,149,She says the American claimed to be a doctor.,היא אומרת שהאמריקאי טען שהוא רופא.,
3,150,He forced her to drink the brandy...,הוא הכריח אותה לשתות ברנדי...,
3,151,I can explain everything!,אני יכול להסביר הכול!,
3,152,"Can you, m'sieur?","אתה יכול, מיסייה?",
3,153,Almost everything.,כמעט הכול.,
3,154,She confirms the doctor's statement.,היא מאשרת את עדותו של הרופא.,
3,155,"Oui? You did not tell me you were a doctor, m'sieur.","ווי? לא אמרת לי שאתה רופא, מיסייה.",
3,156,"Uh, no. That's right. I didn't think it was relevant.","אה, לא. צודק. לא חשבתי שזה רלוונטי.",
3,157,She confirms the American's statement.,היא מאשרת את עדותו של האמריקאי.,
3,158,"A clown with an accordion, no doubt an elaborate and eccentric disguise.","ליצן עם אקורדיון, ללא ספק תחפושת מוזרה ומתוחכמת.",
3,159,Very well.,טוב מאוד.,
3,160,"She doesn't remember seeing a clown, m'sieur.","היא לא זוכרת שהיא ראתה ליצן, מיסייה.",
3,161,"That's odd, don't you think, m'sieur?","מוזר, אתה לא חושב, מיסייה?",
3,162,"Who am I to believe, I wonder?","מי אני שיאמינו לי, תמהני?",
3,163,Eh bien. I have heard enough.,אה ביה. שמעתי מספיק.,
3,164,What do you mean?,מה זאת אומרת?,
3,165,I am satisfied that you know nothing. You may leave.,השתכנעתי שאתה לא יודע כלום. אתה משוחרר.,
3,166,I hope this little incident does not spoil the rest of your vacation...,אני מקווה שהתקרית הקטנה הזאת לא תעיב על המשך הטיול שלך...,
3,167,"Enjoy your vacation, Doctor Stobbart...","תיהנה מהחופשה, דוקטור סטואברט...",
3,168,What about my personal safety? Can't you at least give me some advice?,מה לגבי ביטחוני האישי? תוכל לתת לי לפחות עצה טובה?,
