"חדר","אינדקס","מקור","תרגום","הערות"
"0.0","23.0","%m87 You'll blow out a window!","%m87 אתה תפוצץ חלון!",""
"0.0","24.0","My, what a filthy mind you have!","בחיי, איזה ראש כחול יש לך!",""
"0.0","25.0","%m8to open it.","%m8לפתוח את זה.",""
"0.0","26.0","If you climb that, Sgt. Dooley will climb your back!","אם תטפס על זה, סמל דולי יטפס לך על הגב!",""
"0.0","27.0","""Hey, thanks a lot!""","""היי, תודה רבה!""",""
"0.0","28.0","But now you'll NEVER get it back!","אבל עכשיו לעולם לא תקבל את זה בחזרה!",""
"0.0","29.0","""Hello.""","""שלום.""",""
"0.0","30.0","%m8to move it.","%m8להזיז את זה.",""
"0.0","31.0","There's no one nearby.","אין אף אחד בקרבת מקום.",""
"0.0","32.0","That's not necessary at this time.","זה לא נחוץ כרגע.",""
"0.0","33.0","Save your writing for reports.","שמור את הכתיבה שלך לדו""חות.",""
"0.0","34.0","You are wearing blue polyester and gabardine trousers, a long-sleeve shirt, and shiny black shoes.","אתה לובש מכנסי פוליאסטר כחולים מדגם גברדין, חולצה עם שרוולים ארוכים, ונעליים שחורות מבריקות.","זה צריך להיות מכנסי פוליאסטר וגברדין כחולים. פוליאסטר וגברדין קשורים לבד ולאופן ההכנה
איך זה עכשיו?
סבבה"
"0.0","35.0","Not here!","לא כאן!",""
"0.0","36.0","You're not close enough.","אתה לא מספיק קרוב.",""
"0.0","37.0","You already have it.","כבר יש לך את זה.",""
"0.0","38.0","You don't have it.","אין לך את זה.",""
"0.0","39.0","Ok.","בסדר.",""
"0.0","40.0","Your clothes are stylish, but the pockets are empty.","הבגדים שלך מסוגננים, אך הכיסים שלך ריקים.",""
"0.0","41.0","Locals missed it!","המקומיים פספסו את זה!",""
"0.0","42.0","Everybody missed!","כולם פספסו!",""
"0.0","43.0","Captain Whipplestick comes on the air and advises you to review proper radio procedures in%m17","סרן וויפלסטיק עולה לשידור ומייעץ לך לעיין בנהלי האלחוט ב%m17",""
"0.0","44.0","Caught undressed in public, you spend the rest of your life in shame!","נתפסת עירום בפומבי, ונידונת לבלות את שארית חייך בבושת פנים!",""
"0.0","45.0","Thanks for playing\n""Police Quest.""\n\nNext time, don't make\nthis mistake again!","תודה ששיחקתם\n""משימה משטרתית.""\n\nבפעם הבאה, היזהרו שלא לחזור\nעל הטעות הזאת!",""
"0.0","46.0","Since you're dead...\n\nall you can do is restore a saved game or start over.","מאחר ואתה מת...\n\nכל שנותר לך לעשות זה לטעון מהשמירה האחרונה או להתחיל מחדש.",""
"0.0","47.0","""'Bye.""","""להתראות.""",""
"0.0","48.0","""You're welcome.""","""על לא דבר.""",""
"0.0","49.0","There's no answer.","אין מענה.",""
"0.0","50.0","What's a ","מה זה ",""
"0.0","51.0","%m50%w1?","%m50%w1?",""
"0.0","52.0","%m50%w2?","%m50%w2?",""
"0.0","53.0","%m50%w3?","%m50%w3?",""
"0.0","54.0","%m50%w4?","%m50%w4?",""
"0.0","55.0","%m50%w5?","%m50%w5?",""
"0.0","56.0","%m50%w6?","%m50%w6?",""
"0.0","57.0","%m50%w7?","%m50%w7?",""
"0.0","58.0","%m50%w8?","%m50%w8?",""
"0.0","59.0","You find them quite illuminating!","אתה מוצא אותם די מאירי עיניים!",""
"0.0","60.0","It holds you up (which, in this case, is not a felony).","זה נושא אותך על גבו (מה שבמקרה הזה, אינו נחשב לעבירה פלילית).",""
"0.0","61.0","Yep, it's still up there!","כן, זה עדיין שם למעלה!",""
"0.0","62.0","You are carrying a blank notebook.","אתה נושא מחברת ריקה.",""
"0.0","63.0","Just a moment, please...","רגע אחד, בבקשה...",""
"0.0","64.0","The F4%m11","המקש F4 %m11",""
"0.0","65.0","The F6%m11","המקש F6 %m11",""
"0.0","66.0","The F8%m11","המקש F8 %m11",""
"0.0","67.0","The F10%m11","המקש F10 %m11",""
"0.0","68.0","With what, Sonny?","עם מה, בני?","צ: החלטנו על שם עברי ל Sonny Bonds, גיבור המשחק?
לפי ויקיפדיה הדמות היא על שם מישהו בשם סאני, אז הייתי ממליץ להישאר עם השם המקורי ולא לעברת"
"0.0","69.0","Your beat covers from Palm Street to Parkway Drive, and from River Road to Clearwater Drive.","אזור הסיור שלך מכסה את השטח בין רחוב דקל לבין שדרות הפארק, ומדרך הנהר לשדרות מים צלולים.","לא עדיף שדרות מים צלולים כמו התרגום של drive עבור שדרות הפארק?
טופל"
"0.0","70.0","Your briefcase IS closed.","תיק המסמכים שלך סגור.",""
"0.0","71.0","A police officer without a weapon, is like being...","שוטר ללא נשק, הוא כמו...",""
"0.0","72.0","...up a creek without a paddle!","...סירה בלי משוטים!",""
"0.0","73.0","As Chief Whipplestick would say, ""A cop without ammo is like a bullet without powder!""","המפכ""ל וויפלסטיק היה אומר, ""שוטר ללא תחמושת, הוא כמו קליע נטול אבק שריפה!""",""
"0.0","74.0","These walls do a fine job of holding up the ceiling.","הקירות האלה עושים עבודה מצויינת בהחזקת התקרה.","לא צריך להיות קירות?
טופל"
"0.0","75.0","Do you have a kidney problem?","יש לך בעיה בכליות?",""
"0.0","76.0","My gawd! Do you have a weak sphincter?","אלוקים אדירים! אתה סובל מחולשה בסוגרים?",""
"0.0","77.0","You don't have time to relax.","אין לך זמן לנוח.",""
"0.0","78.0","You can't see the Help Screen right now. Try again elsewhere.","אתה לא יכול לראות כרגע את מסך העזרה. נסה שוב במקום אחר.",""
"0.0","79.0","%m8to do that.","%m8לעשות את זה.",""
"0.0","80.0","You don't have them.","אין לך אותם.",""
"0.0","81.0","Fastest%m85","%m85 גבוהה מאד","לא צריך להיות הכי גבוהה?
צ. צודק שמילולית fastest זה 'הכי גבוהה'.
אבל היה על זה דיון בדיסקורד, תראה ב 3/3
על כל פנים, הרעיון הוא שיהיה אחידות בין התפריט ""מהירות -> גבוהה מאד"" לבין ההדפסה כתגובה לאישור קבלת הפקודה ""מהירות גבוהה מאד"".
איך שהוא זה נשמע (לי לפחות...) יותר טוב מאשר להדפיס ""מהירות הכי גבוהה"".
למרות, שאני לא נעול על זה ;-) "
"0.0","82.0","Fast%m85","%m85 גבוהה",""
"0.0","83.0","Normal%m85","%m85 רגילה",""
"0.0","84.0","Slow%m85","%m85 איטית",""
"0.0","85.0"," speed."," מהירות",""
"0.0","86.0","","",""
"0.0","87.0","Now?!","עכשיו?!",""
"0.0","88.0","As you blow off your right leg, you resolve that, in the future, you will DRAW your weapon before you FIRE it!","בעודך מרסק את כף רגלך הימנית, אתה נודר נדר, שבעתיד, אתה תשלוף את הנשק קודם שתירה בו!",""
"0.0","89.0","Go where?","ללכת לאן?",""
"0.0","90.0","You rip out the speed loader and load your weapon.","אתה תולש את מאיץ הטעינה וטוען את הנשק.",""
"0.0","91.0","It is loaded. You have %v34 shells left.","הוא טעון. נותרו לך %v34 קליעים.",""
"0.0","92.0","What are you going to load? %m93","מה אתה הולך לטעון? %m93",""
"0.0","93.0","You're unarmed.","אתה בלתי חמוש.",""
"0.0","94.0","Click! (Dry firing an empty gun is good practice for proper grip.)","קליק! (ירי יבש באקדח ריק הוא תרגול מצויין לאחיזה יציבה.)",""
"0.0","95.0","Why do that?","למה לעשות את זה?",""
"0.0","96.0","You have no ammunition.","אין לך תחמושת.",""
"0.0","97.0","Nah. Just wear it.","לא. פשוט תלבש את זה.",""
"0.0","98.0","An interesting approach -- but fatal!","גישה מעניינת -- אך קטלנית!",""
"0.0","99.0","What are you going to do? Scream, and pray that Dispatch will hear you?","מה אתה הולך לעשות? לצרוח, ולהתפלל שהמוקד ישמע אותך?",""
"0.0","100.0","Handling your weapon while driving is dangerous.","להתעסק בנשק תוך כדי נהיגה זה דבר מסוכן מאד.","handling לא מתאים יותר ל-""להתעסק""?
טופל"
"0.0","101.0","Your backups ARE listening.","צוותי הגיבוי שלך מאזינים.","צריך להיות בלשון רבים
הגיבויים שלך מאזינים?
נראה לי שכן. או אולי צוותי הגיבוי שלך מאזינים?
טופל"
"0.0","102.0","This car has a tape player, but no police radio.","ברכב הזה יש נגן מוזיקה, אך לא מכשיר קשר משטרתי.",""
"0.0","103.0","\n\nYou've been playing for\n","\n\nאתה משחק כבר\n",""
"0.0","104.0","Notebook? What notebook?","מחברת? איזו מחברת?",""
"0.0","105.0","You don't have one.","אין לך אחד כזה.",""
"0.0","106.0","Jim Walls, Greg Rowland, Al Lowe, Mark Crowe, Scott Murphy, Ken Williams, Jerry Moore, Jeff Stephenson, Chris Iden and Bob Heitman.","Jim Walls, Greg Rowland, Al Lowe, Mark Crowe, Scott Murphy, Ken Williams, Jerry Moore, Jeff Stephenson, Chris Iden and Bob Heitman.","ג'ים וולס, גרג ראולנד, אל לאו, מארק קראו, סקוט מרפי, קן וויליאמס, ג'רי מור, ג'ף סטפנסון, כריס איידן ובוב הייטמן."
"0.0","107.0","%m1%m103%v14 days, %v13 hours, %v12 minutes and %v11 seconds.\n","%m1%m103%v14 ימים, %v13 שעות, %v12 דקות ו%v11 שניות.\n",""
"0.0","108.0","%m1%m103%v13 hours, %v12 minutes and %v11 seconds.\n","%m1%m103%v13 שעות, %v12 דקות ו%v11 שניות.\n",""
"0.0","109.0","%m1%m103%v12 minutes and %v11 seconds.\n","%m1%m103%v12 דקות ו%v11 שניות.\n",""
"0.0","110.0","Sierra","סיירה",""
"0.0","111.0","About PQ  ","על אודות    ","אני לא נעול על התרגומים שכתבתי כאן...
בעיקר רוצה לבדוק את העברית בתפריט"
"0.0","112.0","Help  <F1>","עזרה    <F1>",""
"0.0","114.0","File","קובץ",""
"0.0","115.0","Save     <F5>","שמירה       <F5>",""
"0.0","116.0","Restore  <F7>","טעינה       <F7>",""
"0.0","117.0","-------------","----------------",""
"0.0","118.0","Restart  <F9>","התחלה מחדש  <F9>",""
"0.0","119.0","Quit  <Alt-Z>","יציאה    <Alt-Z>",""
"0.0","121.0","Action","פעולה",""
"0.0","122.0","Inventory      <Tab>","מלאי          <Tab>",""
"0.0","123.0","See Object  <Ctrl-S>","בחינת חפץ  <Ctrl-S>",""
"0.0","124.0","Dispatcher  <Ctrl-D>","יומנאי     <Ctrl-D>",""
"0.0","126.0","Special","מיוחד",""
"0.0","127.0","Sound On/Off       <F2>","צליל פעיל/כבוי  <F2>",""
"0.0","128.0","Graphics Mode  <Ctrl-R>","מצב גרפיקה  <Ctrl-R>",""
"0.0","129.0","Joystick/Mouse <Ctrl-J>","בקר/עכבר <Ctrl-J>",""
"0.0","130.0","Joystick       <Ctrl-J>","בקר         <Ctrl-J>",""
"0.0","131.0","Pause Game             ","השהיית משחק         ",""
"0.0","133.0","Speed","מהירות",""
"0.0","134.0","Normal ","רגילה     ",""
"0.0","135.0","Slow   ","איטית     ",""
"0.0","136.0","Fast   ","גבוהה     ",""
"0.0","137.0","Fastest","גבוהה מאוד","לא צריך להיות הכי גבוהה?
צ: צריך להיות אחיד עם #81"
"0.0","138.0","-------","----------",""
"0.0","139.0","Slower ","איטית יותר","בכוונה אין רווח בסוף"
"0.0","151.0","Give away your handcuffs?","מוותר על האזיקים שלך?",""
"0.0","152.0","No way!","לא יקרה!",""
"1.0","1.0","Adventure Game Development System","מערכת פיתוח משחקי הרפתקה",""
"1.0","2.0","(C) 1987 by Sierra On-Line, Inc.","(C) 1987 מאת סיירה אונליין, בע""מ.",""
"2.0","1.0","%g88","%g88",""
"2.0","2.0","load gun","טען אקדח",""
"2.0","3.0","draw gun","שלוף אקדח",""
"2.0","4.0","fire gun","תירה באקדח","נראה לי שמתאים יותר ""תירה באקדח"" כמו שהקודמים תורגמו לפעולות אקטיביות ולא פסיביות
טופל"
"3.0","1.0","As you look into the car, you wonder, ""Can this be happening?""","כשאתה מסתכל אל תוך המכונית, אתה תוהה, ""האם זה מציאותי?""",""
"3.0","2.0","The young lady has a smile that could melt the polar ice caps, beautiful flashing eyes, gorgeous hair, and her unbuttoned blouse makes it obvious she has nothing to hide!","לצעירה יש חיוך שמסוגל להמיס את כיפות הקרח בקטבים, עיניים נוצצות מקסימות, שיער מדהים, וחולצתה הלא מכופתרת מודיעה קבל עם ועדה כי אין לה מה להסתיר!",""
"3.0","3.0","In a soft, seductive voice she murmers, ""Why, officer! I'm just sure I didn't do anything wrong.""","בקול רך ומפתה היא ממלמלת, ""הו, אדוני השוטר! אני בטוחה שלא עשיתי שום דבר לא בסדר.""","מוזר לי קצת ה-""הופה"". אולי ""בחיי"" או ""הו, אדוני השוטר""
טופל"
"3.0","4.0","""I'm truly sorry, sir. I honestly did not even see that red light. Is there anything I can do to convince you to let me off? And, I DO mean anything!""","""אני נורא מצטערת, אדוני. בחיי שאפילו לא ראיתי את הרמזור האדום. האם ישנו דבר שאוכל לעשות על מנת לשכנע אותך לשחרר אותי? ואני מתכוונת לכל דבר!""",""
"3.0","5.0","You quickly trade your integrity for a shot at cheap thrills and torrid sex!","במהירות אתה ממיר את ההגינות שלך בסיכוי לריגוש זול ולסקס לוהט!",""
"3.0","6.0","""Who cares?!""","""למי אכפת?!""",""
"3.0","7.0","""My phone number is 555-4369,"" she says with a smile, ""Give me a call some time.""","""מספר הטלפון שלי הוא 555-4369,"" היא אומרת בחיוך, ""צלצל אלי מתישהו.""",""
"3.0","8.0","Being the veteran you are, you overcome temptation and stare the young lady straight in the eyes, ""May I please see your driver's license, Ma'am?""","בהיותך שוטר מנוסה, אתה מתגבר על הפיתוי ומביט לצעירה ישר בעיניים, ""אפשר בבקשה לראות את רשיון הנהיגה שלך, גברתי?""","אני חושב שהכוונה פה ב-veteran היא לותק שלו במשטרה. אז אולי ""בהיותך שוטר ותיק"" או ""שוטר מנוסה""?
טופל"
"3.0","9.0","""Again??""","""סליחה??""",""
"3.0","10.0","She's hopping mad as she yells, ""Oh, you cops are all alike! All you care about is making your quotas! Well, come on, snap it up. I am in a hurry, Mr. Bigshot Traffic Cop!""","היא צועקת כשהיא רותחת מזעם, ""אויש, אתם השוטרים כולכם אותו הדבר! כל מה שמעניין אתכם זה לעמוד במכסות! טוב, יאללה בזריז. אני ממהרת, מר שוטר תנועה גיבור גדול!""",""
"3.0","11.0","""Guys like you make me want a big dip of snuff! You never give a decent girl a break! You just hassle people!""","""גברים כמוך עושים לי חשק למנה הגונה של טבק לעיסה! אתם אף פעם לא מוותרים לבחורות הגונות! אתם רק מטרידים אנשים!""",""
"3.0","12.0","You can't write a ticket without your pinch book.","אתה לא יכול לרשום דו""ח בלי פנקס הדוחות שלך.",""
"3.0","13.0","What a pair of headlights!!","איזה זוג פנסים!!",""
"3.0","14.0","She verbally pounds you again, ""Officer, did your mother have any children that lived?""","היא חובטת בך שוב מילולית, ""שוטר, לאמא שלך יש ילדים בחיים?""",""
"3.0","15.0","You must see the violator's driver's license in order to write a ticket.","אתה חייב לראות את רשיון הנהיגה של מפר החוק על מנת לרשום דו""ח.",""
"3.0","16.0","She hands your ticket book back and suggests with a sarcastic smile, ""Why don't you shove that pen where the sun don't shine, Officer? 'Mommy and Daddy,' really!""","היא מושיטה לך בחזרה את פנקס הדוחות ומציעה בחיוך עוקצני, ""למה שלא תדחוף את העט למקום שבו השמש אינה זורחת לעולם, שוטר? ממש 'אבא ואמא'!""",""
"3.0","17.0","She hasn't signed it, Sonny.","היא לא חתמה על זה, בני.",""
"3.0","18.0","You're holding it.","זה אצלך ביד.",""
"3.0","19.0","As your eyes meet, you're momentarily stunned.","כשמבטיכם מצטלבים, אתה קופא לכמה רגעים.",""
"3.0","20.0","""My name is Helen. Helen Hots,"" she says as heat detectors go off for miles around. ""What's yours, Handsome?""","""שמי הלן. הלן חמה,"" היא אומרת כשכל גלאי החום מתפוצצים במרחק קילומטרים. ""ומה שלך, יפיוף?""","צריך להיות מצפצפים ולא מתפוצצים
לא סגור על זה, יתכן שמרוב חום הם לא עומדים בעומס ומתפוצצים
בעקרון, go off זה פועלים (בד""כ בהקשר לאזעקות - the alarm went off). אם זה היה מתפוצץ נראה לי שזה היה blow up או explode"
"3.0","21.0","""I'm truly sorry, sir. Is there anything I can do to convince you to let me off? And, I DO mean anything!""","""אני נורא מצטערת, אדוני. האם ישנו דבר שאוכל לעשות על מנת לשכנע אותך לשחרר אותי? ואני מתכוונת לכל דבר!""",""
"3.0","22.0","""Why, I've never heard of anyone by that name, Officer!""","""ובכן, בחיים לא שמעתי על מישהו עם שם כזה, אדוני השוטר!""",""
"3.0","23.0","Helen Hots","הלן חמה",""
"3.0","24.0","Female 5'2 105","נקבה 5'2 105","מציע להפוך למטרים וקילו - 1.57 מטר 47 ק""ג
צ: מסכים בחום. אם אנחנו מתרגמים אפילו שמות, אז בטח שצריך לנרמל את המידות השונות."
"3.0","25.0","HAIR Black","שיער שחור",""
"3.0","26.0","EYES Blue","עיניים כחולות",""
"3.0","27.0","DOB 2/14/66","תאריך לידה 2/14/66",""
"3.0","28.0","202 Gyrate Ct","רחוב גיירייט 202",""
"3.0","29.0","Lytton, CA","לייטון, קליפורניה",""
"3.0","30.0","RESTRICTIONS","עבר פלילי","לא צריך להיות הגבלות?"
"3.0","31.0","None.","ללא.",""
"3.0","32.0","Politely, you tell her, ""You ran a red light back there, Miss.""","בנימוס, אתה אומר לה, ""חצית באור אדום, גברת.""",""
"3.0","33.0","""Thanks for not giving me a ticket, Officer!""","""תודה שלא נתת לי קנס, אדוני השוטר!""","צ: שיניתי ל'אדוני השוטר'. היה נראה לי יותר מתאים"
"3.0","34.0","""What? And, as nice as I have been to you! Why, I gave you my phone number and everything. If you do anything to me, Turkey, I'll file rape charges on you so fast it'll make your head swim! Gawd, what a BUM!""","""מה? למרות שהייתי כל כך נחמדה אליך! נתתי לך את מספר הטלפון שלי והכל. אם תעז לעשות לי משהו, אידיוט, אגיש נגדך תלונה על הטרדה מינית במהירות כזאת שהראש שלך יסתחרר! אלוהים, איזה פסיכי!""","לא הצלחתי למצוא מינוח טוב יותר, אבל gawd אמור לבטא שמי שאומר את זה הוא סוג של דביל/פקצה. אולי לכתוב עם כתיב שגוי - אלוכים, או הלוקים, א-לוקים?"
"3.0","35.0","Your briefcase is in the car.","תיק המסמכים שלך באוטו.",""
"3.0","36.0","""Why, Officer!"" she smiles coyly. ""Please don't stare there!!""","""אדוני השוטר!"" היא מחייכת בביישנות. ""בבקשה לא לבהות שם!!""","צ: שיניתי ל'אדוני השוטר'. היה נראה לי יותר מתאים"
"3.0","37.0","First, return her license.","קודם, תחזיר לה את הרשיון.",""
"3.0","38.0","What a face. What a pair of eyes!","איזה פרצוף. איזה זוג עיניים!",""
"3.0","39.0","You hand her the ticket book and your pen. ""Please sign at the 'X,' Ma'am,"" you politely instruct her.","אתה מגיש לה את פנקס הדוחות ועט. ""בבקשה לחתום כאן ליד ה'X', גברת."" אתה מנחה אותה באדיבות.",""
"3.0","40.0","You haven't written her up yet.","עדיין לא רשמת את התלונה.",""
"3.0","41.0","You can only write one ticket per violation, Sonny!","אתה יכול לתת קנס אחד לכל הפרה, בני!",""
"3.0","42.0","You can't write a ticket without your pen.","אתה לא יכול לכתוב דו""ח בלי עט.",""
"3.0","43.0","""Well, how rude,"" she says, attempting to be offended. ""But, if that's what it takes, I suppose it's all right with me!""","""כמה לא מנומס,"" היא אומרת, מעמידה פני נעלבת. ""אבל, אם זה מה שנדרש, אני מניחה שזה סבבה לגמרי מבחינתי!""",""
"3.0","44.0","""Why don't you look at my license?"" she asks.","""למה שלא תעיף מבט ברשיון שלי?"" היא שואלת.",""
"3.0","45.0","""Good day, Ma'am,"" you say, trying to keep your glance high. ""I'm Officer Sonny Bonds.""","""יום מקסים, גברתי,"" אתה אומר, מנסה להפנות את מבטך. ""אני השוטר בני בונדס.""","הוא מנסה לשמור על העיניים למעלה, ולא להפנות אותם. אולי מנסה לשמור על מבט ישר?
למה שינסה להביט ישר? מה ההגיון?
אז אולי מבט למעלה? הוא מנסה לשמור על קשר עין ולא להביט לה על החזה
בדיוק ולכן התאים לי העניין של הפניית מבט הצידה מבויישת, לא מרימים ראש כשלא רוצים להסתכל על משהו
בסדר. הנושא של עיניים למעלה פשוט התאים יותר לטקסט המקורי (keep your glance high). כמו ב-""העיניים שלי פה למעלה"""
"3.0","46.0","Your heart slips up into your throat! %m5","לבך צונח בקרבך! %m5",""
"3.0","47.0","""Short memory, Officer?"" she snickers.","""זכרון קצר, שוטר? היא מצחקקת.",""
"3.0","48.0","""What did I do wrong, Officer?"" she says, showing her best smile.","""מה עשיתי לא בסדר הפעם, אדוני השוטר?"" היא אומרת, בחיוך מתוק על שפתיה.",""
"3.0","49.0","That is unnecessary for a simple traffic violation.","זה לא נחוץ לעבירת תנועה פעוטה.",""
"3.0","50.0","Nice try, but unfortunately, unnecessary in a traffic violation.","נסיון יפה, אך למרבה הצער בלתי נחוץ בעבירת תנועה.",""
"3.0","51.0","You carefully fill in all the necessary information on the citation.","בזהירות אתה מעלה על הכתב את כל המידע הרלוונטי.",""
"4.0","1.0","Where!?","איפה!?",""
"4.0","2.0","This is the pulpit from which Sgt. Dooley delivers his words of wisdom and inspiration to his troops. Listen and take careful notes during each briefing.","זהו הדוכן שבו סמל דולי מרביץ דברי חכמה והשראה בגייסותיו. הקשב היטב ורשום לעצמך את הנקודות החשובות העולות בכל אחד מהתדריכים.",""
"4.0","3.0","The pigeonhole is a police officer's mailbox. He can receive love letters, subpoenas, nasty messages, and even departmental memos. You ought to check yours.","השובכים הם תיבות הדואר של קציני המשטרה. הם מקבלים מכתבי אהבה, צווי זימון, הודעות מגעילות, ואפילו תזכירים מהמחלקה. אתה חייב לבדוק את שלך.",""
"4.0","4.0","It's just an everyday, run-of-the-mill, rosewood, report-writing table with four legs, three drawers, and 243 pieces of gum stuck underneath.","זהו שולחן כתיבה יומיומי ורגיל מעץ מלא בעל ארבע רגליים, שלוש מגירות, ו-243 מסטיקים דבוקים מתחתיו.",""
"4.0","5.0","It's a regular blackboard, but Dooley keeps all his chalk and erasers locked up so you can't leave any cute messages.","זה לוח רגיל, אבל דולי נועל את כל הגירים והמחקים כך שאין אפשרות להשאיר הודעות מצחיקות.",""
"4.0","6.0","You see nothing special about this drawer.","אתה לא רואה שום דבר מיוחד במגירה הזאת.",""
"4.0","7.0","There's nothing on the podium that opens.","אין על הדוכן שום דבר שאפשר לפתוח.",""
"4.0","8.0","You open the drawer and observe various tools used in diagraming traffic collisions. Nothing here will aid you.","אתה פותח את המגירה ורואה כלים שונים המיועדים לשרטוט תאונות דרכים. לא משהו שיעזור לך.",""
"4.0","9.0","Don't get any ideas, Sonny!","שלא יעלו לך רעיונות לראש, בני!",""
"4.0","10.0","There is no chalk available.","אין גיר נגיש.",""
"4.0","11.0","How nasty!","כמה נורא!",""
"4.0","12.0","It is not wise to leave just as briefing is ready to start!","זה לא יהיה חכם לעזוב בדיוק כשהתדריך עומד להתחיל!",""
"4.0","13.0","Sgt. Dooley will play ""kick the can"" with yours if you leave when he's ready to begin his briefing. Get to your desk!","סמל דולי ישחק בך כדורגל אם תצא בדיוק כשהתדריך עומד להתחיל. גש לשולחן שלך!","מכירים את המשחק ""קדאווה""? משחק שהיינו משחקים שבו מישהו עומד במעגל וקופץ על רגל אחת ומנסה לתפוס את מי שמחוץ למעגל. אם הוא דורך על 2 רגליים אז כולם בועטים בו עד שהוא חוזר למעגל (זה תופס גם לגבי מי שהוא מצליח לתפוס אם הוא הצליח). אם זה משחק שמוכר בצורה רחבה - ממליץ להשתמש בו במקום ""חיי שרה"" שלא מעביר את המסר המקורי.
לחילופין, אפשר לתרגם ""הוא ישתמש בך בתור כדורגל"".
ע: שיניתי לכדורגל, השם הראשון לא מוכר..."
"4.0","14.0","There is a newspaper lying on the table.","עיתון מונח על אחד השולחנות.","צ: אולי עדיף מונח?"
"4.0","15.0","The briefing room contains a single podium and four report writing tables. %m16","חדר התדריכים מכיל דוכן בודד וארבעה שולחנות כתיבה. %m16",""
"4.0","16.0","On the far wall are eight pigeonholes. On the front wall there is a blackboard.","על הקיר האחורי נשענים שמונה שובכים. על הקיר ממול תלוי לוח.",""
"4.0","17.0","R. J. Jefferson, the Department's janitor, does good work. Don't mess it up!","ר. ג'. ג'פרסון, שרת המחלקה, עושה עבודה מעולה. אל תהרוס אותה!",""
"4.0","18.0","You see a textured ceiling with florescent lighting.","אתה רואה תקרה מעוצבת עם תאורה פלורוסנטית.",""
"4.0","19.0","Anyone caught climbing tables is automatically directed to the locally-contracted Departmental Psychologist.","כל מי שיתפס מטפס על השולחן ישלח אוטומטית לפסיכולוג המחוזי.",""
"4.0","20.0","You don't need anything in the drawer.","אתה לא צריך שום דבר מהמגירה.",""
"4.0","21.0","Under the table, 243 pieces of gum defy gravity.","מתחת לשולחן, 243 מסטיקים מאתגרים את כוח המשיכה.",""
"4.0","22.0","If you mess with his blackboard, Sgt. Dooley may verbally assault you with his highly-acclaimed, personal collection of four-letter words.","אם תתעסק לו בלוח, סמל דולי יתקוף אותך מילולית באוסף פרטי ומוערך של מילות גנאי גסות במיוחד.",""
"5.0","1.0","You are looking at the latest in locker room benches. Don't slide after sitting or you'll spend the evening plucking wood chips out of your tail!","אתה מביט בקולקציה האחרונה של ספסלי חדר ההלבשה. אל תזוז אחרי שתשב או שתבלה את הערב במריטת שבבי עץ מהזנב שלך!",""
"5.0","2.0","The wooden bench is securely attached to the floor.","ספסל העץ מחובר בחוזקה לרצפה.",""
"5.0","3.0","You can't move something that's anchored to the floor.","אתה לא יכול להזיז משהו שמעוגן לרצפה.",""
